No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
57,Allen Aldridge,25,LB,16,15,254,6-1,Houston,5/30/1972,3,7,Denver Broncos / 2nd / 51st pick / 1994,AldrAl21
83,Flipper Anderson,32,WR,4,0,175,6-0,UCLA,3/7/1965,9,0,Los Angeles Rams / 2nd / 46th pick / 1988,AndeFl00
27,Steve Atwater,31,DB,15,15,218,6-3,Arkansas,10/28/1966,8,6,Denver Broncos / 1st / 20th pick / 1989,AtwaSt00
3,Scott Bentley,23,K,1,0,203,6-0,Florida St.,4/10/1974,Rook,0,,bentlsco01
34,Tyrone Braxton,33,DB,16,16,185,5-11,North Dakota St.,12/17/1964,10,7,Denver Broncos / 12th / 334th pick / 1987,BraxTy00
6,Bubby Brister,35,QB,1,0,205,6-3,TulaneLa-Monroe,8/15/1962,11,0,Pittsburgh Steelers / 3rd / 67th pick / 1986,BrisBu00
70,Jamie Brown,25,T,11,2,320,6-8,Florida A&M,4/24/1972,2,2,Denver Broncos / 4th / 121st pick / 1995,BrowJa22
56,Keith Burns,25,MLB,16,0,235,6-2,Oklahoma St.,5/16/1972,3,1,Denver Broncos / 7th / 210th pick / 1994,BurnKe21
59,Glenn Cadrez,27,MLB,16,0,240,6-3,Houston,1/2/1970,5,1,New York Jets / 6th / 154th pick / 1992,CadrGl20
89,Dwayne Carswell,25,TE,16,3,290,6-3,Liberty,1/18/1972,3,1,,CarsDw00
86,Byron Chamberlain,26,TE,10,0,250,6-1,MissouriWayne State (NE),10/17/1971,2,0,Denver Broncos / 7th / 222nd pick / 1995,ChamBy00
39,Ray Crockett,30,DB,16,16,185,5-10,Baylor,1/5/1967,8,6,Detroit Lions / 4th / 86th pick / 1989,CrocRa20
30,Terrell Davis,25,RB,15,15,206,5-11,Long Beach St.Georgia,10/28/1972,2,19,Denver Broncos / 6th / 196th pick / 1995,DaviTe00
63,David Diaz-Infante,33,G,16,7,291,6-3,San Jose St.,3/31/1964,10,5,,DiazDa20
33,Dedrick Dodge,30,DB,16,1,184,6-2,Florida St.,6/14/1967,6,1,,DodgDe20
1,Jason Elam,27,K,15,0,194,5-11,Hawaii,3/8/1970,4,2,Denver Broncos / 3rd / 70th pick / 1993,elamxjas01
7,John Elway,37,QB,16,16,215,6-3,Stanford,6/28/1960,14,18,Baltimore Colts / 1st / 1st pick / 1983,ElwaJo00
82,David Gamble,26,WR,2,0,190,6-1,New Hampshire,6/14/1971,Rook,0,,GambDa20
23,Darrien Gordon,27,DB,16,16,184,5-11,Stanford,11/14/1970,4,16,San Diego Chargers / 1st / 22nd pick / 1993,GordDa20
85,Willie Green,31,WR,16,1,185,6-4,Mississippi,4/2/1966,6,3,Detroit Lions / 8th / 194th pick / 1990,GreeWi00
29,Howard Griffith,30,RB,15,13,230,6-0,Illinois,11/17/1967,4,1,Indianapolis Colts / 9th / 236th pick / 1991,GrifHo00
75,Brian Habib,33,G,14,14,299,6-7,Washington,12/2/1964,8,9,Minnesota Vikings / 10th / 264th pick / 1988,HabiBr20
96,Harald Hasselbach,30,DE,16,3,281,6-6,Washington,9/22/1967,3,3,,HassHa20
22,Vaughn Hebron,27,RB,16,1,195,5-8,Virginia Tech,10/7/1970,4,2,,HebrVa00
21,Randy Hilliard,30,DB,14,0,165,5-11,Northwestern St. (LA),2/6/1967,7,1,Cleveland Browns / 6th / 157th pick / 1990,HillRa23
81,Patrick Jeffers,24,WR,10,0,217,6-3,Virginia,2/2/1973,1,0,Denver Broncos / 5th / 159th pick / 1996,JeffPa00
25,Darrius Johnson,24,DB,16,0,185,5-9,Oklahoma,5/18/1973,1,1,Denver Broncos / 4th / 122nd pick / 1996,JohnDa23
72,Ernest Jones,26,DT,1,0,263,6-2,Oregon,4/1/1971,2,0,Los Angeles Rams / 3rd / 100th pick / 1994,JoneEr20
77,Tony Jones,31,T,16,16,290,6-5,Western Carolina,5/24/1966,9,10,,JoneTo01
8,Jeff Lewis,24,QB,3,0,211,6-2,Northern Arizona,4/17/1973,1,0,Denver Broncos / 4th / 100th pick / 1996,LewiJe01
97,Mike Lodish,30,NT,16,0,275,6-3,UCLA,8/11/1967,7,2,Buffalo Bills / 10th / 265th pick / 1990,LodiMi20
31,Derek Loville,29,RB,16,0,203,5-10,Oregon,7/4/1968,7,1,,LoviDe00
37,Anthony Lynn,29,RB,16,0,230,6-3,Texas Tech,12/21/1968,4,0,,LynnAn00
87,Ed McCaffrey,29,WR,15,15,215,6-5,Stanford,8/17/1968,6,7,New York Giants / 3rd / 83rd pick / 1991,McCaEd00
26,Tim McKyer,34,DB,16,1,174,6-0,Texas-Arlington,9/5/1963,11,1,San Francisco 49ers / 3rd / 64th pick / 1986,McKyTi20
51,John Mobley,24,LB,16,16,236,6-1,Kutztown (PA),10/10/1973,1,17,Denver Broncos / 1st / 15th pick / 1996,MoblJo20
66,Tom Nalen,26,C,16,16,286,6-3,Boston Col.,5/13/1971,3,13,Denver Broncos / 7th / 218th pick / 1994,NaleTo00
62,Dan Neil,24,G,3,0,285,6-2,Texas,10/21/1973,Rook,0,Denver Broncos / 3rd / 67th pick / 1997,NeilDa21
95,Michael Dean Perry,32,DT,9,8,285,6-1,Clemson,8/27/1965,9,4,Cleveland Browns / 2nd / 50th pick / 1988,PerrMi00
93,Trevor Pryce,22,DT,8,3,290,6-5,MichiganClemson,8/3/1975,Rook,2,Denver Broncos / 1st / 28th pick / 1997,PrycTr00
99,David Richie,24,NT,2,0,280,6-4,Washington,9/26/1973,Rook,0,,RichDa23
53,Bill Romanowski,31,LB,16,16,245,6-4,Boston Col.,4/2/1966,9,8,San Francisco 49ers / 3rd / 80th pick / 1988,RomaBi00
16,Tom Rouen,29,P,16,0,225,6-3,Colorado St.Colorado,6/9/1968,4,2,,rouentom01
58,Steve Russ,25,LB,14,0,245,6-4,Air Force,9/16/1972,Rook,1,Denver Broncos / 7th / 218th pick / 1995,RussSt20
69,Mark Schlereth,31,G,11,11,282,6-3,Idaho,1/25/1966,8,7,Washington Redskins / 10th / 263rd pick / 1989,SchlMa00
84,Shannon Sharpe,29,TE,16,16,228,6-2,Savannah St.,6/26/1968,7,14,Denver Broncos / 7th / 192nd pick / 1990,SharSh00
42,Detron Smith,23,RB,16,0,229,5-10,Texas A&M,2/25/1974,1,1,Denver Broncos / 3rd / 65th pick / 1996,SmitDe00
90,Neil Smith,31,DE,14,13,270,6-4,Nebraska,4/10/1966,9,13,Kansas City Chiefs / 1st / 2nd pick / 1988,SmitNe00
80,Rod Smith,27,WR,16,16,200,6-0,Missouri Southern,5/15/1970,2,15,,SmitRo01
74,Harry Swayne,32,T,7,0,290,6-5,Rutgers,2/2/1965,10,1,Tampa Bay Buccaneers / 7th / 190th pick / 1987,SwayHa20
98,Maa Tanuvasa,27,DE,15,5,270,6-2,Hawaii,11/6/1970,2,4,Los Angeles Rams / 8th / 209th pick / 1993,TanuMa20
94,Keith Traylor,28,DT,16,16,337,6-2,OklahomaCentral Oklahoma,9/3/1969,6,9,Denver Broncos / 3rd / 61st pick / 1991,TrayKe20
32,Tony Veland,24,DB,12,0,209,6-1,Nebraska,3/11/1973,Rook,1,Denver Broncos / 6th / 181st pick / 1996,VelaTo20
91,Alfred Williams,29,DE,16,16,260,6-6,Colorado,11/6/1968,6,9,Cincinnati Bengals / 1st / 18th pick / 1991,WillAl00
65,Gary Zimmerman,36,T,14,14,294,6-6,Oregon,12/13/1961,11,9,New York Giants / 1st / 3rd pick / 1984 Supp,ZimmGa00
,Team Total,28.3,,16,,238.0,6-2.1,,,5.0,,,-9999
