No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
2,Brandon Allen,27,QB,3,3,209,6-2,Arkansas,9/5/1992,1,2,Jacksonville Jaguars / 6th / 201st pick / 2016,,AlleBr00
97,Jeremiah Attaochu,26,OLB,12,5,262,6-3,Georgia Tech,1/17/1993,5,4,San Diego Chargers / 2nd / 50th pick / 2014,,AttaJe00
75,Quinn Bailey,24,T,1,0,323,6-6,Arizona St.,10/18/1995,Rook,0,,,BailQu00
41,De'Vante Bausby,26,DB,5,2,190,6-2,Pittsburg St.,1/15/1993,3,1,,$645000,BausDe00
83,Andrew Beck,23,TE,16,6,255,6-3,Texas,5/15/1996,Rook,1,,,BeckAn01
40,Keishawn Bierria,24,ILB,4,0,223,6-1,Washington,7/26/1995,1,0,Denver Broncos / 6th / 217th pick / 2018,$570000,BierKe00
72,Garett Bolles,27,OT,16,16,300,6-5,Snow College (UT)Utah,5/27/1992,2,6,Denver Broncos / 1st / 20th pick / 2017,$1467900,BollGa00
23,Devontae Booker,27,RB,16,0,219,5-11,Utah,5/27/1992,3,1,Denver Broncos / 4th / 136th pick / 2016,$720000,BookDe00
19,Fred Brown,26,WR,13,1,195,6-1,Mississippi St.,12/1/1993,1,0,,$495000,BrowFr01
55,Bradley Chubb,23,DE,4,4,275,6-4,North Carolina St.,6/24/1996,1,2,Denver Broncos / 1st / 5th pick / 2018,$570000,ChubBr00
,River Cracraft,25,WR,1,0,198,6-0,Washington St.,11/1/1994,1,0,,$570000,CracRi00
51,Todd Davis,27,LB,14,14,230,6-1,Sacramento St.,5/17/1992,5,8,,$4000000,DaviTo01
20,Duke Dawson,24,CB,14,3,198,5-10,Florida,10/13/1995,1,2,New England Patriots / 2nd / 56th pick / 2018,,DawsDu00
87,Noah Fant,22,TE,16,11,249,6-4,Iowa,11/20/1997,Rook,4,Denver Broncos / 1st / 20th pick / 2019,$495000,FantNo00
5,Joe Flacco,34,QB,8,8,245,6-6,PittsburghDelaware,1/16/1985,11,5,Baltimore Ravens / 1st / 18th pick / 2008,$18500000,FlacJo00
28,Royce Freeman,23,RB,16,0,238,6-0,Oregon,2/24/1996,1,5,Denver Broncos / 3rd / 71st pick / 2018,$661000,FreeRo00
84,Troy Fumagalli,24,TE,11,5,248,6-6,Wisconsin,2/17/1995,1,0,Denver Broncos / 5th / 156th pick / 2018,$495000,FumaTr00
94,Ahmad Gooden,24,DE,3,0,245,6-2,Samford,10/27/1995,Rook,0,,,GoodAh00
99,Adam Gotsis,27,DT,9,3,287,6-4,Georgia Tech,9/23/1992,3,2,Denver Broncos / 2nd / 63rd pick / 2016,$986987,GotsAd00
17,DaeSean Hamilton,24,WR,16,2,206,6-1,Penn St.,3/10/1995,1,2,Denver Broncos / 4th / 113th pick / 2018,$570000,HamiDa01
25,Chris Harris Jr.,30,CB,16,16,199,5-10,Kansas,6/18/1989,8,6,,$7800000,HarrCh01
27,Davontae Harris,24,CB,16,6,200,5-11,Illinois St.,1/21/1995,1,3,Cincinnati Bengals / 5th / 151st pick / 2018,,HarrDa05
92,Jonathan Harris,23,DE,3,0,295,6-5,Lindenwood,8/4/1996,Rook,0,,,HarrJo05
96,Shelby Harris,28,DE,16,16,290,6-2,Illinois St.,8/11/1991,5,9,Oakland Raiders / 7th / 235th pick / 2014,$3095000,HarrSh00
82,Jeff Heuerman,27,TE,14,11,255,6-5,Ohio St.,11/24/1992,3,1,Denver Broncos / 3rd / 92nd pick / 2015,$2000000,HeueJe00
49,Alijah Holder,23,CB,2,0,188,6-2,Stanford,1/26/1996,Rook,0,,,HoldAl01
52,Justin Hollins,23,EDGE,15,0,248,6-5,Oregon,1/15/1996,Rook,1,Denver Broncos / 5th / 156th pick / 2019,$495000,HollJu00
22,Kareem Jackson,31,DB,13,13,183,5-10,Alabama,4/10/1988,9,6,Houston Texans / 1st / 20th pick / 2010,$3000000,JackKa99
70,Ja'Wuan James,27,OT,3,3,312,6-6,Tennessee,6/3/1992,5,1,Miami Dolphins / 1st / 19th pick / 2014,$5000000,JameJa01
32,Andy Janovich,26,FB,7,3,238,6-1,Nebraska,5/23/1993,3,0,Denver Broncos / 6th / 176th pick / 2016,$720000,JanoAn00
47,Josey Jewell,25,ILB,15,3,236,6-1,Iowa,12/25/1994,1,3,Denver Broncos / 4th / 106th pick / 2018,$570000,JeweJo00
45,Alexander Johnson,28,LB,15,12,255,6-2,Tennessee,12/24/1991,1,7,,$570000,JohnAl01
93,Dre'Mont Jones,22,DL,14,1,281,6-3,Ohio St.,1/5/1997,Rook,2,Denver Broncos / 3rd / 71st pick / 2019,$495000,JoneDr00
43,Joseph Jones,25,OLB,12,0,231,6-0,Northwestern,2/21/1994,2,1,,$645000,JoneJo05
42,Casey Kreiter,29,LS,16,0,250,6-1,Iowa,8/13/1990,3,1,,$1000000,KreiCa00
65,Ronald Leary,30,G,12,12,320,6-3,Memphis,4/29/1989,7,5,,$8150000,LearRo00
30,Phillip Lindsay,25,RB,16,16,190,5-8,Colorado,7/24/1994,1,8,,$570000,LindPh00
3,Drew Lock,23,QB,5,5,228,6-4,Missouri,11/10/1996,Rook,3,Denver Broncos / 2nd / 42nd pick / 2019,$495000,LockDr00
36,Trey Marshall,23,S,16,2,207,6-0,Florida St.,2/13/1996,1,2,,$570000,MarsTr00
60,Connor McGovern,26,OG,16,16,306,6-4,Missouri,4/27/1993,2,6,Denver Broncos / 5th / 144th pick / 2016,$2025000,McGoCo00
8,Brandon McManus,28,K,16,0,201,6-3,Temple,7/25/1991,5,5,,$2750000,McMaBr01
58,Von Miller,30,OLB,15,15,250,6-3,Texas A&M,3/26/1989,8,11,Denver Broncos / 1st / 2nd pick / 2011,$17000000,MillVo00
50,Patrick Morris,24,C,2,0,300,6-3,TCU,2/13/1995,Rook,0,,,MorrPa00
56,Corey Nelson,27,OLB,7,2,226,6-1,Oklahoma,4/22/1992,5,1,Denver Broncos / 7th / 242nd pick / 2014,,NelsCo00
34,Will Parks,25,S,14,7,194,6-1,Arizona,7/29/1994,3,3,Denver Broncos / 6th / 219th pick / 2016,$2025000,ParkWi01
81,Tim Patrick,26,WR,8,2,212,6-4,Utah,11/23/1993,1,2,,$570000,PatrTi00
77,Kyle Peko,26,DT,2,0,305,6-1,Oregon St.,7/23/1993,3,0,,,PekoKy00
98,Mike Purcell,28,DT,13,7,328,6-3,Wyoming,4/20/1991,6,5,,$645000,PurcMi00
59,Malik Reed,23,LB,15,8,235,6-2,Nevada,8/5/1996,Rook,5,,$495000,ReedMa01
66,Dalton Risner,24,OL,16,16,312,6-5,Kansas St.,7/13/1995,Rook,6,Denver Broncos / 2nd / 41st pick / 2019,$495000,RisnDa00
69,Jake Rodgers,28,T,14,1,320,6-6,East. Washington,9/10/1991,1,1,Atlanta Falcons / 7th / 225th pick / 2015,$495000,RodgJa03
10,Emmanuel Sanders,32,WR,7,7,180,5-11,SMU,3/17/1987,9,3,Pittsburgh Steelers / 3rd / 82nd pick / 2010,$10250000,SandEm00
71,Austin Schlottmann,24,G,16,4,300,6-6,TCU,9/18/1995,Rook,2,,$495000,SchlAu00
37,Coty Sensabaugh,31,CB,4,0,187,5-11,Clemson,11/15/1988,7,0,Tennessee Titans / 4th / 115th pick / 2012,,SensCo00
31,Justin Simmons,26,FS,16,16,202,6-2,Boston Col.,11/19/1993,3,12,Denver Broncos / 3rd / 98th pick / 2016,$2025000,SimmJu00
91,Deyon Sizer,23,DT,1,0,280,6-4,Colorado State-Pueblo,8/16/1996,Rook,0,,,SizeDe00
11,Diontae Spencer,27,WR,16,2,170,5-8,McNeese St.,3/19/1992,Rook,0,,,SpenDi00
14,Courtland Sutton,24,WR,16,14,216,6-4,SMU,10/10/1995,1,9,Denver Broncos / 2nd / 40th pick / 2018,$790996,SuttCo00
6,Colby Wadman,24,P,16,0,213,6-1,UC Davis,4/19/1995,1,2,,$570000,WadmCo00
57,DeMarcus Walker,25,DE,10,1,280,6-4,Florida St.,9/30/1994,2,2,Denver Broncos / 2nd / 51st pick / 2017,$926260,WalkDe03
54,Josh Watson,23,LB,8,0,240,6-2,Colorado St.,5/20/1996,Rook,1,,,WatsJo00
68,Elijah Wilkinson,24,OT,15,12,322,6-6,Massachusetts,2/10/1995,2,5,,$645000,WilkEl00
15,Juwann Winfree,23,WR,3,0,215,6-3,Colorado,9/4/1996,Rook,0,Denver Broncos / 6th / 187th pick / 2019,$495000,WinfJu00
95,Derek Wolfe,29,DT,12,12,285,6-5,Cincinnati,2/24/1990,7,7,Denver Broncos / 2nd / 36th pick / 2012,$8000000,WolfDe00
26,Isaac Yiadom,23,CB,16,8,190,6-1,Boston Col.,2/20/1996,1,4,Denver Broncos / 3rd / 99th pick / 2018,$570000,YiadIs00
,Team Total,25.7,,16,,244.2,6-2.3,,,2.4,,,,-9999
