No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
91,Ikaika Alama-Francis,23,DE,6,0,280,6-5,Hawaii,12/4/1984,Rook,0,Detroit Lions / 2nd / 58th pick / 2007,AlamIk99
42,Gerald Alexander,23,DB,16,16,210,6-0,Boise St.,6/28/1984,Rook,6,Detroit Lions / 2nd / 61st pick / 2007,AlexGe99
83,Courtney Anderson,27,TE,2,0,270,6-7,San Jose St.,11/19/1980,3,0,Oakland Raiders / 7th / 245th pick / 2004,AndeCo00
76,Jeff Backus,30,T,16,16,305,6-5,Michigan,9/21/1977,6,8,Detroit Lions / 1st / 18th pick / 2001,BackJe20
97,Boss Bailey,28,LB,15,12,233,6-3,Georgia,10/14/1979,4,4,Detroit Lions / 2nd / 34th pick / 2003,BailBo20
44,Idrees Bashir,29,DB,9,1,198,6-2,Memphis,12/7/1978,6,1,Indianapolis Colts / 2nd / 37th pick / 2001,BashId20
41,Tony Beckham,29,DB,6,0,187,6-1,Wisconsin–Stout,10/1/1978,5,0,Tennessee Titans / 4th / 115th pick / 2002,BeckTo20
28,Tatum Bell,26,RB,5,5,213,5-11,Oklahoma St.,3/2/1981,3,2,Denver Broncos / 2nd / 41st pick / 2004,BellTa00
24,Greg Blue,25,DB,4,0,214,6-2,Georgia,3/12/1982,1,0,Minnesota Vikings / 5th / 149th pick / 2006,BlueGr20
40,Jon Bradley,26,DT,15,6,301,6-0,Arkansas St.,1/13/1981,3,0,,BradJo20
25,Fernando Bryant,30,DB,16,16,174,5-10,Alabama,3/26/1977,8,5,Jacksonville Jaguars / 1st / 26th pick / 1999,BryaFe20
29,Brian Calhoun,23,RB,4,0,202,5-9,ColoradoWisconsin,5/8/1984,1,1,Detroit Lions / 3rd / 74th pick / 2006,CalhBr00
89,Dan Campbell,31,TE,2,1,265,6-5,Texas A&M,4/13/1976,8,0,New York Giants / 3rd / 79th pick / 1999,CampDa00
52,Anthony Cannon,23,LB,11,0,228,5-11,Tulane,12/31/1984,1,1,Detroit Lions / 7th / 247th pick / 2006,CannAn20
36,Aveion Cason,28,RB,12,0,204,5-10,Illinois St.,7/12/1979,6,1,,CasoAv00
75,Shaun Cody,24,DT,15,0,307,6-4,USC,1/22/1983,2,1,Detroit Lions / 2nd / 37th pick / 2005,CodySh20
55,Donte Curry,29,MLB,2,0,233,6-1,Morris Brown,7/22/1978,6,0,,CurrDo21
55,Buster Davis,24,MLB,1,0,239,5-10,Florida St.,10/20/1983,Rook,0,Arizona Cardinals / 3rd / 69th pick / 2007,DaviBu99
95,Jared DeVries,31,DE,14,10,275,6-4,Iowa,6/11/1976,8,5,Detroit Lions / 3rd / 70th pick / 1999,DeVrJa20
45,T.J. Duckett,26,RB,12,1,254,6-0,Michigan St.,2/17/1981,5,3,Atlanta Falcons / 1st / 18th pick / 2002,DuckT.00
33,Dovonte Edwards,25,DB,5,0,182,6-0,North Carolina St.,10/17/1982,2,0,,EdwaDo21
98,Kalimba Edwards,28,DE,8,6,264,6-5,South Carolina,12/26/1979,5,2,Detroit Lions / 2nd / 35th pick / 2002,EdwaKa20
21,Travis Fisher,28,DB,16,13,194,5-10,Central Florida,9/12/1979,5,5,St. Louis Rams / 2nd / 64th pick / 2002,FishTr20
82,Casey Fitzsimmons,27,TE,16,5,258,6-4,Carroll (MT),10/10/1980,4,2,,FitzCa00
72,George Foster,27,T,15,9,338,6-5,Georgia,6/9/1980,4,5,Denver Broncos / 1st / 20th pick / 2003,FostGe20
39,Eric Frampton,23,DB,5,0,204,5-11,Washington St.,2/6/1984,Rook,0,Oakland Raiders / 5th / 165th pick / 2007,FramEr99
87,Mike Furrey,30,DB,16,10,190,6-0,Ohio St.Northern Iowa,5/12/1977,4,5,,FurrMi00
4,Jason Hanson,37,K,16,0,190,6-0,Washington St.,6/17/1970,15,3,Detroit Lions / 2nd / 56th pick / 1992,hansojas01
2,Nick Harris,29,P,16,0,218,6-2,California,7/23/1978,6,3,Denver Broncos / 4th / 120th pick / 2001,HarrNi20
35,LaMarcus Hicks,24,DB,5,0,190,6-0,Iowa St.,4/15/1983,Rook,0,,HickLa99
81,Calvin Johnson,22,WR,15,10,237,6-5,Georgia Tech,9/29/1985,Rook,6,Detroit Lions / 1st / 2nd pick / 2007,JohnCa00
34,Kevin Jones,25,RB,13,10,221,5-11,Virginia Tech,8/21/1982,3,5,Detroit Lions / 1st / 30th pick / 2004,JoneKe02
26,Kenoy Kennedy,30,DB,16,15,215,6-1,Arkansas,11/15/1977,7,5,Denver Broncos / 2nd / 45th pick / 2000,KennKe21
8,Jon Kitna,35,QB,16,16,219,6-2,Central Washington,9/21/1972,10,12,,KitnJo00
54,Teddy Lehman,26,MLB,16,0,249,6-1,Oklahoma,11/18/1981,3,1,Detroit Lions / 2nd / 37th pick / 2004,LehmTe20
53,Paris Lenon,30,MLB,16,16,240,6-2,Richmond,11/26/1977,5,6,,LenoPa20
59,Alex Lewis,26,LB,14,1,227,5-11,Wisconsin,6/11/1981,3,1,Detroit Lions / 5th / 140th pick / 2004,LewiAl20
84,Shaun McDonald,26,WR,16,7,183,5-10,Arizona St.,6/13/1981,4,8,St. Louis Rams / 4th / 106th pick / 2003,McDoSh00
49,Sean McHugh,25,FB,15,12,265,6-5,Penn St.,5/27/1982,3,2,Tennessee Titans / 7th / 241st pick / 2004,McHuSe00
10,Brandon Middleton,26,WR,5,0,185,5-11,Houston,1/2/1981,Rook,1,,MiddBr00
79,Langston Moore,26,DT,16,0,303,6-1,South Carolina,7/17/1981,3,1,Cincinnati Bengals / 6th / 174th pick / 2003,MoorLa20
48,Don Muhlbach,26,C,16,0,258,6-4,Texas A&M,8/17/1981,3,2,,MuhlDo20
64,Edwin Mulitalo,33,G,15,15,350,6-3,Arizona,9/1/1974,8,7,Baltimore Ravens / 4th / 129th pick / 1999,MuliEd20
14,J.T. O'Sullivan,28,QB,4,0,232,6-2,UC Davis,8/25/1979,3,0,New Orleans Saints / 6th / 186th pick / 2002,OSulJ.00
83,John Owens,27,TE,7,0,255,6-3,Notre Dame,1/10/1980,5,0,Detroit Lions / 5th / 138th pick / 2002,OwenJo00
66,Stephen Peterman,25,G,13,13,323,6-4,LSU,1/11/1982,2,6,Dallas Cowboys / 3rd / 83rd pick / 2004,PeteSt20
51,Dominic Raiola,29,C,16,16,295,6-1,Nebraska,12/30/1978,6,8,Detroit Lions / 2nd / 50th pick / 2001,RaioDo20
71,Manuel Ramirez,24,G,1,0,326,6-3,Texas Tech,2/19/1983,Rook,0,Detroit Lions / 4th / 117th pick / 2007,RamiMa20
78,Cory Redding,27,DE,16,16,318,6-4,Texas,11/15/1980,4,6,Detroit Lions / 3rd / 66th pick / 2003,ReddCo20
38,Ramzee Robinson,23,DB,6,0,183,5-9,Alabama,2/20/1984,Rook,0,Detroit Lions / 7th / 255th pick / 2007,RobiRa99
92,Shaun Rogers,28,DT,16,16,350,6-4,Texas,3/12/1979,6,7,Detroit Lions / 2nd / 61st pick / 2001,RogeSh99
67,Blaine Saipaia,29,T,14,1,315,6-3,Colorado St.,8/25/1978,3,2,,SaipBl20
73,Jonathan Scott,24,T,7,2,318,6-6,Texas,1/10/1983,1,2,Detroit Lions / 5th / 141st pick / 2006,ScotJo22
50,Ernie Sims,23,LB,16,16,233,6-0,Florida St.,12/23/1984,1,6,Detroit Lions / 1st / 9th pick / 2006,SimsEr20
93,Corey Smith,28,DE,16,2,250,6-2,North Carolina St.,11/2/1979,5,2,,SmitCo20
23,Keith Smith,27,DB,15,1,192,5-11,McNeese St.,3/20/1980,3,2,Detroit Lions / 3rd / 73rd pick / 2004,SmitKe20
46,Rudy Sylvan,23,TE,2,1,272,6-4,Ohio,12/23/1984,Rook,0,,SylvRu00
17,Troy Walters,31,WR,13,0,173,5-7,Stanford,12/15/1976,7,1,Minnesota Vikings / 5th / 165th pick / 2000,WaltTr00
99,Dewayne White,28,DE,14,14,273,6-2,Louisville,10/19/1979,4,6,Tampa Bay Buccaneers / 2nd / 64th pick / 2003,WhitDe20
11,Roy Williams,26,WR,12,12,215,6-3,Texas,12/20/1981,3,7,Detroit Lions / 1st / 7th pick / 2004,WillRo04
31,Stanley Wilson,25,DB,10,5,189,6-0,Stanford,11/5/1982,2,2,Detroit Lions / 3rd / 72nd pick / 2005,WilsSt20
65,Damien Woody,30,C,13,8,330,6-3,Boston Col.,11/3/1977,8,4,New England Patriots / 1st / 17th pick / 1999,WoodDa20
,Team Total,27,,16,,245.4,6-1.5,,,3.8,,,-9999
