No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
76,Oday Aboushi,28,OT,7,2,308,6-5,Virginia,6/5/1991,6,1,New York Jets / 5th / 141st pick / 2013,$1000000,AbouOd00
39,Jamal Agnew,24,WR/CB,13,0,190,5-10,San Diego,4/3/1995,2,3,Detroit Lions / 5th / 165th pick / 2017,$645000,AgneJa00
80,Danny Amendola,34,WR,15,10,185,5-11,Texas Tech,11/2/1985,10,5,,$4250000,AmenDa00
26,C.J. Anderson,28,RB,2,0,225,5-8,LaneyCalifornia,2/10/1991,6,0,,$1000000,AndeC.00
99,John Atkins,27,DT,12,6,320,6-3,Georgia,12/21/1992,1,3,,$495000,AtkiJo01
46,Nick Bawden,23,RB,10,2,245,6-2,San Diego St.,6/22/1996,1,0,Detroit Lions / 7th / 237th pick / 2018,$495000,BawdNi00
63,Beau Benzschawel,24,G,2,0,300,6-6,Wisconsin,9/10/1995,Rook,0,,$495000,BenzBe01
10,David Blough,24,QB,5,5,205,6-1,Purdue,7/31/1995,Rook,-1,,,BlouDa00
94,Austin Bryant,23,EDGE,4,0,260,6-5,Clemson,11/12/1996,Rook,0,Detroit Lions / 4th / 117th pick / 2019,$495000,BryaAu00
53,Jason Cabinda,23,ILB,4,0,240,6-1,Penn St.,3/17/1996,1,0,,,CabiJa00
34,Tra Carson,27,HB,1,1,228,5-11,Texas A&M,10/24/1992,1,0,,,CarsTr01
27,Justin Coleman,26,CB,16,11,190,5-11,Tennessee,3/27/1993,4,4,,$805000,ColeJu01
65,Tyrell Crosby,24,OT,16,5,310,6-4,Oregon,9/5/1995,1,3,Detroit Lions / 5th / 153rd pick / 2018,$570000,CrosTy00
66,Joe Dahl,26,OG,13,13,310,6-4,Washington St.,4/9/1993,3,6,Detroit Lions / 5th / 151st pick / 2016,$720000,DahlJo00
96,Mike Daniels,30,DT,9,2,310,6-0,Iowa,5/5/1989,7,1,Green Bay Packers / 4th / 132nd pick / 2012,$7800000,DaniMi00
40,Jarrad Davis,25,ILB,11,11,245,6-1,Florida,11/16/1994,2,5,Detroit Lions / 1st / 21st pick / 2017,$1462198,DaviJa01
68,Taylor Decker,26,OT,15,15,318,6-7,Ohio St.,8/23/1993,3,6,Detroit Lions / 1st / 16th pick / 2016,$1945498,DeckTa00
28,Quandre Diggs,26,CB,5,5,197,5-9,Texas,1/22/1993,4,1,Detroit Lions / 6th / 200th pick / 2015,$2657000,DiggQu00
2,Jeff Driskel,26,QB,3,3,235,6-4,FloridaLouisiana Tech,4/23/1993,1,3,San Francisco 49ers / 6th / 207th pick / 2016,,DrisJe00
90,Trey Flowers,26,DE,15,15,265,6-2,Arkansas,8/16/1993,4,7,New England Patriots / 4th / 101st pick / 2015,$805000,FlowTr00
38,Mike Ford,24,CB,15,2,194,6-0,SE Missouri St.,8/4/1995,1,1,,$570000,FordMi01
14,Travis Fulgham,24,WR,3,0,215,6-2,Old Dominion,9/13/1995,Rook,0,Detroit Lions / 6th / 184th pick / 2019,$495000,FulgTr00
60,Graham Glasgow,27,OG,15,15,310,6-6,Michigan,7/19/1992,3,6,Detroit Lions / 3rd / 95th pick / 2016,$2025000,GlasGr00
