No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
70,Joe Andruzzi,23,G,15,1,315,6-3,Southern Connecticut St.,8/23/1975,Rook,2,,AndrJo21
23,Roosevelt Blackmon,24,DB,3,0,185,6-1,Morris Brown,9/10/1974,Rook,0,Green Bay Packers / 4th / 121st pick / 1998,BlacRo21
27,Michael Blair,24,RB,11,0,245,5-11,Ball St.,11/26/1974,Rook,0,,BlaiMi00
46,Juran Bolden,24,DB,3,0,207,6-2,Mississippi Delta CC,6/27/1974,2,0,Atlanta Falcons / 4th / 127th pick / 1996,BoldJu20
96,Vaughn Booker,30,DE,16,4,290,6-5,Cincinnati,2/24/1968,4,3,,BookVa20
85,Corey Bradford,23,WR,8,0,197,6-1,Jackson St.,12/8/1975,Rook,0,Green Bay Packers / 5th / 150th pick / 1998,BradCo00
87,Robert Brooks,28,WR,12,12,177,6-0,South Carolina,6/23/1970,6,4,Green Bay Packers / 3rd / 62nd pick / 1992,BrooRo00
93,Gilbert Brown,27,DT,16,16,340,6-2,Kansas,2/22/1971,5,6,Minnesota Vikings / 3rd / 79th pick / 1993,BrowGi20
91,Jonathan Brown,23,DE,4,0,270,6-3,Tennessee,11/28/1975,Rook,0,Green Bay Packers / 3rd / 90th pick / 1998,BrowJo23
36,LeRoy Butler,30,DB,16,16,197,6-0,Florida St.,7/19/1968,8,14,Green Bay Packers / 2nd / 48th pick / 1990,ButlLe00
89,Mark Chmura,29,TE,15,14,248,6-5,Boston Col.,2/22/1969,5,6,Green Bay Packers / 6th / 157th pick / 1992,ChmuMa00
45,Kerry Cooks,24,DB,9,0,204,5-11,Iowa,3/28/1974,Rook,1,Minnesota Vikings / 5th / 144th pick / 1998,CookKe21
16,Russell Copeland,27,WR,3,1,200,6-0,Memphis,11/14/1971,5,0,Buffalo Bills / 4th / 111th pick / 1993,CopeRu00
60,Rob Davis,30,C,16,0,284,6-3,Shippensburg,12/10/1968,2,1,,DaviRo20
81,Tyrone Davis,26,TE,13,1,240,6-4,Virginia,6/30/1972,3,3,New York Jets / 4th / 107th pick / 1995,DaviTy00
67,Jeff Dellenbach,35,C,16,3,290,6-6,Wisconsin,2/14/1963,13,3,Miami Dolphins / 4th / 111th pick / 1985,DellJe20
72,Earl Dotson,28,T,16,16,315,6-4,Texas A&M-Kingsville,12/17/1970,5,8,Green Bay Packers / 3rd / 81st pick / 1993,DotsEa20
71,Santana Dotson,29,DT,16,16,278,6-5,Baylor,12/19/1969,6,8,Tampa Bay Buccaneers / 5th / 132nd pick / 1992,DotsSa20
4,Brett Favre,29,QB,16,16,222,6-2,Southern Miss,10/10/1969,7,16,Atlanta Falcons / 2nd / 33rd pick / 1991,FavrBr00
58,Mike Flanagan,25,C,2,0,297,6-5,UCLA,11/10/1973,Rook,0,Green Bay Packers / 3rd / 90th pick / 1996,FlanMi00
86,Antonio Freeman,26,WR,15,15,198,6-1,Virginia Tech,5/27/1972,3,15,Green Bay Packers / 3rd / 90th pick / 1995,FreeAn00
47,Scott Galbraith,31,TE,1,0,258,6-2,USC,1/7/1967,8,0,Cleveland Browns / 7th / 178th pick / 1990,GalbSc00
55,Bernardo Harris,27,LB,16,16,247,6-2,North Carolina,10/15/1971,3,8,,HarrBe20
29,Raymont Harris,28,RB,8,3,226,6-0,Ohio St.,12/23/1970,4,3,Chicago Bears / 4th / 114th pick / 1994,HarrRa00
33,William Henderson,27,FB,16,10,252,6-1,North Carolina,2/19/1971,3,3,Green Bay Packers / 3rd / 66th pick / 1995,HendWi00
90,Vonnie Holliday,23,DE,12,12,288,6-5,North Carolina,12/11/1975,Rook,7,Green Bay Packers / 1st / 19th pick / 1998,HollVo20
56,Lamont Hollinquest,28,LB,14,2,250,6-3,USC,10/24/1970,5,2,Washington Redskins / 8th / 212th pick / 1993,HollLa20
22,Darick Holmes,27,RB,11,4,226,6-0,Portland St.,7/1/1971,3,5,Buffalo Bills / 7th / 244th pick / 1995,HolmDa00
32,Travis Jervey,26,RB,8,5,222,6-0,The Citadel,5/5/1972,3,3,Green Bay Packers / 5th / 170th pick / 1995,JervTr00
48,Jim Kitts,26,RB,2,0,248,6-2,Ferrum,12/28/1972,1,0,,KittJi00
53,George Koonce,30,LB,14,14,245,6-1,ChowanEast Carolina,10/15/1968,6,6,,KoonGe20
94,Bob Kuberski,27,DT,16,0,298,6-4,Navy,4/5/1971,3,1,Green Bay Packers / 7th / 183rd pick / 1993,KubeBo20
7,Sean Landeta,36,P,16,0,215,6-0,Towson,1/6/1962,13,2,,LandSe20
25,Dorsey Levens,28,RB,7,4,230,6-1,Notre DameGeorgia Tech,5/21/1970,4,5,Green Bay Packers / 5th / 149th pick / 1994,LeveDo00
57,Antonio London,27,LLB,1,0,238,6-2,Alabama,4/14/1971,5,0,Detroit Lions / 3rd / 62nd pick / 1993,LondAn20
8,Ryan Longwell,24,K,16,0,200,6-0,California,8/16/1974,1,4,,longwrya01
98,Billy Lyon,25,DE,4,0,295,6-5,Marshall,12/10/1973,Rook,0,,LyonBi20
82,Brian Manning,23,WR,3,0,188,5-11,Stanford,4/22/1975,1,0,Miami Dolphins / 6th / 170th pick / 1997,MannBr00
80,Derrick Mayes,24,WR,10,6,205,6-0,Notre Dame,1/28/1974,2,4,Green Bay Packers / 2nd / 56th pick / 1996,MayeDe00
43,Scott McGarrahan,24,DB,15,0,200,6-1,New Mexico,2/12/1974,Rook,1,Green Bay Packers / 6th / 156th pick / 1998,McGaSc20
95,Keith McKenzie,25,DE,16,0,267,6-3,Ball St.,10/17/1973,2,4,Green Bay Packers / 7th / 252nd pick / 1996,McKeKe20
21,Craig Newsome,27,DB,13,13,190,6-0,Arizona St.,8/10/1971,3,5,Green Bay Packers / 1st / 32nd pick / 1995,NewsCr20
18,Doug Pederson,30,QB,12,0,220,6-3,La-Monroe,1/31/1968,5,0,,PedeDo00
88,Roell Preston,26,WR,16,0,187,5-10,Northwest Mississippi CCMississippi,6/23/1972,3,3,Atlanta Falcons / 5th / 145th pick / 1995,PresRo00
39,Mike Prior,35,DB,16,1,208,6-0,Illinois St.,11/14/1963,13,2,Tampa Bay Buccaneers / 7th / 176th pick / 1985,PrioMi20
62,Marco Rivera,26,G,15,15,309,6-4,Penn St.,4/26/1972,1,8,Green Bay Packers / 6th / 208th pick / 1996,RiveMa01
84,Bill Schroeder,27,WR,13,3,200,6-3,Wisconsin–LaCrosse,1/9/1971,1,5,Green Bay Packers / 6th / 181st pick / 1994,SchrBi00
42,Darren Sharper,23,DB,16,16,210,6-2,William & Mary,11/3/1975,1,6,Green Bay Packers / 2nd / 60th pick / 1997,SharDa00
31,Rod Smith,28,DB,8,0,187,5-11,Notre Dame,3/12/1970,6,1,New England Patriots / 2nd / 35th pick / 1992,SmitRo23
40,Pat Terrell,30,DB,16,3,204,6-1,Notre Dame,3/18/1968,8,2,Los Angeles Rams / 2nd / 49th pick / 1990,TerrPa20
83,Jeff Thomason,29,TE,16,2,255,6-5,Oregon,12/30/1969,6,1,,ThomJe00
63,Adam Timmerman,27,G,16,16,310,6-4,South Dakota St.,8/14/1971,3,8,Green Bay Packers / 7th / 230th pick / 1995,TimmAd20
78,Ross Verba,25,T,16,16,308,6-4,Iowa,10/31/1973,1,8,Green Bay Packers / 1st / 30th pick / 1997,VerbRo20
54,Jude Waddy,23,LB,13,0,220,6-2,William & Mary,9/12/1975,Rook,1,,WaddJu20
68,Mike Wahle,21,G,1,0,304,6-6,Navy,3/29/1977,Rook,0,Green Bay Packers / 2nd / 1st pick / 1998 Supp,WahlMi55
92,Reggie White,37,DE,16,16,291,6-5,Tennessee,12/19/1961,13,16,Philadelphia Eagles / 1st / 4th pick / 1984 Supp,WhitRe00
51,Brian Williams,26,RLB,16,15,240,6-1,USC,12/17/1972,3,7,Green Bay Packers / 3rd / 73rd pick / 1995,WillBr24
37,Tyrone Williams,25,DB,16,16,193,5-11,Nebraska,5/31/1973,2,7,Green Bay Packers / 3rd / 93rd pick / 1996,WillTy20
76,Matt Willig,29,T,16,0,315,6-8,USC,1/21/1969,5,1,,WillMa27
52,Frank Winters,34,C,13,13,291,6-3,Western Illinois,1/23/1964,11,7,Cleveland Browns / 10th / 276th pick / 1987,WintFr00
,Team Total,27.1,,16,,243.8,6-2.1,,,3.7,,,-9999
