No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
17,Davante Adams,27,WR,12,12,215,6-1,Fresno St.,12/24/1992,5,9,Green Bay Packers / 2nd / 53rd pick / 2014,$2750000,AdamDa01
90,Montravius Adams,24,DT,14,2,304,6-3,Auburn,7/24/1995,2,2,Green Bay Packers / 3rd / 93rd pick / 2017,$671000,AdamMo00
23,Jaire Alexander,22,CB,16,16,196,5-10,Louisville,2/9/1997,1,6,Green Bay Packers / 1st / 18th pick / 2018,$1027761,AlexJa00
81,Geronimo Allison,25,WR,16,6,202,6-3,Illinois,1/18/1994,3,3,,$1450000,AlliGe01
31,Adrian Amos,26,FS,16,16,214,6-0,Penn St.,4/29/1993,4,6,Chicago Bears / 5th / 142nd pick / 2015,$1250000,AmosAd00
69,David Bakhtiari,28,OT,16,16,310,6-4,Colorado,9/30/1991,6,13,Green Bay Packers / 4th / 109th pick / 2013,$8500000,BakhDa00
88,Evan Baylis,26,TE,5,0,250,6-5,Oregon,11/18/1993,2,0,,$495000,BaylEv00
8,Tim Boyle,25,QB,3,0,233,6-4,ConnecticutEast. Kentucky,10/3/1994,1,0,,$570000,BoylTi00
43,Hunter Bradley,25,LS,16,0,241,6-3,Mississippi St.,5/21/1994,1,1,Green Bay Packers / 7th / 239th pick / 2018,$570000,BradHu00
98,Fadol Brown,26,DE,4,0,282,6-4,Mississippi,4/15/1993,1,0,,$570000,BrowFa00
28,Tony Brown,24,CB,9,0,199,6-0,Alabama,7/13/1995,1,0,,$570000,BrowTo01
75,Bryan Bulaga,30,T,16,16,314,6-5,Iowa,3/21/1989,9,8,Green Bay Packers / 1st / 23rd pick / 2010,$5800000,BulaBr20
42,Oren Burks,24,ILB,12,0,233,6-3,Vanderbilt,3/21/1995,1,1,Green Bay Packers / 3rd / 88th pick / 2018,$606500,BurkOr00
35,Ibraheim Campbell,27,SS,7,3,210,5-11,Northwestern,5/13/1992,4,1,Cleveland Browns / 4th / 115th pick / 2015,$720000,CampIb00
32,Tra Carson,27,HB,2,0,228,5-11,Texas A&M,10/24/1992,1,0,,$570000,CarsTr01
97,Kenny Clark,24,DT,16,16,314,6-3,UCLA,10/4/1995,3,12,Green Bay Packers / 1st / 27th pick / 2016,$1726588,ClarKe01
2,Mason Crosby,35,K,16,0,207,6-1,Colorado,9/3/1984,12,5,Green Bay Packers / 6th / 193rd pick / 2007,$3200000,CrosMa20
11,Trevor Davis,26,WR,2,0,188,6-1,California,7/4/1993,3,0,Green Bay Packers / 5th / 163rd pick / 2016,$720000,DaviTr03
32,Tyler Ervin,26,RB,4,0,185,5-10,San Jose St.,10/7/1993,3,0,Houston Texans / 4th / 119th pick / 2016,,ErviTy00
51,Kyler Fackrell,28,OLB,16,0,245,6-5,Utah St.,11/25/1991,3,2,Green Bay Packers / 3rd / 88th pick / 2016,$2010000,FackKy00
52,Rashan Gary,22,DL,16,0,277,6-5,Michigan,12/3/1997,Rook,2,Green Bay Packers / 1st / 12th pick / 2019,$3950000,GaryRa00
93,B.J. Goodson,26,OLB,15,9,242,6-0,Clemson,5/29/1993,3,5,New York Giants / 4th / 109th pick / 2016,,GoodB.00
80,Jimmy Graham,33,TE,16,10,259,6-7,Miami (FL),11/24/1986,9,4,New Orleans Saints / 3rd / 95th pick / 2010,$3450000,GrahJi00
36,Raven Greene,24,S,2,1,197,5-11,James Madison,2/2/1995,1,0,,$570000,GreeRa02
29,Ka'dar Hollman,25,CB,4,0,196,6-0,Toledo,9/18/1994,Rook,0,Green Bay Packers / 6th / 185th pick / 2019,$672500,HollKa00
37,Josh Jackson,23,CB,14,0,196,6-0,Iowa,4/3/1996,1,1,Green Bay Packers / 2nd / 45th pick / 2018,$764368,JackJo01
74,Elgton Jenkins,24,OL,16,14,311,6-5,Mississippi St.,12/26/1995,Rook,7,Green Bay Packers / 2nd / 44th pick / 2019,$495000,JenkEl00
33,Aaron Jones,25,RB,16,16,208,5-9,Texas-El Paso,12/2/1994,2,12,Green Bay Packers / 5th / 182nd pick / 2017,$645000,JoneAa00
96,Kingsley Keke,23,DL,14,0,288,6-3,Texas A&M,9/26/1996,Rook,1,Green Bay Packers / 5th / 150th pick / 2019,$495000,KekeKi00
20,Kevin King,24,CB,15,14,200,6-3,Washington,5/5/1995,2,6,Green Bay Packers / 2nd / 33rd pick / 2017,$1108717,KingKe01
16,Jake Kumerow,27,WR,14,4,209,6-4,Wisconsin–Whitewater,2/17/1992,1,2,,$570000,KumeJa00
