No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
78,Oday Aboushi,25,OT,4,3,308,6-5,Virginia,6/5/1991,3,1,New York Jets / 5th / 141st pick / 2013,AbouOd00
79,Jeff Allen,26,T,14,14,306,6-4,Illinois,1/8/1990,4,5,Kansas City Chiefs / 2nd / 44th pick / 2012,AlleJe01
89,Stephen Anderson,23,TE,13,0,230,6-3,California,1/30/1993,Rook,1,,AndeSt01
39,Lonnie Ballentine,23,FS,2,0,225,6-3,Memphis,4/23/1993,2,0,Houston Texans / 7th / 256th pick / 2014,BallLo00
68,Tony Bergstrom,30,OT,15,0,310,6-5,Utah,8/8/1986,4,1,Oakland Raiders / 3rd / 95th pick / 2012,BergTo00
28,Alfred Blue,25,RB,14,2,225,6-2,LSU,4/27/1991,2,3,Houston Texans / 6th / 181st pick / 2014,BlueAl00
21,A.J. Bouye,25,CB,15,11,191,6-0,Central Florida,8/16/1991,3,4,,BouyA.00
76,Duane Brown,31,LT,12,12,315,6-4,Virginia Tech,8/30/1985,8,5,Houston Texans / 1st / 26th pick / 2008,BrowDu20
53,Max Bullough,24,ILB,16,3,249,6-4,Michigan St.,2/11/1992,2,3,,BullMa00
74,Chris Clark,31,T,16,14,305,6-5,Southern Miss,10/1/1985,6,6,,ClarCh21
90,Jadeveon Clowney,23,DE,14,14,255,6-5,South Carolina,2/14/1993,2,14,Houston Texans / 1st / 1st pick / 2014,ClowJa00
95,Christian Covington,23,DT,16,5,289,6-2,Rice,10/16/1993,1,4,Houston Texans / 6th / 216th pick / 2015,CoviCh00
56,Brian Cushing,29,LB,13,13,255,6-3,USC,1/24/1987,7,6,Houston Texans / 1st / 15th pick / 2009,CushBr99
27,Quintin Demps,31,DB,13,13,203,6-0,Texas-El Paso,6/29/1985,8,5,Philadelphia Eagles / 4th / 117th pick / 2008,DempQu99
50,Akeem Dent,29,MLB,16,3,242,6-1,Georgia,9/27/1987,5,2,Atlanta Falcons / 3rd / 91st pick / 2011,DentAk00
36,K.J. Dillon,22,S,5,0,200,6-0,West Virginia,5/11/1994,Rook,0,Houston Texans / 5th / 159th pick / 2016,DillK.00
92,Brandon Dunn,24,DT,2,0,310,6-2,Louisville,9/5/1992,2,0,,DunnBr00
34,Tyler Ervin,23,RB,12,0,185,5-10,San Jose St.,10/7/1993,Rook,0,Houston Texans / 4th / 119th pick / 2016,ErviTy00
87,C.J. Fiedorowicz,25,TE,15,15,265,6-5,Iowa,10/22/1991,2,4,Houston Texans / 3rd / 65th pick / 2014,FiedC.00
15,Will Fuller,22,WR,14,13,184,6-1,Notre Dame,4/16/1994,Rook,6,Houston Texans / 1st / 21st pick / 2016,FullWi01
84,Ryan Griffin,26,TE,16,5,255,6-6,Connecticut,1/11/1990,3,3,Houston Texans / 6th / 201st pick / 2013,GrifRy00
41,Jonathan Grimes,27,RB,10,0,207,5-10,William & Mary,12/21/1989,4,1,,GrimJo01
29,Andre Hal,24,CB,15,11,184,5-10,Vanderbilt,5/30/1992,2,4,Houston Texans / 7th / 216th pick / 2014,HalxAn00
93,Joel Heath,23,DE,12,6,300,6-6,Michigan St.,6/18/1993,Rook,3,,HeatJo00
10,DeAndre Hopkins,24,WR,16,16,212,6-1,Clemson,6/6/1992,3,7,Houston Texans / 1st / 27th pick / 2013,HopkDe00
33,Akeem Hunt,23,RB,8,0,185,5-10,Purdue,2/22/1993,1,1,,HuntAk01
25,Kareem Jackson,28,DB,14,13,183,5-10,Alabama,4/10/1988,6,5,Houston Texans / 1st / 20th pick / 2010,JackKa99
31,Charles James,26,CB,12,0,179,5-9,Charleston Southern,5/14/1990,3,1,,JameCh00
30,Kevin Johnson,24,CB,6,3,185,6-0,Wake Forest,8/5/1992,1,1,Houston Texans / 1st / 16th pick / 2015,JohnKe04
20,Don Jones,26,SS,9,0,195,5-11,Mississippi Gulf Coast CCArkansas St.,5/14/1990,3,0,Miami Dolphins / 7th / 250th pick / 2013,JoneDo02
24,Johnathan Joseph,32,DB,13,11,186,5-11,South Carolina,4/16/1984,10,4,Cincinnati Bengals / 1st / 24th pick / 2006,JoseJo20
97,Ufomba Kamalu,24,DE,4,1,295,6-6,Miami (FL),11/2/1992,Rook,1,,KamaUf00
63,Kendall Lamm,24,T,15,3,310,6-5,Appalachian St.,6/5/1992,1,2,,LammKe00
9,Shane Lechler,40,P,16,0,230,6-2,Texas A&M,8/7/1976,16,3,Oakland Raiders / 5th / 142nd pick / 2000,LechSh20
65,Greg Mancz,24,C,16,16,302,6-4,Toledo,4/23/1992,1,6,,MancGr00
55,Benardrick McKinney,24,ILB,16,16,257,6-4,Mississippi St.,11/19/1992,1,14,Houston Texans / 2nd / 43rd pick / 2015,McKiBe00
59,Whitney Mercilus,26,DE,15,15,258,6-4,Illinois,7/21/1990,4,14,Houston Texans / 1st / 26th pick / 2012,MercWh00
13,Braxton Miller,24,WR,10,6,215,6-2,Ohio St.,11/30/1992,Rook,1,Houston Texans / 3rd / 85th pick / 2016,MillBr03
26,Lamar Miller,25,RB,14,14,221,5-10,Miami (FL),4/25/1991,4,7,Miami Dolphins / 4th / 97th pick / 2012,MillLa01
43,Corey Moore,23,S,16,8,200,6-2,Georgia,1/28/1993,1,3,,MoorCo00
12,Keith Mumphery,24,WR,11,3,215,6-0,Michigan St.,6/5/1992,1,1,Houston Texans / 5th / 175th pick / 2015,MumpKe00
32,Robert Nelson,26,FS,11,0,175,5-9,Arizona St.,2/16/1990,2,1,,NelsRo00
72,Derek Newton,29,T,6,6,315,6-6,Arkansas St.,11/16/1987,5,2,Houston Texans / 7th / 214th pick / 2011,NewtDe00
8,Nick Novak,35,K,16,0,200,6-0,Maryland,8/21/1981,11,3,,novaknic01
17,Brock Osweiler,26,QB,15,14,240,6-7,Arizona St.,11/22/1990,4,5,Denver Broncos / 2nd / 57th pick / 2012,OsweBr00
52,Brian Peters,28,LB,12,0,237,6-4,Northwestern,10/31/1988,1,1,,PeteBr00
35,Eddie Pleasant,28,SS,14,0,210,5-10,Oregon,12/17/1988,4,1,,PleaEd00
45,Jay Prosch,24,FB,15,1,255,6-1,Auburn,8/21/1992,2,0,Houston Texans / 6th / 211th pick / 2014,ProsJa00
98,D.J. Reader,22,DT,16,7,347,6-3,Clemson,7/1/1994,Rook,4,Houston Texans / 5th / 166th pick / 2016,ReadD.00
22,Denzel Rice,23,DB,3,0,185,6-0,Coastal Carolina,3/31/1993,1,0,,RiceDe00
3,Tom Savage,26,QB,3,2,230,6-4,PittsburghRutgers,4/26/1990,2,1,Houston Texans / 4th / 135th pick / 2014,SavaTo00
57,Brennan Scarlett,23,LB,7,0,263,6-4,CaliforniaStanford,7/31/1993,Rook,1,,ScarBr00
37,Al-Hajj Shabazz,24,CB,1,0,200,6-2,West Chester,8/2/1992,Rook,0,,ShabAl00
51,John Simon,26,DE,11,5,260,6-2,Ohio St.,10/14/1990,3,4,Baltimore Ravens / 4th / 129th pick / 2013,SimoJo01
94,Antonio Smith,35,DE,13,0,290,6-3,Oklahoma St.,10/21/1981,12,1,Arizona Cardinals / 5th / 135th pick / 2004,SmitAn22
91,Devon Still,27,DT,3,0,305,6-5,Penn St.,7/11/1989,4,0,Cincinnati Bengals / 2nd / 53rd pick / 2012,StilDe00
11,Jaelen Strong,22,WR,8,2,220,6-2,Arizona St.,1/25/1994,1,1,Houston Texans / 3rd / 70th pick / 2015,StroJa01
71,Xavier Su'a-Filo,25,OG,16,15,312,6-4,UCLA,1/1/1991,2,6,Houston Texans / 2nd / 33rd pick / 2014,Sua-Xa00
73,Josh Walker,25,G,2,0,330,6-5,Middle Tenn. St.,6/2/1991,2,0,,WalkJo00
