No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
50,Tyrell Adams,28,LB,16,12,230,6-2,West Georgia,4/11/1992,4,5,,$910000,AdamTy00
88,Jordan Akins,28,TE,13,5,243,6-4,Central Florida,4/19/1992,2,3,Houston Texans / 3rd / 98th pick / 2018,$750000,AkinJo00
98,Auzoyah Alufohai,24,DT,3,0,320,6-4,West Georgia,10/16/1996,Rook,0,,,AlufAu00
9,Bryan Anger,32,P,16,0,202,6-3,California,10/6/1988,8,2,Jacksonville Jaguars / 3rd / 70th pick / 2012,$1250000,AngeBr00
30,Cornell Armstrong,25,CB,10,0,185,6-0,Southern Miss,9/22/1995,2,1,Miami Dolphins / 6th / 209th pick / 2018,$750000,ArmsCo00
62,Beau Benzschawel,25,G,1,0,300,6-6,Wisconsin,9/10/1995,1,0,,,BenzBe01
90,Ross Blacklock,22,DL,15,1,290,6-3,TCU,7/9/1998,Rook,1,Houston Texans / 2nd / 40th pick / 2020,$610000,BlacRo00
97,Andrew Brown,25,DE,3,0,290,6-3,Virginia,12/30/1995,2,0,Cincinnati Bengals / 5th / 158th pick / 2018,,BrowAn05
85,Pharaoh Brown,26,TE,13,9,258,6-6,Oregon,5/4/1994,3,1,,$705888,BrowPh01
14,DeAndre Carter,27,WR,9,0,188,5-8,Sacramento St.,4/10/1993,2,0,,$750000,CartDe02
43,Anthony Chesley,24,DB,3,0,190,6-0,Coastal Carolina,5/31/1996,Rook,0,,,ChesAn00
18,Randall Cobb,30,WR,10,2,195,5-10,Kentucky,8/22/1990,9,4,Green Bay Packers / 2nd / 64th pick / 2011,$3750000,CobbRa00
51,Dylan Cole,26,LB,6,0,237,6-0,Missouri State,5/19/1994,3,0,,$2133000,ColeDy00
13,Brandin Cooks,27,WR,15,15,183,5-10,Oregon St.,9/25/1993,6,9,New Orleans Saints / 1st / 20th pick / 2014,$8000000,CookBr00
