--- When using SR data, please cite us and provide a link and/or a mention.


 
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
97,Mario Addison,35,DE,,,260,6-3,Troy,9/6/1987,11,,,AddiMa00
3,Kyle Allen,26,QB,,,210,6-3,Texas A&MHouston,3/8/1996,4,,,AlleKy00
56,Thomas Booker,23,DE,,,310,6-4,Stanford,11/11/1999,Rook,,Houston Texans / 5th / 150th pick / 2022,BookTh00
68,Justin Britt,31,OT,,,315,6-6,Missouri,5/29/1991,8,,Seattle Seahawks / 2nd / 64th pick / 2014,BritJu00
85,Pharaoh Brown,28,TE,,,258,6-6,Oregon,5/4/1994,5,,,BrowPh01
28,Rex Burkhead,32,RB,,,215,5-10,Nebraska,7/2/1990,9,,Cincinnati Bengals / 6th / 190th pick / 2013,BurkRe00
60,A.J. Cann,31,OG,,,315,6-3,South Carolina,10/23/1991,7,,Jacksonville Jaguars / 3rd / 67th pick / 2015,CannA.00
53,Blake Cashman,26,LB,,,237,6-1,Minnesota,5/10/1996,3,,New York Jets / 5th / 157th pick / 2019,CashBl00
96,Maliek Collins,27,DT,,,310,6-2,Nebraska,4/8/1995,6,,Dallas Cowboys / 3rd / 67th pick / 2016,CollMa00
12,Nico Collins,23,WR,,,215,6-4,Michigan,3/19/1999,1,,Houston Texans / 3rd / 89th pick / 2021,CollNi00
13,Brandin Cooks,29,WR,,,183,5-10,Oregon St.,9/25/1993,8,,New Orleans Saints / 1st / 20th pick / 2014,CookBr00
76,Austin Deculus,23,T,,,325,6-6,LSU,3/12/1999,Rook,,Houston Texans / 6th / 205th pick / 2022,DecuAu00
4,Phillip Dorsett,29,WR,,,192,5-10,Miami (FL),1/5/1993,7,,Indianapolis Colts / 1st / 29th pick / 2015,DorsPh00
98,Michael Dwumfour,24,DL,,,296,6-1,MichiganRutgers,1/1/1998,1,,,DwumMi00
7,Ka'imi Fairbairn,28,K,,,183,6-0,UCLA,1/29/1994,5,,,FairKa01
26,Royce Freeman,26,RB,,,238,6-0,Oregon,2/24/1996,4,,Denver Broncos / 3rd / 71st pick / 2018,FreeRo00
59,Kenyon Green,21,OL,,,325,6-4,Texas A&M,3/15/2001,Rook,,Houston Texans / 1st / 15th pick / 2022,GreeKe03
92,Rasheem Green,25,DT,,,279,6-4,USC,5/15/1997,4,,Seattle Seahawks / 3rd / 79th pick / 2018,GreeRa01
52,Jonathan Greenard,25,DL,,,263,6-3,LouisvilleFlorida,5/25/1997,2,,Houston Texans / 3rd / 90th pick / 2020,GreeJo04
51,Kamu Grugier-Hill,28,OLB,,,230,6-2,Eastern Illinois,5/16/1994,6,,New England Patriots / 6th / 208th pick / 2016,GrugKa00
34,Troy Hairston,24,LB,,,245,5-11,Central Michigan,12/8/1998,Rook,,,HairTr00
49,Jake Hansen,24,LB,,,230,6-1,Illinois,6/19/1998,Rook,,,HansJa01
67,Charlie Heck,26,OL,,,315,6-8,North Carolina,11/20/1996,2,,Houston Texans / 4th / 126th pick / 2020,HeckCh00
43,Neville Hewitt,29,LB,,,234,6-2,Marshall,4/6/1993,7,,,HewiNe00
69,Kurt Hinish,,DT,,,296,,Notre Dame,,Rook,,,HiniKu00
83,O.J. Howard,28,TE,,,251,6-6,Alabama,11/18/1994,5,,Tampa Bay Buccaneers / 1st / 19th pick / 2017,HowaO.00
71,Tytus Howard,26,T,,,322,6-5,Alabama St.,5/23/1996,3,,Houston Texans / 1st / 23rd pick / 2019,HowaTy00
55,Jerry Hughes,34,DE,,,254,6-2,TCU,8/13/1988,12,,Indianapolis Colts / 1st / 31st pick / 2010,HughJe99
,Tyler Johnson,24,WR,,,206,6-1,Minnesota,8/25/1998,2,,Tampa Bay Buccaneers / 5th / 161st pick / 2020,JohnTy00
11,Cameron Johnston,30,P,,,194,5-11,Ohio St.,2/24/1992,4,,,JohnCa02
9,Brevin Jordan,22,TE,,,245,6-3,Miami (FL),7/16/2000,1,,Houston Texans / 5th / 147th pick / 2021,JordBr00
25,Desmond King,28,FS,,,200,5-10,Iowa,12/14/1994,5,,Los Angeles Chargers / 5th / 151st pick / 2017,KingDe01
58,Christian Kirksey,30,OLB,,,235,6-2,Iowa,8/31/1992,8,,Cleveland Browns / 3rd / 71st pick / 2014,KirkCh00
91,Roy Lopez,25,DT,,,318,6-2,New Mexico St.Arizona,8/7/1997,1,,Houston Texans / 6th / 195th pick / 2021,LopeRo00
64,Justin McCray,30,G,,,315,6-3,Central Florida,5/31/1992,5,,,McCrJu00
10,Davis Mills,24,QB,,,225,6-4,Stanford,10/21/1998,1,,Houston Texans / 3rd / 67th pick / 2021,MillDa02
15,Chris Moore,29,WR,,,200,6-1,Cincinnati,6/16/1993,6,,Baltimore Ravens / 4th / 107th pick / 2016,MoorCh00
23,Eric Murray,28,CB,,,199,5-11,Minnesota,1/7/1994,6,,Kansas City Chiefs / 4th / 106th pick / 2016,MurrEr00
21,Steven Nelson,29,CB,,,194,5-10,Oregon St.,1/22/1993,7,,Kansas City Chiefs / 3rd / 98th pick / 2015,NelsSt01
33,Dare Ogunbowale,28,RB,,,205,5-10,Wisconsin,5/4/1994,5,,,OgunDa00
45,Ogbonnia Okoronkwo,27,DE,,,253,6-1,Oklahoma,4/24/1995,4,,Los Angeles Rams / 5th / 160th pick / 2018,OkorOg00
36,Jonathan Owens,27,S,,,210,5-11,Missouri Western St.,7/22/1995,3,,,OwenJo01
31,Dameon Pierce,22,RB,,,212,5-10,Florida,2/19/2000,Rook,,Houston Texans / 4th / 107th pick / 2022,PierDa01
5,Jalen Pitre,23,S,,,197,6-0,Baylor,6/3/1999,Rook,,Houston Texans / 2nd / 37th pick / 2022,PitrJa00
54,Scott Quessenberry,27,C,,,310,6-3,UCLA,3/23/1995,4,,Los Angeles Chargers / 5th / 155th pick / 2018,QuesSc00
44,Jalen Reeves-Maybin,27,OLB,,,230,6-1,Tennessee,1/31/1995,5,,Detroit Lions / 4th / 124th pick / 2017,ReevJa00
1,Tremon Smith,26,DB,,,190,5-11,Central Arkansas,7/20/1996,4,,Kansas City Chiefs / 6th / 196th pick / 2018,SmitTr04
29,M.J. Stewart,27,CB,,,200,5-11,North Carolina,9/16/1995,4,,Tampa Bay Buccaneers / 2nd / 53rd pick / 2018,StewM.00
24,Derek Stingley Jr.,23,CB,,,195,6-1,LSU,6/20/1999,Rook,,Houston Texans / 1st / 3rd pick / 2022,StinDe00
78,Laremy Tunsil,28,OT,,,313,6-5,Mississippi,8/2/1994,6,,Miami Dolphins / 1st / 13th pick / 2016,TunsLa00
32,Garret Wallow,23,LB,,,230,6-2,TCU,1/25/1999,1,,Houston Texans / 5th / 170th pick / 2021,WallGa00
46,Jon Weeks,36,C,,,242,5-10,Baylor,2/17/1986,12,,,WeekJo00
