No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
26,Blue Adams,24,DB,8,0,182,5-9,Cincinnati,10/15/1979,Rook,0,Detroit Lions / 7th / 220th pick / 2003,AdamBl20
34,David Allen,25,RB,14,0,195,5-9,Kansas St.,2/9/1978,Rook,1,,AlleDa00
51,Akin Ayodele,24,LB,16,16,245,6-2,Purdue,9/17/1979,1,8,Jacksonville Jaguars / 3rd / 89th pick / 2002,AyodAk20
94,Lionel Barnes,27,DE,13,0,260,6-5,La-Monroe,4/19/1976,4,1,St. Louis Rams / 6th / 176th pick / 1999,BarnLi20
90,Tony Brackens,29,DE,15,15,267,6-4,Texas,12/26/1974,7,7,Jacksonville Jaguars / 2nd / 33rd pick / 1996,BracTo00
80,Kyle Brady,31,TE,16,15,278,6-6,Penn St.,1/14/1972,8,2,New York Jets / 1st / 9th pick / 1995,BradKy00
31,Chris Brown,25,DB,4,0,195,6-1,Ala-Birmingham,5/9/1978,Rook,0,,BrowCh25
8,Mark Brunell,33,QB,3,3,215,6-1,Washington,9/17/1970,9,2,Green Bay Packers / 5th / 118th pick / 1993,BrunMa00
25,Fernando Bryant,26,DB,16,16,174,5-10,Alabama,3/26/1977,4,6,Jacksonville Jaguars / 1st / 26th pick / 1999,BryaFe20
55,Danny Clark,26,LB,16,8,233,6-2,Illinois,5/9/1977,3,4,Jacksonville Jaguars / 7th / 245th pick / 2000,ClarDa21
35,Deke Cooper,26,DB,14,10,215,6-3,Notre Dame,10/18/1977,1,4,,CoopDe20
29,Jason Craft,27,DB,7,6,187,5-10,Colorado St.,2/13/1976,4,3,Jacksonville Jaguars / 5th / 160th pick / 1999,CrafJa20
20,Donovin Darius,28,DB,16,16,225,6-1,Syracuse,8/12/1975,5,6,Jacksonville Jaguars / 1st / 25th pick / 1998,DariDo20
58,Hugh Douglas,32,DE,16,16,281,6-2,Central State (OH),8/23/1971,8,6,New York Jets / 1st / 16th pick / 1995,DougHu00
44,Marc Edwards,29,FB,16,16,249,6-0,Notre Dame,11/17/1974,6,2,San Francisco 49ers / 2nd / 55th pick / 1997,EdwaMa00
18,Troy Edwards,26,WR,13,11,195,5-10,Louisiana Tech,4/7/1977,4,4,Pittsburgh Steelers / 1st / 13th pick / 1999,EdwaTr00
21,Brad Franklin,24,DB,4,0,184,6-1,Louisiana,12/22/1979,Rook,0,Carolina Panthers / 7th / 258th pick / 2002,FranBr20
45,Chris Fuamatu-Ma'afala,26,RB,13,0,252,6-0,Utah,3/4/1977,5,1,Pittsburgh Steelers / 6th / 178th pick / 1998,FuamCh00
9,David Garrard,25,QB,2,0,235,6-1,East Carolina,2/14/1978,1,0,Jacksonville Jaguars / 4th / 108th pick / 2002,GarrDa00
50,Tony Gilbert,24,LB,8,0,245,6-0,Georgia,10/16/1979,Rook,0,Arizona Cardinals / 6th / 210th pick / 2003,GilbTo20
85,Cortez Hankton,22,WR,16,0,200,6-0,Texas Southern,1/20/1981,Rook,1,,HankCo00
2,Chris Hanson,27,P,5,0,202,6-2,Marshall,10/25/1976,4,1,,HansCh20
81,Matthew Hatchette,29,WR,6,4,200,6-3,MercyhurstLangston,5/1/1974,6,2,Minnesota Vikings / 7th / 235th pick / 1997,HatcMa00
98,John Henderson,24,DT,16,16,335,6-7,Tennessee,1/9/1979,1,7,Jacksonville Jaguars / 1st / 9th pick / 2002,HendJo99
56,Deon Humphrey,27,LB,8,0,240,6-3,Florida St.,5/7/1976,3,0,,HumpDe20
83,Kevin Johnson,27,WR,6,1,195,5-11,Syracuse,7/15/1976,4,2,Cleveland Browns / 2nd / 32nd pick / 1999,JohnKe01
76,Leander Jordan,26,T,6,0,320,6-4,Indiana (PA),9/15/1977,2,0,Carolina Panthers / 3rd / 82nd pick / 2000,JordLe20
7,Byron Leftwich,23,QB,15,13,250,6-5,Marshall,1/14/1980,Rook,9,Jacksonville Jaguars / 1st / 7th pick / 2003,LeftBy00
96,Matt Leonard,24,DT,4,0,301,6-3,Stanford,11/7/1979,Rook,0,,LeonMa20
84,Jermaine Lewis,29,WR,2,0,183,5-7,Maryland,10/16/1974,7,1,Baltimore Ravens / 5th / 153rd pick / 1996,LewiJe00
89,Chris Luzar,24,TE,11,1,265,6-7,Virginia,2/12/1979,1,0,Jacksonville Jaguars / 4th / 118th pick / 2002,LuzaCh00
40,Malaefou MacKenzie,24,FB,1,0,238,5-10,USC,7/24/1979,Rook,0,Jacksonville Jaguars / 7th / 218th pick / 2003,MacKMa20
67,Vince Manuwai,23,G,15,14,312,6-2,Hawaii,7/12/1980,Rook,7,Jacksonville Jaguars / 3rd / 72nd pick / 2003,ManuVi20
6,Seth Marler,22,K,16,0,200,6-1,Tulane,3/27/1981,Rook,-1,,marleset01
27,Rashean Mathis,23,DB,16,16,195,6-1,Bethune-Cookman,8/27/1980,Rook,7,Jacksonville Jaguars / 2nd / 39th pick / 2003,MathRa99
32,Marlon McCree,26,DB,2,0,202,5-11,Kentucky,3/17/1977,2,0,Jacksonville Jaguars / 7th / 233rd pick / 2001,McCrMa20
63,Brad Meester,26,C,16,16,292,6-3,Northern Iowa,3/23/1977,3,8,Jacksonville Jaguars / 2nd / 60th pick / 2000,MeesBr20
92,Rob Meier,26,DE,16,0,315,6-5,Washington St.,8/29/1977,3,2,Jacksonville Jaguars / 7th / 241st pick / 2000,MeieRo20
42,Anthony Mitchell,29,DB,16,2,220,6-1,Tuskegee,12/13/1974,3,2,,MitcAn20
59,Keith Mitchell,29,LB,4,2,236,6-2,Texas A&M,7/24/1974,6,1,,MitcKe00
65,Chris Naeole,29,G,16,16,317,6-3,Colorado,12/25/1974,6,8,New Orleans Saints / 1st / 10th pick / 1997,NaeoCh20
64,Jamar Nesbit,27,G,16,2,328,6-4,South Carolina,12/17/1976,4,2,,NesbJa20
72,Mike Pearson,23,T,16,16,297,6-7,Florida,8/22/1980,1,8,Jacksonville Jaguars / 2nd / 40th pick / 2002,PearMi20
23,Ray Perryman,25,DB,4,0,195,5-11,Northern Arizona,11/27/1978,1,0,Oakland Raiders / 5th / 158th pick / 2001,PerrRa21
54,Mike Peterson,27,LB,16,16,233,6-1,Florida,6/17/1976,4,8,Indianapolis Colts / 2nd / 36th pick / 1999,PeteMi20
17,Jimmy Redmond,26,WR,12,0,190,6-0,Ohio St.McNeese St.,8/18/1977,1,1,,RedmJi00
86,Micah Ross,27,WR,1,0,221,6-2,Jacksonville,1/13/1976,2,0,,RossMi20
3,Mark Royals,38,P,11,0,225,6-5,ChowanAppalachian St.,6/22/1965,16,1,,RoyaMa20
53,T.J. Slaughter,26,MLB,6,3,233,6-0,Southern Miss,2/20/1977,3,2,Jacksonville Jaguars / 3rd / 92nd pick / 2000,SlauT.20
82,Jimmy Smith,34,WR,12,12,213,6-1,Jackson St.,2/9/1969,11,7,Dallas Cowboys / 2nd / 36th pick / 1992,SmitJi00
41,Nick Sorensen,25,DB,14,0,210,6-3,Virginia Tech,7/31/1978,2,1,,SoreNi20
95,Paul Spicer,28,DE,16,1,292,6-4,DuPage (IL)Saginaw Valley St.,8/18/1975,4,2,,SpicPa20
83,J.J. Stokes,31,WR,5,3,218,6-4,UCLA,10/6/1972,8,1,San Francisco 49ers / 1st / 10th pick / 1995,StokJ.00
99,Marcus Stroud,25,DT,16,16,310,6-6,Georgia,6/25/1978,2,12,Jacksonville Jaguars / 1st / 13th pick / 2001,StroMa01
28,Fred Taylor,27,RB,16,16,228,6-1,Florida,1/27/1976,5,13,Jacksonville Jaguars / 1st / 9th pick / 1998,TaylFr00
56,Shannon Taylor,28,LOLB,2,0,247,6-3,Virginia,2/16/1975,3,0,San Diego Chargers / 6th / 184th pick / 2000,TaylSh20
24,Kiwaukee Thomas,26,DB,11,1,192,5-11,Georgia Southern,6/19/1977,3,1,Jacksonville Jaguars / 5th / 159th pick / 2000,ThomKi20
22,LaBrandon Toefield,23,RB,16,0,232,5-11,LSU,9/24/1980,Rook,2,Jacksonville Jaguars / 4th / 132nd pick / 2003,ToefLa00
33,James Trapp,34,DB,5,0,195,6-0,Clemson,12/28/1969,10,1,Los Angeles Raiders / 3rd / 72nd pick / 1993,TrapJa20
52,Eric Westmoreland,26,LB,2,0,230,6-0,Tennessee,3/11/1977,2,0,Jacksonville Jaguars / 3rd / 73rd pick / 2001,WestEr20
74,Maurice Williams,24,T,16,16,302,6-5,Michigan,1/26/1979,2,8,Jacksonville Jaguars / 2nd / 43rd pick / 2001,WillMa25
87,George Wrighster,22,TE,15,1,250,6-3,Oregon,4/1/1981,Rook,1,Jacksonville Jaguars / 4th / 104th pick / 2003,WrigGe00
88,Joe Zelenka,27,TE,16,0,260,6-3,Wake Forest,3/9/1976,4,0,,ZeleJo00
,Team Total,26.6,,16,,238.6,6-1.7,,,3.3,,,-9999
