No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
57,D.J. Alexander,28,OLB,5,0,233,6-2,Oregon St.,9/30/1991,4,0,Kansas City Chiefs / 5th / 172nd pick / 2015,$805000,AlexD.00
53,Dakota Allen,24,LB,3,0,232,6-1,Texas TechEast Mississippi CC,11/2/1995,Rook,0,Los Angeles Rams / 7th / 251st pick / 2019,,AlleDa01
41,Josh Allen,22,EDGE,16,4,262,6-5,Kentucky,7/13/1997,Rook,6,Jacksonville Jaguars / 1st / 7th pick / 2019,$495000,AlleJo03
23,Ryquell Armstead,23,RB,16,1,220,5-11,Temple,10/30/1996,Rook,2,Jacksonville Jaguars / 5th / 140th pick / 2019,$495000,ArmsRy00
16,C.J. Board,26,WR,4,0,181,6-1,Chattanooga,12/12/1993,1,0,,$495000,BoarC.00
31,Breon Borders,24,CB,11,1,189,6-0,Duke,7/22/1995,2,1,,$570000,BordBr00
21,A.J. Bouye,28,CB,14,14,191,6-0,Central Florida,8/16/1991,6,5,,$13000000,BouyA.00
90,Taven Bryan,23,DT,16,8,291,6-5,Florida,3/11/1996,1,4,Jacksonville Jaguars / 1st / 29th pick / 2018,$941589,BryaTa00
58,Austin Calitro,25,RILB,13,4,240,6-0,Villanova,1/10/1994,1,2,,,CaliAu00
93,Calais Campbell,33,DE,16,16,300,6-8,Miami (FL),9/1/1986,11,10,Arizona Cardinals / 2nd / 50th pick / 2008,$12000000,CampCa99
60,A.J. Cann,28,OG,16,16,315,6-3,South Carolina,10/23/1991,4,7,Jacksonville Jaguars / 3rd / 67th pick / 2015,$805000,CannA.00
17,DJ Chark,23,WR,15,14,198,6-4,LSU,9/23/1996,1,7,Jacksonville Jaguars / 2nd / 61st pick / 2018,$682147,CharDJ00
84,Keelan Cole,26,WR,16,1,194,6-1,Kentucky Wesleyan,4/20/1993,2,3,,$645000,ColeKe00
18,Chris Conley,27,WR,16,14,205,6-3,Georgia,10/25/1992,4,6,Kansas City Chiefs / 3rd / 76th pick / 2015,$805000,ConlCh00
9,Logan Cooke,24,P,16,0,230,6-5,Mississippi St.,7/28/1995,1,3,Jacksonville Jaguars / 7th / 247th pick / 2018,$570000,CookLo00
99,Marcell Dareus,29,DT,6,6,331,6-3,Alabama,3/13/1990,8,2,Buffalo Bills / 1st / 3rd pick / 2011,$2835000,DareMa00
79,Carl Davis,27,DT,2,0,320,6-5,Iowa,3/2/1992,4,0,Baltimore Ravens / 3rd / 90th pick / 2015,,DaviCa01
22,Cody Davis,30,S,16,0,203,6-2,Texas Tech,6/6/1989,6,1,,$1750000,DaviCo02
88,Seth Devalve,26,TE,12,6,245,6-3,Princeton,1/29/1993,3,1,Cleveland Browns / 4th / 138th pick / 2016,,DevaSe00
24,Tyler Ervin,26,RB,6,0,185,5-10,San Jose St.,10/7/1993,3,0,Houston Texans / 4th / 119th pick / 2016,,ErviTy00
7,Nick Foles,30,QB,4,4,262,6-6,Arizona,1/20/1989,7,2,Philadelphia Eagles / 3rd / 88th pick / 2012,$5000000,FoleNi00
27,Leonard Fournette,24,RB,15,15,228,6-0,LSU,1/18/1995,2,10,Jacksonville Jaguars / 1st / 4th pick / 2017,$2933258,FourLe00
29,Marcus Gilchrist,31,DB,3,0,200,5-10,Clemson,12/8/1988,8,0,San Diego Chargers / 2nd / 50th pick / 2011,,GilcMa00
43,Joe Giles-Harris,22,LB,5,0,234,6-2,Duke,4/1/1997,Rook,0,,$495000,GileJo01
52,Najee Goode,30,ILB,10,4,244,6-0,West Virginia,6/4/1989,7,2,Tampa Bay Buccaneers / 5th / 140th pick / 2012,$805000,GoodNa00
