No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
39,Husain Abdullah,29,DB,16,16,204,6-0,Washington St.,7/27/1985,6,6,,AbduHu99
71,Jeff Allen,24,T,1,1,306,6-4,Illinois,1/8/1990,2,1,Kansas City Chiefs / 2nd / 44th pick / 2012,AlleJe01
81,Jason Avant,31,WR,5,0,210,6-0,Michigan,4/20/1983,8,2,Philadelphia Eagles / 4th / 109th pick / 2006,AvanJa00
17,Donnie Avery,30,WR,6,3,186,5-11,Houston,6/12/1984,6,2,St. Louis Rams / 2nd / 33rd pick / 2008,AverDo00
97,Allen Bailey,25,DL,14,14,288,6-3,Miami (FL),3/25/1989,3,8,Kansas City Chiefs / 3rd / 86th pick / 2011,BailAl00
29,Eric Berry,26,DB,6,5,212,6-0,Tennessee,12/29/1988,4,2,Kansas City Chiefs / 1st / 5th pick / 2010,BerrEr99
82,Dwayne Bowe,30,WR,15,15,221,6-2,LSU,9/21/1984,7,8,Kansas City Chiefs / 1st / 23rd pick / 2007,BoweDw00
25,Jamaal Charles,28,RB,15,15,199,5-11,Texas,12/27/1986,6,12,Kansas City Chiefs / 3rd / 73rd pick / 2008,CharJa00
27,Kurt Coleman,26,LB,15,3,208,5-11,Ohio St.,7/1/1988,4,3,Philadelphia Eagles / 7th / 244th pick / 2010,ColeKu99
2,Dustin Colquitt,32,P,16,0,210,6-3,Tennessee,5/6/1982,9,2,Kansas City Chiefs / 3rd / 99th pick / 2005,ColqDu20
31,Marcus Cooper,24,CB,13,4,197,6-2,Rutgers,2/1/1990,1,2,San Francisco 49ers / 7th / 252nd pick / 2013,CoopMa00
10,Chase Daniel,28,QB,3,1,218,6-0,Missouri,10/7/1986,5,1,,DaniCh00
,Ja'Gared Davis,24,LB,1,,235,6-1,SMU,9/11/1990,1,0,,DaviJa02
34,Knile Davis,23,RB,16,1,227,5-11,Arkansas,10/5/1991,1,6,Kansas City Chiefs / 3rd / 96th pick / 2013,DaviKn00
70,Mike DeVito,30,DE,1,1,298,6-3,Maine,6/10/1984,7,0,,DeViMi99
80,Anthony Fasano,30,TE,15,13,258,6-4,Notre Dame,4/20/1984,8,2,Dallas Cowboys / 2nd / 53rd pick / 2006,FasaAn00
72,Eric Fisher,23,OT,16,16,315,6-7,Central Michigan,1/5/1991,1,8,Kansas City Chiefs / 1st / 1st pick / 2013,FishEr00
30,Jamell Fleming,25,CB,7,4,206,5-11,Oklahoma,5/5/1989,2,2,Arizona Cardinals / 3rd / 80th pick / 2012,FlemJa00
55,Dee Ford,23,DE,16,0,252,6-2,Auburn,3/19/1991,Rook,1,Kansas City Chiefs / 1st / 23rd pick / 2014,FordDe00
59,Jerry Franklin,26,LB,7,0,242,6-2,Arkansas,1/10/1988,2,1,,FranJe00
73,Zach Fulton,23,OG,16,16,321,6-5,Tennessee,9/23/1991,Rook,8,Kansas City Chiefs / 6th / 193rd pick / 2014,FultZa00
43,Thomas Gafford,31,LB,16,0,250,6-2,Houston,1/29/1983,6,2,,GaffTh20
23,Phillip Gaines,23,CB,13,5,193,6-0,Rice,4/4/1991,Rook,2,Kansas City Chiefs / 3rd / 87th pick / 2014,GainPh00
89,Richard Gordon,27,TE,2,1,262,6-3,Miami (FL),6/7/1987,3,0,Oakland Raiders / 6th / 181st pick / 2011,GordRi00
32,Cyrus Gray,25,RB,9,0,206,5-10,Texas A&M,11/18/1989,2,0,Kansas City Chiefs / 6th / 182nd pick / 2012,GrayCy00
91,Tamba Hali,31,DE,16,16,275,6-3,Penn St.,11/3/1983,8,11,Kansas City Chiefs / 1st / 20th pick / 2006,HaliTa20
85,Frankie Hammond,24,WR,16,3,184,6-1,Florida,2/17/1990,1,0,,HammFr00
84,Demetrius Harris,23,TE,8,3,230,6-7,Wisconsin–Milwaukee,7/29/1991,1,0,,HarrDe03
68,Ryan Harris,29,T,16,15,299,6-5,Notre Dame,3/11/1985,7,7,Denver Broncos / 3rd / 70th pick / 2007,HarrRy20
88,Junior Hemingway,26,WR,14,1,225,6-1,Michigan,12/27/1988,2,1,Kansas City Chiefs / 7th / 238th pick / 2012,HemiJu00
50,Justin Houston,25,LOLB,16,16,270,6-3,Georgia,1/21/1989,3,17,Kansas City Chiefs / 3rd / 70th pick / 2011,HousJu00
96,Jaye Howard,26,DT,16,10,301,6-3,Florida,12/20/1988,2,6,Seattle Seahawks / 4th / 114th pick / 2012,HowaJa00
61,Rodney Hudson,25,C,16,16,315,6-2,Florida St.,7/12/1989,3,8,Kansas City Chiefs / 2nd / 55th pick / 2011,HudsRo00
15,A.J. Jenkins,25,WR,9,2,192,6-0,Illinois,9/30/1989,2,1,San Francisco 49ers / 1st / 30th pick / 2012,JenkA.00
56,Derrick Johnson,32,LOLB,1,1,242,6-3,Texas,11/22/1982,9,1,Kansas City Chiefs / 1st / 15th pick / 2005,JohnDe25
52,James-Michael Johnson,25,ILB,16,9,241,6-1,Nevada,8/20/1989,2,5,Cleveland Browns / 4th / 120th pick / 2012,JohnJa04
87,Travis Kelce,25,TE,16,11,256,6-5,Cincinnati,10/5/1989,1,9,Kansas City Chiefs / 3rd / 63rd pick / 2013,KelcTr00
74,Jeff Linkenbach,27,T,16,3,303,6-6,Cincinnati,6/9/1987,4,3,,LinkJe20
95,Josh Martin,23,LB,14,0,245,6-3,Columbia,11/7/1991,1,1,,MartJo02
90,Josh Mauga,27,LILB,16,16,250,6-1,Nevada,6/20/1987,4,9,,MaugJo00
53,Joe Mays,29,MLB,8,3,245,5-11,North Dakota St.,7/6/1985,6,2,Philadelphia Eagles / 6th / 200th pick / 2008,MaysJo99
24,Kelcie McCray,26,S,16,0,205,6-2,Arkansas St.,9/21/1988,2,1,,McCrKe00
75,Mike McGlynn,29,G,14,13,309,6-5,Pittsburgh,3/8/1985,6,6,Philadelphia Eagles / 4th / 109th pick / 2008,McGlMi20
22,Joe McKnight,26,RB,2,0,190,6-0,USC,4/16/1988,4,1,New York Jets / 4th / 112th pick / 2010,McKnJo00
20,Chris Owens,28,DB,11,3,182,5-10,San Jose St.,12/1/1986,5,2,Atlanta Falcons / 3rd / 90th pick / 2009,OwenCh99
38,Ron Parker,27,CB,16,15,206,6-0,Independence (KS)Newberry,8/17/1987,3,5,,ParkRo01
92,Dontari Poe,24,DT,16,16,346,6-3,Memphis,8/18/1990,2,12,Kansas City Chiefs / 1st / 11th pick / 2012,PoexDo00
5,Cairo Santos,23,K,16,0,175,5-8,Tulane,11/12/1991,Rook,3,,SantCa01
42,Anthony Sherman,26,RB,16,6,242,5-10,Connecticut,12/11/1988,3,1,Arizona Cardinals / 5th / 136th pick / 2011,SherAn00
11,Alex Smith,30,QB,15,15,213,6-4,Utah,5/7/1984,9,14,San Francisco 49ers / 1st / 1st pick / 2005,SmitAl03
21,Sean Smith,27,DB,16,16,215,6-2,Utah,7/14/1987,5,6,Miami Dolphins / 2nd / 61st pick / 2009,SmitSe99
49,Daniel Sorensen,24,S,9,0,200,6-2,BYU,3/5/1990,Rook,1,,SoreDa01
79,Donald Stephenson,26,T,12,0,312,6-5,Oklahoma,9/30/1988,2,1,Kansas City Chiefs / 3rd / 74th pick / 2012,StepDo00
89,Phillip Supernaw,24,TE,2,1,255,6-5,Ouachita Baptist,1/30/1990,2,0,,SupePh00
13,De'Anthony Thomas,21,WR,12,3,176,5-8,Oregon,1/5/1993,Rook,3,Kansas City Chiefs / 4th / 124th pick / 2014,ThomDe05
94,Kevin Vickerson,31,DT,15,1,328,6-5,Michigan St.,1/8/1983,7,2,Miami Dolphins / 7th / 216th pick / 2005,VickKe99
99,Vance Walker,27,DT,16,2,295,6-2,Georgia Tech,4/26/1987,5,3,Atlanta Falcons / 7th / 210th pick / 2009,WalkVa99
35,Charcandrick West,23,RB,6,0,205,5-10,Abilene Christian,6/2/1991,Rook,0,,WestCh01
,Nick Williams,24,DT,2,0,310,6-4,Samford,2/21/1990,Rook,0,Pittsburgh Steelers / 7th / 223rd pick / 2013,WillNi01
12,Albert Wilson,22,WR,12,2,195,5-9,Georgia St.,7/12/1992,Rook,3,,WilsAl02
51,Frank Zombo,27,LB,16,0,254,6-3,Central Michigan,3/5/1987,4,2,,ZombFr00
,Team Total,26.3,,16,,242.8,6-1.7,,,3.4,,,-9999
