--- When using SR data, please cite us and provide a link and/or a mention.


 
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
73,Nick Allegretti,26,G,,,315,6-4,Illinois,4/21/1996,3,,Kansas City Chiefs / 7th / 216th pick / 2019,AlleNi00
32,Nick Bolton,22,LB,,,237,6-0,Missouri,3/10/2000,1,,Kansas City Chiefs / 2nd / 58th pick / 2021,BoltNi00
57,Orlando Brown Jr.,26,OT,,,363,6-8,Oklahoma,5/2/1996,4,,Baltimore Ravens / 3rd / 83rd pick / 2018,BrowOr00
6,Shane Buechele,24,QB,,,207,6-1,TexasSMU,1/8/1998,Rook,,,BuecSh00
45,Michael Burton,30,FB,,,243,6-0,Rutgers,2/1/1992,7,,Detroit Lions / 5th / 168th pick / 2015,BurtMi00
26,Deon Bush,29,FS,,,187,6-0,Miami (FL),8/14/1993,6,,Chicago Bears / 4th / 124th pick / 2016,BushDe00
7,Harrison Butker,27,K,,,196,6-4,Georgia Tech,7/14/1995,5,,Carolina Panthers / 7th / 233rd pick / 2017,ButkHa00
54,Leo Chenal,22,LB,,,255,6-2,Wisconsin,10/26/2000,Rook,,Kansas City Chiefs / 3rd / 103rd pick / 2022,ChenLe00
74,Geron Christian,26,OT,,,315,6-6,Louisville,9/10/1996,4,,Washington Redskins / 3rd / 74th pick / 2018,ChriGe01
55,Frank Clark,29,DE,,,261,6-3,Michigan,6/14/1993,7,,Seattle Seahawks / 2nd / 63rd pick / 2015,ClarFr01
6,Bryan Cook,23,S,,,210,6-1,HowardCincinnati,9/7/1999,Rook,,Kansas City Chiefs / 2nd / 62nd pick / 2022,CookBr02
51,Michael Danna,25,DE,,,255,6-2,Central MichiganMichigan,12/4/1997,2,,Kansas City Chiefs / 5th / 177th pick / 2020,DannMi00
8,Carlos Dunlap,33,DE,,,285,6-6,Florida,2/28/1989,12,,Cincinnati Bengals / 2nd / 54th pick / 2010,DunlCa99
25,Clyde Edwards-Helaire,23,RB,,,209,5-8,LSU,4/11/1999,2,,Kansas City Chiefs / 1st / 32nd pick / 2020,EdwaCl00
27,Rashad Fenton,25,CB,,,188,5-11,South Carolina,2/17/1997,3,,Kansas City Chiefs / 6th / 201st pick / 2019,FentRa00
88,Joe Fortson,27,WR,,,230,6-6,Valdosta St.,12/7/1995,1,,,FortJo01
50,Willie Gay Jr.,24,LB,,,235,6-2,Mississippi St.,2/15/1998,2,,Kansas City Chiefs / 2nd / 63rd pick / 2020,GayJWi00
83,Noah Gray,23,TE,,,240,6-4,Duke,4/30/1999,1,,Kansas City Chiefs / 5th / 162nd pick / 2021,GrayNo00
17,Mecole Hardman,24,WR,,,187,5-10,Georgia,3/12/1998,3,,Kansas City Chiefs / 2nd / 56th pick / 2019,HardMe00
47,Darius Harris,26,LB,,,238,6-2,Middle Tenn. St.,1/17/1996,2,,,HarrDa07
4,Chad Henne,37,QB,,,215,6-3,Michigan,7/2/1985,14,,Miami Dolphins / 2nd / 57th pick / 2008,HennCh01
94,Malik Herring,25,DL,,,280,6-3,Georgia,11/9/1997,Rook,,,HerrMa02
52,Creed Humphrey,23,OL,,,309,6-5,Oklahoma,6/28/1999,1,,Kansas City Chiefs / 2nd / 63rd pick / 2021,HumpCr00
95,Chris Jones,28,DT,,,298,6-6,Mississippi St.,7/3/1994,6,,Kansas City Chiefs / 2nd / 37th pick / 2016,JoneCh09
2,Ronald Jones II,25,RB,,,208,5-11,USC,8/3/1997,4,,Tampa Bay Buccaneers / 2nd / 38th pick / 2018,JoneRo01
59,Joshua Kaindoh,24,DE,,,262,6-5,Florida St.,12/27/1998,1,,Kansas City Chiefs / 4th / 144th pick / 2021,KainJo00
56,George Karlaftis III,21,DE,,,275,6-4,Purdue,4/3/2001,Rook,,Kansas City Chiefs / 1st / 30th pick / 2022,KarlGe00
