No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
29,Jonathon Amaya,24,DB,12,0,203,6-1,Nevada,11/25/1988,2,1,,AmayJo00
87,Anthony Armstrong,29,WR,5,0,175,5-11,West Texas A&M,3/29/1983,2,0,,ArmsAn00
90,Ryan Baker,28,DE,1,0,295,6-5,Purdue,11/25/1984,3,0,,BakeRy00
15,Davone Bess,27,WR,13,13,190,5-10,Hawaii,9/13/1985,4,6,,BessDa00
19,Armon Binns,23,WR,3,0,211,6-2,Cincinnati,9/8/1989,1,1,,BinnAr00
56,Kevin Burnett,30,LOLB,16,16,230,6-3,Tennessee,12/24/1982,7,8,Dallas Cowboys / 2nd / 42nd pick / 2005,BurnKe20
22,Reggie Bush,27,RB,16,16,205,6-0,USC,3/2/1985,6,8,New Orleans Saints / 1st / 2nd pick / 2006,BushRe00
5,Dan Carpenter,27,K,14,0,216,6-2,Montana,11/25/1985,4,3,,CarpDa44
28,Nolan Carroll,25,DB,14,10,202,6-1,Maryland,1/16/1987,2,4,Miami Dolphins / 5th / 145th pick / 2010,CarrNo00
42,Charles Clay,23,TE,14,9,246,6-3,Tulsa,2/13/1989,1,2,Miami Dolphins / 6th / 174th pick / 2011,ClayCh00
30,Chris Clemons,27,DB,16,16,210,6-1,Clemson,9/15/1985,3,7,Miami Dolphins / 5th / 165th pick / 2009,ClemCh97
32,Michael Coe,29,DB,1,0,190,6-1,Alabama St.,12/17/1983,5,0,Indianapolis Colts / 5th / 173rd pick / 2007,CoexMi99
36,Tyrone Culver,29,DB,4,0,210,6-1,Fresno St.,7/6/1983,6,0,Green Bay Packers / 6th / 185th pick / 2006,CulvTy20
58,Karlos Dansby,31,LB,16,16,250,6-4,Auburn,11/3/1981,8,9,Arizona Cardinals / 2nd / 33rd pick / 2004,DansKa20
92,John Denney,34,DE,16,0,242,6-5,BYU,12/13/1978,7,5,,DennJo20
84,Michael Egnew,23,TE,2,0,252,6-5,Missouri,11/1/1989,Rook,0,Miami Dolphins / 3rd / 78th pick / 2012,EgneMi00
