No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
35,Walt Aikens,28,CB,15,0,200,6-1,Liberty,6/19/1991,5,1,Miami Dolphins / 4th / 125th pick / 2014,$1400000,AikeWa00
24,Johnson Bademosi,29,DB,4,0,219,6-0,Stanford,7/23/1990,7,0,,$2500000,BadeJo00
55,Jerome Baker,23,OLB,16,15,225,6-2,Ohio St.,12/25/1996,1,5,Miami Dolphins / 3rd / 73rd pick / 2018,$654000,BakeJe00
27,Kalen Ballage,24,RB,12,6,231,6-2,Arizona St.,12/22/1995,1,1,Miami Dolphins / 4th / 131st pick / 2018,$570000,BallKa00
47,Vince Biegel,26,OLB,15,10,246,6-3,Wisconsin,7/22/1993,2,3,Green Bay Packers / 4th / 108th pick / 2017,,BiegVi00
76,Evan Boehm,26,C,13,8,321,6-3,Missouri,8/19/1993,3,4,Arizona Cardinals / 4th / 128th pick / 2016,,BoehEv00
30,Nate Brooks,23,DB,3,2,192,6-0,North Texas,9/5/1996,Rook,1,,,BrooNa00
68,Evan Brown,23,C,3,0,320,6-3,SMU,9/16/1996,1,0,,,BrowEv00
62,Shaq Calhoun,23,G,10,7,310,6-3,Mississippi St.,2/20/1996,Rook,3,,$495000,CalhSh01
95,Tank Carradine,29,DE,1,0,267,6-4,Florida St.,2/18/1990,6,0,San Francisco 49ers / 2nd / 40th pick / 2013,$805000,CarrCo00
96,Taco Charlton,25,DE,10,5,270,6-6,Michigan,11/7/1994,2,2,Dallas Cowboys / 1st / 28th pick / 2017,,CharTa00
36,Adrian Colbert,26,SS,6,5,205,6-2,Miami (FL),10/6/1993,2,2,San Francisco 49ers / 7th / 229th pick / 2017,,ColbAd00
38,Chandler Cox,23,RB,13,3,240,6-1,Auburn,7/29/1996,Rook,0,Miami Dolphins / 7th / 233rd pick / 2019,$495000,CoxxCh01
51,James Crawford,25,LB,3,0,239,6-2,Illinois,12/2/1994,1,0,,,CrawJa01
29,Xavier Crawford,24,CB,1,0,185,5-11,Central Michigan,12/10/1995,Rook,0,Houston Texans / 6th / 195th pick / 2019,,CrawXa00
32,Ken Crawley,26,DB,4,2,180,6-1,Colorado,2/8/1993,3,1,,,CrawKe02
70,Julie'n Davenport,24,OT,8,8,315,6-7,Bucknell,1/9/1995,2,3,Houston Texans / 4th / 130th pick / 2017,$645000,DaveJu00
59,Jamal Davis II,24,DE,3,0,250,6-4,Akron,7/9/1995,Rook,0,,,DaviJa08
77,Jesse Davis,28,T,15,15,318,6-6,Idaho,9/15/1991,2,6,,$645000,DaviJe00
89,Trevor Davis,26,WR,3,0,188,6-1,California,7/4/1993,3,0,Green Bay Packers / 5th / 163rd pick / 2016,,DaviTr03
63,Michael Deiter,23,OL,16,15,315,6-6,Wisconsin,9/3/1996,Rook,6,Miami Dolphins / 3rd / 78th pick / 2019,$495000,DeitMi00
78,Andrew Donnal,27,OT,2,0,305,6-6,Iowa,3/3/1992,4,0,St. Louis Rams / 4th / 119th pick / 2015,,DonnAn00
32,Kenyan Drake,25,RB,6,2,211,6-1,Alabama,1/26/1994,3,2,Miami Dolphins / 3rd / 73rd pick / 2016,$2025000,DrakKe00
49,Samuel Eguavoen,26,LB,16,6,236,6-1,Texas Tech,2/22/1993,Rook,2,,$495000,EguaSa00
29,Minkah Fitzpatrick,23,FS,2,2,207,6-1,Alabama,11/17/1996,1,1,Miami Dolphins / 1st / 11th pick / 2018,$1227626,FitzMi00
14,Ryan Fitzpatrick,37,QB,15,13,221,6-2,Harvard,11/24/1982,14,10,St. Louis Rams / 7th / 250th pick / 2005,$1500000,FitzRy00
84,Isaiah Ford,23,WR,8,0,194,6-2,Virginia Tech,2/9/1996,1,2,Miami Dolphins / 7th / 237th pick / 2017,$570000,FordIs00
37,Myles Gaskin,22,RB,7,0,194,5-10,Washington,2/15/1997,Rook,1,Miami Dolphins / 7th / 234th pick / 2019,$495000,GaskMy00
88,Mike Gesicki,24,TE,16,5,247,6-6,Penn St.,10/3/1995,1,4,Miami Dolphins / 2nd / 42nd pick / 2018,$780542,GesiMi00
56,Davon Godchaux,25,DT,16,16,311,6-3,LSU,11/11/1994,2,5,Miami Dolphins / 5th / 178th pick / 2017,$645000,GodcDa00
19,Jakeem Grant,27,WR,10,2,171,5-7,Texas Tech,10/30/1992,3,2,Miami Dolphins / 6th / 186th pick / 2016,$720000,GranJa00
2,Matt Haack,25,P,16,0,205,6-0,Arizona St.,7/25/1994,2,2,,$645000,HaacMa00
90,Charles Harris,24,DE,14,5,252,6-3,Missouri,3/6/1995,2,2,Miami Dolphins / 1st / 22nd pick / 2017,$1450794,HarrCh03
97,Trent Harris,24,DL,11,3,255,6-2,Miami (FL),9/17/1995,Rook,1,,,HarrTr01
41,Montre Hartage,22,CB,4,0,190,6-0,Northwestern,6/16/1997,Rook,0,,,HartMo01
22,Tae Hayes,22,DB,2,0,188,5-9,Appalachian St.,8/19/1997,Rook,0,,,HayeTa00
86,Mack Hollins,26,WR,4,0,221,6-4,North Carolina,9/16/1993,2,0,Philadelphia Eagles / 4th / 118th pick / 2017,,HollMa00
25,Xavien Howard,26,CB,5,5,203,6-1,Baylor,7/4/1993,3,2,Miami Dolphins / 2nd / 38th pick / 2016,$1285642,HowaXa00
17,Allen Hurns,28,WR,14,7,195,6-3,Miami (FL),11/12/1991,5,3,,$1750000,HurnAl01
65,Danny Isidora,25,OG,3,3,306,6-3,Miami (FL),6/5/1994,2,1,Minnesota Vikings / 5th / 180th pick / 2017,,IsidDa00
95,John Jenkins,30,DT,16,5,335,6-3,Mississippi Gulf Coast CCGeorgia,7/11/1989,6,2,New Orleans Saints / 3rd / 82nd pick / 2013,,JenkJo00
16,Gary Jennings Jr,22,WR,1,0,216,6-1,West Virginia,3/7/1997,Rook,0,Seattle Seahawks / 4th / 120th pick / 2019,,JennGa00
20,Reshad Jones,31,DB,4,4,215,6-1,Georgia,2/25/1988,9,1,Miami Dolphins / 5th / 163rd pick / 2010,$13015000,JoneRe99
67,Daniel Kilgore,32,G,13,13,291,6-3,Appalachian St.,12/18/1987,8,6,San Francisco 49ers / 5th / 163rd pick / 2011,$2225000,KilgDa00
