--- When using SR data, please cite us and provide a link and/or a mention.


 
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
26,Salvon Ahmed,24,RB,,,197,5-11,Washington,12/29/1998,2,,,AhmeSa01
72,Terron Armstead,31,OT,,,304,6-5,Ark-Pine Bluff,7/23/1991,9,,New Orleans Saints / 3rd / 75th pick / 2013,ArmsTe00
55,Jerome Baker,26,OLB,,,225,6-2,Ohio St.,12/25/1996,4,,Miami Dolphins / 3rd / 73rd pick / 2018,BakeJe00
29,Justin Bethel,32,CB,,,200,6-0,Presbyterian,6/17/1990,10,,Arizona Cardinals / 6th / 177th pick / 2012,BethJu00
5,Teddy Bridgewater,30,QB,,,215,6-2,Louisville,11/10/1992,8,,Minnesota Vikings / 1st / 32nd pick / 2014,BridTe00
22,Elijah Campbell,27,DB,,,190,5-11,Northern IllinoisNorthern Iowa,8/24/1995,2,,,CampEl00
82,Cethan Carter,27,TE,,,248,6-3,Nebraska,9/5/1995,5,,,CartCe00
48,Tanner Conner,,TE,,,232,6-3,Idaho State,,Rook,,,ConnTa00
27,Keion Crossen,26,CB,,,185,5-10,Western Carolina,4/17/1996,4,,New England Patriots / 7th / 243rd pick / 2018,CrosKe00
98,Raekwon Davis,25,DL,,,330,6-7,Alabama,6/10/1997,2,,Miami Dolphins / 2nd / 56th pick / 2020,DaviRa03
63,Michael Deiter,26,OL,,,315,6-6,Wisconsin,9/3/1996,3,,Miami Dolphins / 3rd / 78th pick / 2019,DeitMi00
2,Chase Edmonds,26,RB,,,210,5-9,Fordham,4/13/1996,4,,Arizona Cardinals / 4th / 134th pick / 2018,EdmoCh00
49,Samuel Eguavoen,29,LB,,,236,6-1,Texas Tech,2/22/1993,3,,,EguaSa00
74,Liam Eichenberg,24,T,,,310,6-5,Notre Dame,1/19/1998,1,,Miami Dolphins / 2nd / 42nd pick / 2021,EichLi00
18,Erik Ezukanma,22,WR,,,220,6-3,Texas Tech,1/25/2000,Rook,,Miami Dolphins / 4th / 125th pick / 2022,EzukEr00
