No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
39,Husain Abdullah,23,DB,16,0,204,6-0,Washington St.,7/27/1985,Rook,1,,AbduHu99
57,Rufus Alexander,25,LB,1,0,228,6-1,Oklahoma,4/12/1983,Rook,0,Minnesota Vikings / 6th / 176th pick / 2007,AlexRu20
69,Jared Allen,26,DE,16,16,270,6-6,Idaho St.,4/3/1982,4,18,Kansas City Chiefs / 4th / 126th pick / 2004,AlleJa22
84,Aundrae Allison,22,WR,15,0,198,6-0,East Carolina,4/20/1986,1,1,Minnesota Vikings / 5th / 146th pick / 2007,AlliAu00
87,Bernard Berrian,28,WR,16,13,185,6-1,Fresno St.,12/27/1980,4,10,Chicago Bears / 3rd / 78th pick / 2004,BerrBe00
78,Matt Birk,32,C,16,16,310,6-4,Harvard,7/23/1976,10,7,Minnesota Vikings / 6th / 173rd pick / 1998,BirkMa00
54,Vinny Ciurciu,28,MLB,14,1,240,6-0,ClemsonBoston Col.,5/2/1980,5,2,,CiurVi20
62,Ryan Cook,25,C,16,14,325,6-6,New Mexico,5/8/1983,2,6,Minnesota Vikings / 2nd / 51st pick / 2006,CookRy20
83,Jeff Dugan,27,TE,9,2,258,6-4,Maryland,4/8/1981,4,0,Minnesota Vikings / 7th / 220th pick / 2004,DugaJe00
91,Ray Edwards,23,DE,15,15,268,6-5,Purdue,1/1/1985,2,8,Minnesota Vikings / 4th / 127th pick / 2006,EdwaRa21
90,Fred Evans,25,DT,16,2,305,6-4,Texas St.,11/6/1983,2,2,Miami Dolphins / 7th / 212th pick / 2006,EvanFr21
89,Robert Ferguson,29,WR,8,0,210,6-1,Texas A&M,12/17/1979,7,0,Green Bay Packers / 2nd / 41st pick / 2001,FergRo00
37,Eric Frampton,24,DB,16,0,204,5-11,Washington St.,2/6/1984,1,1,Oakland Raiders / 5th / 165th pick / 2007,FramEr99
12,Gus Frerotte,37,QB,11,11,237,6-3,Tulsa,7/31/1971,14,6,Washington Redskins / 7th / 197th pick / 1994,FrerGu00
41,Charles Gordon,24,DB,9,2,165,5-11,Kansas,7/18/1984,2,1,,GordCh20
52,Chad Greenway,25,LB,16,15,237,6-3,Iowa,1/12/1983,1,9,Minnesota Vikings / 1st / 17th pick / 2006,GreeCh99
23,Cedric Griffin,26,DB,16,15,195,6-0,Texas,11/11/1982,2,5,Minnesota Vikings / 2nd / 48th pick / 2006,GrifCe20
73,Otis Grigsby,28,DE,8,1,262,6-3,Kentucky,11/19/1980,1,1,,GrigOt99
98,Letroy Guion,21,DT,2,0,295,6-4,Florida St.,6/21/1987,Rook,0,Minnesota Vikings / 5th / 152nd pick / 2008,GuioLe99
99,Napoleon Harris,29,LB,10,5,255,6-2,Northwestern,2/25/1979,6,4,Oakland Raiders / 1st / 23rd pick / 2002,HarrNa20
56,E.J. Henderson,28,LB,4,3,245,6-1,Maryland,8/3/1980,5,2,Minnesota Vikings / 2nd / 40th pick / 2003,HendE.20
50,Erin Henderson,22,MLB,10,0,242,6-3,Maryland,7/1/1986,Rook,1,,HendEr99
64,Anthony Herrera,28,G,16,16,315,6-2,Tennessee,6/14/1980,3,7,,HerrAn20
58,David Herron,24,MLB,14,3,248,6-1,Michigan St.,6/17/1984,1,2,,HerrDa99
79,Artis Hicks,30,G,12,6,312,6-4,Memphis,11/28/1978,5,3,,HickAr20
43,Maurice Hicks,30,RB,11,0,200,5-10,North Carolina A&T,7/22/1978,4,0,,HickMa00
76,Steve Hutchinson,31,G,16,16,313,6-5,Michigan,11/1/1977,7,13,Seattle Seahawks / 1st / 17th pick / 2001,HutcSt00
7,Tarvaris Jackson,25,QB,9,5,225,6-2,ArkansasAlabama St.,4/21/1983,2,4,Minnesota Vikings / 2nd / 64th pick / 2006,JackTa00
72,Marcus Johnson,24,G,7,0,321,6-6,Mississippi,7/12/1984,3,0,Minnesota Vikings / 2nd / 49th pick / 2005,JohnMa20
25,Tyrell Johnson,23,DB,16,7,200,5-11,Arkansas St.,5/19/1985,Rook,3,Minnesota Vikings / 2nd / 43rd pick / 2008,JohnTy99
71,Jimmy Kennedy,29,DT,2,0,320,6-4,Penn St.,11/15/1979,5,0,St. Louis Rams / 1st / 12th pick / 2003,KennJi21
40,Jim Kleinsasser,31,TE,16,11,272,6-3,North Dakota,1/31/1977,9,1,Minnesota Vikings / 2nd / 44th pick / 1999,KleiJi00
5,Chris Kluwe,27,P,16,0,210,6-4,UCLA,12/24/1981,3,3,,KluwCh20
51,Ben Leber,30,LB,16,15,244,6-3,Kansas St.,12/7/1978,6,9,San Diego Chargers / 3rd / 71st pick / 2002,LebeBe20
46,Cullen Loeffler,27,C,16,0,247,6-5,Texas,1/27/1981,4,2,,LoefCu20
8,Ryan Longwell,34,K,16,0,200,6-0,California,8/16/1974,11,4,,longwrya01
21,Marcus McCauley,25,DB,10,1,203,6-1,Fresno St.,9/3/1983,1,1,Minnesota Vikings / 3rd / 72nd pick / 2007,McCaMa99
74,Bryant McKinnie,29,T,12,12,360,6-8,LackawannaMiami (FL),9/23/1979,6,5,Minnesota Vikings / 1st / 7th pick / 2002,McKiBr21
45,Garrett Mills,25,FB,8,0,235,6-1,Tulsa,10/12/1983,1,1,New England Patriots / 4th / 106th pick / 2006,MillGa01
28,Adrian Peterson,23,RB,16,15,220,6-1,Oklahoma,3/21/1985,1,13,Minnesota Vikings / 1st / 7th pick / 2007,PeteAd01
82,Darius Reynaud,24,WR,3,0,201,5-9,West Virginia,12/29/1984,Rook,0,,ReynDa00
18,Sidney Rice,22,WR,13,3,200,6-4,South Carolina,9/1/1986,1,1,Minnesota Vikings / 2nd / 44th pick / 2007,RiceSi01
96,Brian Robison,25,DE,15,0,259,6-3,Texas,4/27/1983,1,2,Minnesota Vikings / 4th / 102nd pick / 2007,RobiBr98
22,Benny Sapp,27,DB,14,4,190,5-9,IowaNorthern Iowa,1/20/1981,4,2,,SappBe20
42,Darren Sharper,33,DB,16,16,210,6-2,William & Mary,11/3/1975,11,6,Green Bay Packers / 2nd / 60th pick / 1997,SharDa00
81,Visanthe Shiancoe,28,TE,16,15,250,6-4,Morgan St.,6/18/1980,5,6,New York Giants / 3rd / 91st pick / 2003,ShiaVi00
65,John Sullivan,23,C,16,0,312,6-4,Notre Dame,8/8/1985,Rook,1,Minnesota Vikings / 6th / 187th pick / 2008,SullJo24
38,Naufahu Tahi,27,RB,16,5,254,6-0,BYU,10/30/1981,1,0,,TahiNa00
44,Thomas Tapeh,28,FB,2,1,243,6-1,Minnesota,3/28/1980,4,0,Philadelphia Eagles / 5th / 162nd pick / 2004,TapeTh00
29,Chester Taylor,29,RB,16,1,208,5-11,Toledo,9/22/1979,6,6,Baltimore Ravens / 6th / 207th pick / 2002,TaylCh01
55,Dontarrious Thomas,28,MLB,4,0,241,6-2,Auburn,9/2/1980,4,1,Minnesota Vikings / 2nd / 48th pick / 2004,ThomDo21
19,Bobby Wade,27,WR,16,14,195,5-10,Arizona,2/25/1981,5,6,Chicago Bears / 5th / 139th pick / 2003,WadeBo00
93,Kevin Williams,28,DT,16,16,311,6-5,Oklahoma St.,8/16/1980,5,18,Minnesota Vikings / 1st / 9th pick / 2003,WillKe98
20,Madieu Williams,27,DB,9,9,209,6-1,TowsonMaryland,10/18/1981,4,3,Cincinnati Bengals / 2nd / 56th pick / 2004,WillMa20
94,Pat Williams,36,DT,14,14,317,6-3,NE State (OK)Texas A&M,10/24/1972,11,10,,WillPa20
26,Antoine Winfield,31,DB,16,16,180,5-9,Ohio St.,6/24/1977,9,12,Buffalo Bills / 1st / 23rd pick / 1999,WinfAn20
