No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
31,Ameer Abdullah,26,RB,16,0,196,5-9,Nebraska,6/13/1993,4,2,Detroit Lions / 2nd / 54th pick / 2015,$720000,AbduAm00
20,Mackensie Alexander,26,CB,13,4,192,5-10,Clemson,11/12/1993,3,2,Minnesota Vikings / 2nd / 54th pick / 2016,$1038587,AlexMa01
5,Dan Bailey,31,K,16,0,190,6-0,Oklahoma St.,1/26/1988,8,4,,$1000000,BailDa00
55,Anthony Barr,27,OLB,14,14,257,6-5,UCLA,3/18/1992,5,7,Minnesota Vikings / 1st / 9th pick / 2014,$2900000,BarrAn00
12,Chad Beebe,25,WR,3,0,183,5-10,Northern Illinois,6/1/1994,1,1,,$570000,BeebCh00
23,Mike Boone,24,RB,16,2,205,5-10,Cincinnati,7/30/1995,1,2,,$570000,BoonMi00
38,Kris Boyd,23,CB,16,0,195,5-11,Texas,9/12/1996,Rook,1,Minnesota Vikings / 7th / 217th pick / 2019,$495000,BoydKr00
56,Garrett Bradbury,24,OL,16,16,300,6-3,North Carolina St.,6/20/1995,Rook,8,Minnesota Vikings / 1st / 18th pick / 2019,$495000,BradGa00
40,Kentrell Brothers,26,ILB,13,1,242,6-1,Missouri,2/8/1993,3,1,Minnesota Vikings / 5th / 160th pick / 2016,$720000,BrotKe00
76,Aviante Collins,26,OG,2,1,292,6-4,TCU,4/21/1993,2,1,,$645000,CollAv00
2,Britton Colquitt,34,P,16,0,210,6-3,Tennessee,3/20/1985,9,2,,,ColqBr00
83,Tyler Conklin,24,TE,15,1,248,6-3,Central Michigan,7/30/1995,1,1,Minnesota Vikings / 5th / 157th pick / 2018,$570000,ConkTy00
33,Dalvin Cook,24,RB,14,14,210,5-10,Florida St.,8/10/1995,2,15,Minnesota Vikings / 2nd / 41st pick / 2017,$1042576,CookDa01
8,Kirk Cousins,31,QB,15,15,205,6-3,Michigan St.,8/19/1988,7,14,Washington Redskins / 4th / 102nd pick / 2012,$27500000,CousKi00
58,Austin Cutting,23,LS,16,0,245,6-3,Air Force,10/27/1996,Rook,1,Minnesota Vikings / 7th / 250th pick / 2019,$495000,CuttAu00
16,Davion Davis,23,WR,2,0,195,5-11,Sam Houston St.,10/23/1996,Rook,0,,,DaviDa03
14,Stefon Diggs,26,WR,15,15,191,6-0,Maryland,11/29/1993,4,13,Minnesota Vikings / 5th / 146th pick / 2015,$8900000,DiggSt00
86,Brandon Dillon,22,TE,1,0,250,6-5,Marian,4/30/1997,Rook,0,,$495000,DillBr00
13,Josh Doctson,27,WR,1,0,205,6-2,TCUWyoming,12/3/1992,3,0,Washington Redskins / 1st / 22nd pick / 2016,,DoctJo00
57,Devante Downs,24,LB,2,0,252,6-2,California,10/18/1995,1,0,Minnesota Vikings / 7th / 225th pick / 2018,$570000,DownDe00
78,Dakota Dozier,28,OT,16,4,312,6-4,Furman,4/30/1991,5,3,New York Jets / 4th / 137th pick / 2014,$805000,DoziDa00
65,Pat Elflein,25,C,15,15,303,6-3,Ohio St.,7/6/1994,2,8,Minnesota Vikings / 3rd / 70th pick / 2017,$809500,ElflPa00
39,Marcus Epps,23,S,8,0,198,6-0,Wyoming,1/27/1996,Rook,0,Minnesota Vikings / 6th / 191st pick / 2019,$670000,EppsMa00
32,Mark Fields II,23,CB,1,0,192,5-10,Clemson,10/10/1996,Rook,0,,,FielMa01
42,Ben Gedeon,25,ILB,8,5,244,6-2,Michigan,10/16/1994,2,2,Minnesota Vikings / 4th / 120th pick / 2017,$645000,GedeBe00
97,Everson Griffen,32,DE,15,15,273,6-3,USC,12/22/1987,9,10,Minnesota Vikings / 4th / 100th pick / 2010,$6400000,GrifEv99
30,C.J. Ham,26,RB,16,7,250,5-11,Augustana (SD),7/22/1993,2,2,,$645000,HamxC.00
41,Anthony Harris,28,DB,14,14,202,6-1,Virginia,10/9/1991,4,6,,$3095000,HarrAn01
24,Holton Hill,22,CB,8,1,196,6-2,Texas,3/28/1997,1,1,,$435882,HillHo00
