No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
92,Remi Ayodele,25,DT,6,0,318,6-2,Oklahoma,4/22/1983,1,0,,AyodRe99
36,Darian Barnes,28,FB,4,0,240,6-2,RutgersHampton,2/28/1980,6,0,,BarnDa00
40,Mike Bell,25,RB,4,0,225,6-0,Arizona,4/23/1983,2,0,,BellMi00
9,Drew Brees,29,QB,16,16,209,6-0,Purdue,1/15/1979,7,17,San Diego Chargers / 2nd / 32nd pick / 2001,BreeDr00
70,Jammal Brown,27,T,15,15,317,6-6,Oklahoma,3/30/1981,3,13,New Orleans Saints / 1st / 13th pick / 2005,BrowJa55
11,Mark Brunell,38,QB,2,0,215,6-1,Washington,9/17/1970,14,0,Green Bay Packers / 5th / 118th pick / 1993,BrunMa00
29,Josh Bullocks,25,DB,16,6,210,6-0,Nebraska,2/28/1983,3,3,New Orleans Saints / 2nd / 40th pick / 2005,BullJo20
25,Reggie Bush,23,RB,10,9,205,6-0,USC,3/2/1985,2,10,New Orleans Saints / 1st / 2nd pick / 2006,BushRe00
74,Jermon Bushrod,24,T,2,0,318,6-5,Towson,8/19/1984,1,0,New Orleans Saints / 4th / 125th pick / 2007,BushJe20
80,Mark Campbell,33,TE,9,4,260,6-6,Michigan,12/6/1975,9,1,,CampMa00
97,Jeff Charleston,25,DE,10,0,265,6-4,Idaho St.,1/19/1983,1,1,,CharJe99
71,Kendrick Clancy,30,DT,14,14,305,6-1,Mississippi,9/17/1978,8,6,Pittsburgh Steelers / 3rd / 72nd pick / 2000,ClanKe20
12,Marques Colston,25,WR,11,6,225,6-4,Hofstra,6/5/1983,2,7,New Orleans Saints / 7th / 252nd pick / 2006,ColsMa00
18,Terrance Copper,26,WR,5,0,207,6-0,East Carolina,3/12/1982,4,0,,CoppTe00
21,Jason Craft,32,DB,2,0,187,5-10,Colorado St.,2/13/1976,9,0,Jacksonville Jaguars / 5th / 160th pick / 1999,CrafJa20
42,Jason David,26,DB,14,6,180,5-8,Washington St.,6/12/1982,4,4,Indianapolis Colts / 4th / 125th pick / 2004,DaviJa20
56,Jo-Lonn Dunbar,23,MLB,15,2,233,6-1,Boston Col.,3/13/1985,Rook,2,,DunbJo20
98,Sedrick Ellis,23,DT,13,13,308,6-1,USC,7/9/1985,Rook,6,New Orleans Saints / 1st / 7th pick / 2008,ElliSe99
73,Jahri Evans,25,G,16,16,318,6-4,Bloomsburg,8/22/1983,2,11,New Orleans Saints / 4th / 108th pick / 2006,EvanJa21
54,Troy Evans,31,LB,15,0,238,6-3,Cincinnati,12/3/1977,6,1,,EvanTr20
55,Scott Fujita,29,LB,14,13,250,6-5,California,4/28/1979,6,6,Kansas City Chiefs / 5th / 143rd pick / 2002,FujiSc20
20,Randall Gay,26,DB,14,13,190,5-11,LSU,5/5/1982,4,5,,GayxRa20
31,Aaron Glenn,36,DB,4,1,185,5-9,Texas A&M,7/16/1972,14,1,New York Jets / 1st / 12th pick / 1994,GlenAa00
76,Jonathan Goodwin,30,G,13,13,318,6-3,OhioMichigan,12/2/1978,6,9,New York Jets / 5th / 154th pick / 2002,GoodJo23
7,Ben Graham,35,P,1,0,236,6-5,Deakin (Australia),11/2/1973,3,0,,GrahBe20
1,Martin Gramatica,33,K,5,0,170,5-8,Kansas St.,11/27/1975,9,0,Tampa Bay Buccaneers / 3rd / 80th pick / 1999,gramamar01
94,Charles Grant,30,DE,8,8,285,6-3,Georgia,9/3/1978,6,4,New Orleans Saints / 1st / 25th pick / 2002,GranCh21
10,Skyler Green,24,WR,2,0,195,5-9,LSU,9/12/1984,2,0,Dallas Cowboys / 4th / 125th pick / 2006,GreeSk20
30,Lynell Hamilton,23,RB,1,0,235,6-0,San Diego St.,8/5/1985,Rook,0,,HamiLy20
41,Roman Harper,26,DB,15,15,205,6-1,Alabama,12/11/1982,2,6,New Orleans Saints / 2nd / 43rd pick / 2006,HarpRo21
5,Garrett Hartley,22,K,8,0,204,5-8,Oklahoma,5/16/1986,Rook,3,,HartGa00
19,Devery Henderson,26,WR,16,13,200,5-11,LSU,3/26/1982,4,8,New Orleans Saints / 2nd / 50th pick / 2004,HendDe00
21,Terrence Holt,28,DB,2,0,208,6-2,North Carolina St.,3/5/1980,5,0,Detroit Lions / 5th / 137th pick / 2003,HoltTe20
47,Kevin Houser,31,C,16,0,252,6-2,Ohio St.,8/23/1977,8,3,New Orleans Saints / 7th / 228th pick / 2000,HousKe01
43,Kevin Kaesviharn,32,DB,11,11,200,6-1,Augustana (SD),8/29/1976,7,5,,KaesKe20
44,Mike Karney,27,FB,12,8,260,5-11,Arizona St.,7/6/1981,4,0,New Orleans Saints / 5th / 156th pick / 2004,KarnMi00
96,Antwan Lake,29,DE,11,0,308,6-4,West Virginia,7/10/1979,6,1,,LakeAn20
68,Matt Lehr,29,C,13,3,304,6-2,Virginia Tech,4/25/1979,7,3,Dallas Cowboys / 5th / 137th pick / 2001,LehrMa20
26,Deuce McAllister,30,RB,13,6,232,6-1,Mississippi,12/27/1978,7,4,New Orleans Saints / 1st / 23rd pick / 2001,McAlDe00
93,Bobby McCray,27,DE,16,8,260,6-6,Florida,11/1/1981,4,5,Jacksonville Jaguars / 7th / 249th pick / 2004,McCrBo20
34,Mike McKenzie,32,DB,7,6,194,6-0,Memphis,4/26/1976,9,3,Green Bay Packers / 3rd / 87th pick / 1999,McKeMi20
17,Robert Meachem,24,WR,14,3,214,6-2,Tennessee,9/28/1984,Rook,3,New Orleans Saints / 1st / 27th pick / 2007,MeacRo00
5,Taylor Mehlhaff,23,K,3,0,185,5-10,Wisconsin,8/25/1985,Rook,0,New Orleans Saints / 6th / 178th pick / 2008,MehlTa99
83,Billy Miller,31,TE,15,5,252,6-3,USC,4/24/1977,9,6,Denver Broncos / 7th / 218th pick / 1999,MillBi00
50,Marvin Mitchell,24,MLB,15,0,249,6-3,Tennessee,10/21/1984,1,1,New Orleans Saints / 7th / 220th pick / 2007,MitcMa99
16,Lance Moore,25,WR,16,6,187,5-9,Toledo,8/31/1983,2,9,,MoorLa00
67,Jamar Nesbit,32,G,7,3,328,6-4,South Carolina,12/17/1976,9,2,,NesbJa20
77,Carl Nicks,23,T,16,13,343,6-5,Nebraska,5/14/1985,Rook,9,New Orleans Saints / 5th / 164th pick / 2008,NickCa20
86,Buck Ortega,27,TE,11,1,224,6-5,Miami (FL),9/22/1981,Rook,0,,OrteBu00
4,Glenn Pakulak,28,P,8,0,220,6-3,Kentucky,4/9/1980,Rook,1,,PakuGl00
81,David Patten,34,WR,5,3,190,5-10,Western Carolina,8/19/1974,11,2,,PattDa00
22,Tracy Porter,22,DB,5,5,185,5-11,Indiana,8/11/1986,Rook,2,New Orleans Saints / 2nd / 40th pick / 2008,PortTr99
