No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
58,Kwon Alexander,26,OLB,7,7,227,6-1,LSU,8/3/1994,5,4,Tampa Bay Buccaneers / 4th / 124th pick / 2015,$516878,AlexKw00
47,Alex Anzalone,26,OLB,16,9,237,6-3,Florida,9/22/1994,3,5,New Orleans Saints / 3rd / 76th pick / 2017,$809000,AnzaAl00
72,Terron Armstead,29,OT,14,14,304,6-5,Ark-Pine Bluff,7/23/1991,7,11,New Orleans Saints / 3rd / 75th pick / 2013,$1050000,ArmsTe00
53,Zack Baun,24,LB,15,3,225,6-3,Wisconsin,12/30/1996,Rook,3,New Orleans Saints / 3rd / 74th pick / 2020,$610000,BaunZa00
9,Drew Brees,41,QB,12,12,209,6-0,Purdue,1/15/1979,19,10,San Diego Chargers / 2nd / 32nd pick / 2001,$2000000,BreeDr00
90,Malcom Brown,26,DT,13,13,320,6-2,Texas,2/2/1994,5,7,New England Patriots / 1st / 32nd pick / 2015,$4100000,BrowMa01
32,Michael Burton,28,FB,15,4,243,6-0,Rutgers,2/1/1992,5,0,Detroit Lions / 5th / 168th pick / 2015,$910000,BurtMi00
12,Marquez Callaway,22,WR,11,3,204,6-2,Tennessee,3/27/1998,Rook,2,,$610000,CallMa01
80,Austin Carr,27,WR,6,0,195,6-1,Northwestern,12/25/1993,3,0,,,CarrAu00
64,Will Clapp,25,C,8,0,311,6-5,LSU,12/10/1995,2,1,New Orleans Saints / 7th / 245th pick / 2018,$109200,ClapWi00
87,Jared Cook,33,TE,15,5,246,6-5,South Carolina,4/7/1987,11,5,Tennessee Titans / 3rd / 89th pick / 2009,$7000000,CookJa02
25,Ken Crawley,27,DB,6,0,180,6-1,Colorado,2/8/1993,4,1,,$695882,CrawKe02
92,Marcus Davenport,24,DE,11,1,265,6-6,Texas-San Antonio,9/4/1996,2,1,New Orleans Saints / 1st / 14th pick / 2018,$1729263,DaveMa00
56,Demario Davis,31,OLB,16,16,248,6-2,Arkansas St.,1/11/1989,8,14,New York Jets / 3rd / 77th pick / 2012,$1050000,DaviDe00
50,Andrew Dowell,24,LB,1,0,225,6-1,Michigan St.,11/16/1996,Rook,0,,,DoweAn00
62,Nick Easton,28,C,12,9,303,6-3,Harvard,6/16/1992,4,5,,$4500000,EastNi00
55,Kaden Elliss,25,LB,15,0,238,6-3,Idaho,7/10/1995,1,1,New Orleans Saints / 7th / 244th pick / 2019,$675000,ElliKa00
16,Bennie Fowler,29,WR,5,0,212,6-1,Michigan St.,6/10/1991,6,0,,$802941,FowlBe00
22,Chauncey Gardner-Johnson,23,S,15,13,210,5-11,Florida,12/20/1997,1,5,New Orleans Saints / 4th / 105th pick / 2019,$675000,GardCh00
95,Ryan Glasgow,27,DT,2,0,300,6-3,Michigan,9/30/1993,3,0,Cincinnati Bengals / 4th / 138th pick / 2017,,GlasRy00
96,Carl Granderson,24,DE,15,0,261,6-5,Wyoming,12/18/1996,1,2,,$675000,GranCa01
48,J.T. Gray,24,DB,16,0,202,6-0,Mississippi St.,1/18/1996,2,1,,$750000,GrayJ.00
73,Ethan Greenidge,23,OL,15,0,335,6-4,Villanova,9/10/1997,1,1,,$675000,GreeEt00
45,Garrett Griffin,26,TE,4,3,240,6-4,Air Force,3/4/1994,3,0,,$660000,GrifGa00
30,Grant Haley,24,CB,1,0,190,5-9,Penn St.,1/6/1996,2,0,,,HaleGr00
42,Chase Hansen,27,LB,2,0,222,6-3,Utah,5/20/1993,Rook,0,,$469118,HansCh02
34,Justin Hardee,26,WR,10,0,200,6-1,Illinois,2/7/1994,3,1,,$1135000,HardJu01
11,Deonte Harris,23,WR,9,2,170,5-6,Assumption,12/4/1997,1,2,,$675000,HarrDe07
91,Trey Hendrickson,26,DE,15,15,270,6-4,Florida Atlantic,12/5/1994,3,9,New Orleans Saints / 3rd / 103rd pick / 2017,$825000,HendTr00
89,Josh Hill,30,TE,14,7,250,6-5,Idaho St.,5/21/1990,7,0,,$1785000,HillJo02
7,Taysom Hill,30,QB,16,8,221,6-2,BYU,8/23/1990,3,7,,$841000,HillTa00
84,Lil'Jordan Humphrey,22,WR,3,1,225,6-4,Texas,4/19/1998,1,0,,$585000,HumpLi01
95,Margus Hunt,33,DE,4,0,295,6-8,SMU,7/14/1987,7,0,Cincinnati Bengals / 2nd / 53rd pick / 2013,$926471,HuntMa00
74,James Hurst,29,OT,12,5,310,6-5,North Carolina,12/17/1991,6,3,,$695882,HursJa00
20,Jackrabbit Jenkins,32,CB,13,13,190,5-10,North AlabamaFlorida,10/29/1988,8,5,St. Louis Rams / 2nd / 39th pick / 2012,$1050000,JenkJa03
27,Malcolm Jenkins,33,DB,16,16,204,6-0,Ohio St.,12/20/1987,11,7,New Orleans Saints / 1st / 14th pick / 2009,$1050000,JenkMa99
83,Juwan Johnson,24,WR,7,4,231,6-4,OregonPenn St.,9/13/1996,Rook,0,,,JohnJu02
37,Tony Jones,23,RB,1,1,224,5-11,Notre Dame,11/24/1997,Rook,0,,,JoneTo04
94,Cameron Jordan,31,DE,16,16,287,6-4,California,7/10/1989,9,12,New Orleans Saints / 1st / 24th pick / 2011,$2250000,JordCa00
41,Alvin Kamara,25,RB,15,10,215,5-10,AlabamaHutchinson (KS)Tennessee,7/25/1995,3,14,New Orleans Saints / 3rd / 67th pick / 2017,$833000,KamaAl00
68,Derrick Kelly,25,T,6,0,320,6-5,Florida St.,8/23/1995,Rook,0,,$610000,KellDe01
23,Marshon Lattimore,24,CB,14,14,192,6-0,Ohio St.,5/20/1996,3,8,New Orleans Saints / 1st / 11th pick / 2017,$2559486,LattMa01
14,Tommylee Lewis,28,WR,5,0,168,5-7,Northern Illinois,10/24/1992,4,0,,,LewiTo00
3,Wil Lutz,26,K,16,0,184,5-11,Georgia St.,7/7/1994,4,3,,$3100000,LutzWi00
78,Erik McCoy,23,OL,16,16,303,6-4,Texas A&M,8/27/1997,1,8,New Orleans Saints / 2nd / 48th pick / 2019,$771261,McCoEr01
88,Ty Montgomery,27,WR/RB,6,1,216,6-0,Stanford,1/22/1993,5,1,Green Bay Packers / 3rd / 94th pick / 2015,$910000,MontTy01
6,Thomas Morstead,34,P,16,0,235,6-4,SMU,3/8/1986,11,2,New Orleans Saints / 5th / 164th pick / 2009,$2950000,MorsTh00
28,Latavius Murray,30,RB,15,7,230,6-3,Central Florida,1/18/1990,7,6,Oakland Raiders / 6th / 181st pick / 2013,$2800000,MurrLa00
93,David Onyemata,28,DT,15,15,300,6-4,Manitoba,11/13/1992,4,8,New Orleans Saints / 4th / 120th pick / 2016,$1000000,OnyeDa00
75,Andrus Peat,27,OT,13,13,316,6-7,Stanford,11/4/1993,5,10,New Orleans Saints / 1st / 13th pick / 2015,$1000000,PeatAn00
71,Ryan Ramczyk,26,OT,16,16,314,6-6,Wisconsin,4/22/1994,3,15,New Orleans Saints / 1st / 32nd pick / 2017,$1677485,RamcRy00
98,Sheldon Rankins,26,DT,12,1,305,6-2,Louisville,4/2/1994,4,2,New Orleans Saints / 1st / 12th pick / 2016,$1690000,RankSh00
97,Malcolm Roach,22,DT,9,0,290,6-3,Texas,6/9/1998,Rook,1,,,RoacMa01
52,Craig Robertson,32,LB,16,0,234,6-1,North Texas,2/11/1988,9,1,,$1700000,RobeCr00
21,Patrick Robinson,33,DB,12,4,191,5-11,Florida St.,9/7/1987,10,2,New Orleans Saints / 1st / 32nd pick / 2010,$1870000,RobiPa99
51,Cesar Ruiz,21,OL,15,9,316,6-4,Michigan,6/14/1999,Rook,5,New Orleans Saints / 1st / 24th pick / 2020,$610000,RuizCe00
17,Emmanuel Sanders,33,WR,14,5,180,5-11,SMU,3/17/1987,10,7,Pittsburgh Steelers / 3rd / 82nd pick / 2010,$2000000,SandEm00
10,Tre'Quan Smith,24,WR,14,10,210,6-2,Central Florida,1/7/1996,2,4,New Orleans Saints / 3rd / 91st pick / 2018,$750000,SmitTr03
36,D.J. Swearinger,29,FS,11,0,205,5-10,South Carolina,9/1/1991,7,1,Houston Texans / 2nd / 57th pick / 2013,$1050000,SweaDJ00
13,Michael Thomas,27,WR,7,5,212,6-3,Ohio St.,3/3/1993,4,4,New Orleans Saints / 2nd / 47th pick / 2016,$1000000,ThomMi05
62,Cameron Tom,25,C,1,0,300,6-4,Southern Miss,6/21/1995,2,0,,,TomxCa00
82,Adam Trautman,23,TE,15,6,253,6-5,Dayton,2/5/1997,Rook,2,New Orleans Saints / 3rd / 105th pick / 2020,$610000,TrauAd00
99,Shy Tuttle,25,DL,13,3,300,6-3,Tennessee,10/20/1995,1,2,,$675000,TuttSh00
24,Dwayne Washington,26,RB,11,0,223,6-1,Washington,4/24/1994,4,0,Detroit Lions / 7th / 236th pick / 2016,$910000,WashDw00
43,Marcus Williams,24,S,14,14,195,6-1,Utah,9/8/1996,3,5,New Orleans Saints / 2nd / 42nd pick / 2017,$1315969,WillMa06
