No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
49,Eric Alexander,23,LB,1,0,240,6-2,LSU,2/8/1982,1,0,,AlexEr20
68,Tom Ashworth,28,T,14,11,305,6-6,Colorado,10/10/1977,3,7,,AshwTo20
95,Tully Banta-Cain,25,LOLB,13,0,250,6-2,California,8/28/1980,2,1,New England Patriots / 7th / 239th pick / 2003,BantTu20
52,Monty Beisel,27,MLB,15,6,246,6-4,Kansas St.,8/20/1978,4,3,Kansas City Chiefs / 4th / 107th pick / 2001,BeisMo20
12,Tom Brady,28,QB,16,16,225,6-4,Michigan,8/3/1977,5,15,New England Patriots / 6th / 199th pick / 2000,BradTo00
83,Deion Branch,26,WR,16,15,195,5-9,Louisville,7/18/1979,3,10,New England Patriots / 2nd / 65th pick / 2002,BranDe00
98,Chad Brown,35,LB,15,5,245,6-2,Colorado,7/12/1970,12,3,Pittsburgh Steelers / 2nd / 44th pick / 1993,BrowCh04
80,Troy Brown,34,WR,13,3,196,5-10,Marshall,7/2/1971,12,5,New England Patriots / 8th / 198th pick / 1993,BrowTr00
54,Tedy Bruschi,32,LB,9,9,247,6-1,Arizona,6/9/1973,9,4,New England Patriots / 3rd / 86th pick / 1996,BrusTe99
16,Matt Cassel,23,QB,2,0,225,6-4,USC,5/17/1982,Rook,1,New England Patriots / 7th / 230th pick / 2005,CassMa00
58,Matt Chatham,28,LB,15,0,250,6-4,South Dakota,6/28/1977,5,1,,ChatMa20
13,Bam Childress,23,WR,1,0,185,5-10,Ohio St.,3/31/1982,Rook,0,,ChilBr00
34,Mike Cloud,30,RB,6,0,205,5-10,Boston Col.,7/1/1975,6,0,Kansas City Chiefs / 2nd / 54th pick / 1999,ClouMi00
59,Rosevelt Colvin,28,LB,16,11,250,6-3,Purdue,9/5/1977,6,5,Chicago Bears / 4th / 111th pick / 1999,ColvRo20
18,Andre' Davis,26,WR,9,4,195,6-1,Virginia Tech,6/12/1979,3,2,Cleveland Browns / 2nd / 47th pick / 2002,DaviAn01
51,Don Davis,33,LB,16,0,235,6-1,Kansas,12/17/1972,9,1,,DaviDo22
28,Corey Dillon,31,RB,12,10,225,6-1,Washington,10/24/1974,8,6,Cincinnati Bengals / 2nd / 43rd pick / 1997,DillCo00
86,Tim Dwight,30,WR,16,1,180,5-8,Iowa,7/13/1975,7,3,Atlanta Falcons / 4th / 114th pick / 1998,DwigTi00
44,Heath Evans,27,FB,6,1,250,6-0,Auburn,12/30/1978,4,2,Seattle Seahawks / 3rd / 82nd pick / 2001,EvanHe00
33,Kevin Faulk,29,RB,8,2,202,5-8,LSU,6/5/1976,6,4,New England Patriots / 2nd / 46th pick / 1999,FaulKe00
88,Christian Fauria,34,TE,16,10,250,6-4,Colorado,9/22/1971,10,1,Seattle Seahawks / 2nd / 39th pick / 1995,FaurCh00
2,Doug Flutie,43,QB,5,0,180,5-10,Boston Col.,10/23/1962,19,0,Los Angeles Rams / 11th / 285th pick / 1985,FlutDo00
25,Arturo Freeman,29,DB,2,1,200,6-1,South Carolina,10/27/1976,5,0,Miami Dolphins / 5th / 152nd pick / 2000,FreeAr20
21,Randall Gay,23,DB,5,2,190,5-11,LSU,5/5/1982,1,1,,GayxRa20
87,David Givens,25,WR,13,10,212,6-0,Notre Dame,8/16/1980,3,7,New England Patriots / 7th / 253rd pick / 2002,GiveDa00
76,Brandon Gorin,27,T,11,8,308,6-6,Purdue,7/17/1978,2,5,San Diego Chargers / 7th / 201st pick / 2001,GoriBr20
82,Daniel Graham,27,TE,11,9,257,6-3,Colorado,11/16/1978,3,2,New England Patriots / 1st / 21st pick / 2002,GrahDa00
97,Jarvis Green,26,DE,15,5,285,6-3,LSU,1/12/1979,3,3,New England Patriots / 4th / 126th pick / 2002,GreeJa21
37,Rodney Harrison,33,DB,3,3,220,6-1,Western Illinois,12/15/1972,11,1,San Diego Chargers / 5th / 145th pick / 1994,HarrRo01
25,Artrell Hawkins,29,DB,5,4,195,5-10,Cincinnati,11/24/1976,7,1,Cincinnati Bengals / 2nd / 43rd pick / 1998,HawkAr20
91,Marquise Hill,23,DE,8,0,300,6-6,LSU,8/7/1982,1,1,New England Patriots / 2nd / 63rd pick / 2004,HillMa21
27,Ellis Hobbs,22,DB,16,8,195,5-9,Iowa St.,5/16/1983,Rook,4,New England Patriots / 3rd / 84th pick / 2005,HobbEl20
71,Russ Hochstein,28,C,16,7,300,6-4,Nebraska,10/7/1977,3,5,Tampa Bay Buccaneers / 5th / 151st pick / 2001,HochRu20
53,Larry Izzo,31,LB,16,0,225,5-10,Rice,9/26/1974,9,1,,IzzoLa00
81,Bethel Johnson,26,WR,11,1,200,5-11,Texas A&M,2/11/1979,2,1,New England Patriots / 2nd / 45th pick / 2003,JohnBe00
77,Nick Kaczur,26,T,14,11,315,6-4,Toledo,7/28/1979,Rook,7,New England Patriots / 3rd / 100th pick / 2005,KaczNi20
90,Dan Klecko,24,DT,10,0,275,5-11,Temple,1/12/1981,2,1,New England Patriots / 4th / 117th pick / 2003,KlecDa20
