No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
60,David Andrews,28,C,12,12,300,6-3,Georgia,7/10/1992,5,4,,$3000000,AndrDa00
86,Devin Asiasi,23,TE,9,3,257,6-3,MichiganUCLA,8/14/1997,Rook,0,New England Patriots / 3rd / 91st pick / 2020,$610000,AsiaDe00
7,Jake Bailey,23,P,16,0,205,6-2,Stanford,6/18/1997,1,3,New England Patriots / 5th / 163rd pick / 2019,$675000,BailJa00
51,Ja'Whaun Bentley,24,ILB,13,13,255,6-2,Purdue,8/24/1996,2,7,New England Patriots / 5th / 143rd pick / 2018,$750000,BentJa00
43,Rashod Berry,24,TE,3,0,255,6-4,Ohio St.,10/14/1996,Rook,0,,,BerrRa01
29,Justin Bethel,30,CB,16,0,200,6-0,Presbyterian,6/17/1990,8,1,Arizona Cardinals / 6th / 177th pick / 2012,$1500000,BethJu00
96,Tashawn Bower,25,OLB,7,3,250,6-5,LSU,2/18/1995,3,2,,$397062,BoweTa00
25,Terrence Brooks,28,FS,14,2,205,5-11,Florida St.,3/2/1992,6,1,Baltimore Ravens / 3rd / 79th pick / 2014,$910000,BrooTe00
41,Myles Bryant,22,DB,9,0,180,5-8,Washington,1/2/1998,Rook,1,,,BryaMy01
34,Rex Burkhead,30,RB,10,0,215,5-10,Nebraska,7/2/1990,7,3,Cincinnati Bengals / 6th / 190th pick / 2013,$1050000,BurkRe00
70,Adam Butler,26,DT,15,4,295,6-5,Vanderbilt,4/12/1994,3,4,,$3259000,ButlAd00
10,Damiere Byrd,27,WR,16,14,175,5-9,South Carolina,1/27/1993,4,6,,$1000000,ByrdDa00
90,Shilique Calhoun,28,DE,10,0,260,6-4,Michigan St.,3/20/1992,4,1,Oakland Raiders / 3rd / 75th pick / 2016,$1000000,CalhSh00
49,Joe Cardona,28,LS,16,0,245,6-3,Navy,4/16/1992,5,1,New England Patriots / 5th / 166th pick / 2015,$910000,CardJo00
52,Brandon Copeland,29,LB,6,4,263,6-3,Pennsylvania,7/2/1991,7,2,,$910000,CopeBr00
99,Byron Cowart,24,DL,14,14,300,6-3,Maryland,5/20/1996,1,8,New England Patriots / 5th / 159th pick / 2019,$645588,CowaBy00
74,Korey Cunningham,25,OT,11,0,305,6-6,Cincinnati,5/17/1995,2,1,Arizona Cardinals / 7th / 254th pick / 2018,$750000,CunnKo00
98,Carl Davis,28,DT,3,1,320,6-5,Iowa,3/2/1992,5,1,Baltimore Ravens / 3rd / 90th pick / 2015,$642353,DaviCa01
22,Cody Davis,31,S,13,0,203,6-2,Texas Tech,6/6/1989,7,1,,$1100000,DaviCo02
35,Kyle Dugger,24,S,14,7,220,6-2,Lenoir-Rhyne,3/22/1996,Rook,3,New England Patriots / 2nd / 37th pick / 2020,$610000,DuggKy00
