No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
26,Brent Alexander,34,DB,16,16,189,5-11,Tennessee St.,7/10/1971,11,7,,AlexBr20
97,Kenderick Allen,27,DT,14,0,328,6-5,LSU,9/14/1978,2,2,,AlleKe20
25,Will Allen,27,DB,16,16,195,5-10,Syracuse,8/5/1978,4,6,New York Giants / 1st / 22nd pick / 2001,AlleWi20
95,Adrian Awasom,22,DE,5,0,280,6-5,North Texas,10/25/1983,Rook,0,,AwasAd20
21,Tiki Barber,30,RB,16,16,205,5-10,Virginia,4/7/1975,8,21,New York Giants / 2nd / 36th pick / 1997,BarbTi00
88,Sean Berton,26,TE,14,0,272,6-4,West VirginiaNorth Carolina St.,10/31/1979,2,0,,BertSe00
57,Chase Blackburn,22,MLB,15,2,240,6-3,Akron,6/10/1983,Rook,3,,BlacCh21
22,Terrell Buckley,34,DB,4,0,180,5-10,Florida St.,6/7/1971,13,0,Green Bay Packers / 1st / 5th pick / 1992,BuckTe20
17,Plaxico Burress,28,WR,16,15,232,6-5,Michigan St.,8/12/1977,5,13,Pittsburgh Steelers / 1st / 8th pick / 2000,BurrPl00
37,James Butler,23,DB,16,1,209,6-3,Georgia Tech,9/7/1982,Rook,2,,ButlJa20
84,Tim Carter,26,WR,15,1,187,6-0,Auburn,9/21/1979,3,2,New York Giants / 2nd / 46th pick / 2002,CartTi00
70,Kendrick Clancy,27,DT,16,15,305,6-1,Mississippi,9/17/1978,5,7,Pittsburgh Steelers / 3rd / 72nd pick / 2000,ClanKe20
30,Mike Cloud,30,RB,1,0,205,5-10,Boston Col.,7/1/1975,6,0,Kansas City Chiefs / 2nd / 54th pick / 1999,ClouMi00
39,Curtis DeLoatch,24,DB,16,13,210,6-2,North Carolina A&T,10/4/1981,1,5,,DeLoCu20
66,David Diehl,25,G,16,16,304,6-5,Illinois,9/15/1980,2,9,New York Giants / 5th / 160th pick / 2003,DiehDa21
99,Damane Duckett,24,DT,8,0,308,6-7,East Carolina,1/21/1981,1,1,,DuckDa20
51,Carlos Emmons,32,LB,9,8,245,6-5,Arkansas St.,9/3/1973,9,4,Pittsburgh Steelers / 7th / 242nd pick / 1996,EmmoCa20
18,Jeff Feagles,39,P,16,0,215,6-1,Miami (FL),3/7/1966,17,2,,FeagJe20
2,Jay Feely,29,K,16,0,208,5-10,Michigan,5/23/1976,4,4,,feelyjay01
20,Jim Finn,29,FB,16,13,245,6-0,Pennsylvania,12/9/1976,5,1,Chicago Bears / 7th / 253rd pick / 1999,FinnJi00
96,Jay Foreman,29,LB,1,0,240,6-1,Nebraska,2/18/1976,6,0,Buffalo Bills / 5th / 156th pick / 1999,ForeJa20
52,Barrett Green,28,ROLB,1,0,225,6-0,West Virginia,10/29/1977,5,0,Detroit Lions / 2nd / 50th pick / 2000,GreeBa20
54,Nick Greisen,26,MLB,16,12,250,6-1,Wisconsin,8/10/1979,3,7,New York Giants / 5th / 152nd pick / 2002,GreiNi20
8,Tim Hasselbeck,27,QB,2,0,214,6-1,Boston Col.,4/6/1978,3,0,,HassTi00
59,Alonzo Jackson,25,LB,8,1,262,6-4,Florida St.,9/15/1980,2,1,Pittsburgh Steelers / 2nd / 59th pick / 2003,JackAl23
27,Brandon Jacobs,23,RB,16,0,264,6-4,Southern Illinois,7/6/1982,Rook,1,New York Giants / 4th / 110th pick / 2005,JacoBr00
94,William Joseph,26,DT,10,10,310,6-5,Miami (FL),9/3/1979,2,5,New York Giants / 1st / 25th pick / 2003,JoseWi20
61,Lewis Kelly,28,T,1,0,310,6-4,South Carolina St.,4/21/1977,4,0,Minnesota Vikings / 7th / 248th pick / 2000,KellLe21
83,Matt Kranchick,26,TE,2,0,260,6-7,Penn St.,12/13/1979,1,0,Pittsburgh Steelers / 6th / 194th pick / 2004,KranMa00
90,Ryan Kuehl,33,DT,16,0,276,6-5,Virginia,1/18/1972,9,2,,KuehRy20
44,Kevin Lewis,27,MLB,1,1,235,6-1,Duke,10/6/1978,5,0,,LewiKe23
10,Eli Manning,24,QB,16,16,220,6-5,Mississippi,1/3/1981,1,15,San Diego Chargers / 1st / 1st pick / 2004,MannEl00
67,Kareem McKenzie,26,T,14,14,330,6-6,Penn St.,5/24/1979,4,8,New York Jets / 3rd / 79th pick / 2001,McKeKa20
93,Eric Moore,24,DE,8,0,268,6-4,Florida St.,2/28/1981,Rook,1,New York Giants / 6th / 186th pick / 2005,MoorEr21
29,Chad Morton,28,RB,16,0,191,5-8,USC,4/4/1977,5,1,New Orleans Saints / 5th / 166th pick / 2000,MortCh00
60,Shaun O'Hara,28,G,16,16,303,6-3,Rutgers,6/23/1977,5,9,,OHarSh20
24,Will Peterson,26,DB,2,2,200,6-0,MichiganWestern Illinois,6/15/1979,4,1,New York Giants / 3rd / 78th pick / 2001,PeteWi20
77,Luke Petitgout,29,T,15,15,308,6-6,Notre Dame,6/16/1976,6,8,New York Giants / 1st / 19th pick / 1999,PetiLu20
55,Roman Phifer,37,LB,1,0,248,6-2,UCLA,3/5/1968,14,0,Los Angeles Rams / 2nd / 31st pick / 1991,PhifRo20
58,Antonio Pierce,27,LB,13,13,238,6-1,Arizona,10/26/1978,4,8,,PierAn20
87,Willie Ponder,25,WR,11,0,205,6-0,TulsaSE Missouri St.,2/14/1980,2,1,New York Giants / 6th / 199th pick / 2003,PondWi00
98,Fred Robbins,28,DT,16,6,325,6-4,Wake Forest,3/25/1977,5,4,Minnesota Vikings / 2nd / 55th pick / 2000,RobbFr20
69,Rich Seubert,26,G,4,1,310,6-3,Western Illinois,3/30/1979,4,1,,SeubRi20
82,Visanthe Shiancoe,25,TE,16,5,250,6-4,Morgan St.,6/18/1980,2,1,New York Giants / 3rd / 91st pick / 2003,ShiaVi00
80,Jeremy Shockey,25,TE,15,15,251,6-5,Miami (FL),8/18/1980,3,10,New York Giants / 1st / 14th pick / 2002,ShocJe00
76,Chris Snee,23,G,16,16,305,6-3,Boston Col.,1/18/1982,1,9,New York Giants / 2nd / 34th pick / 2004,SneeCh20
92,Michael Strahan,34,DE,16,16,255,6-5,Texas Southern,11/21/1971,12,15,New York Giants / 2nd / 40th pick / 1993,StraMi02
86,Jamaar Taylor,24,WR,5,0,197,6-0,Notre DameTexas A&M,2/25/1981,1,0,New York Giants / 6th / 168th pick / 2004,TaylJa00
81,Amani Toomer,31,WR,16,15,203,6-3,Michigan,9/8/1974,9,8,New York Giants / 2nd / 34th pick / 1996,ToomAm00
53,Reggie Torbor,24,ROLB,14,9,254,6-2,Auburn,1/25/1981,1,5,New York Giants / 4th / 97th pick / 2004,TorbRe20
91,Justin Tuck,22,DE,14,1,265,6-5,Notre Dame,3/29/1983,Rook,2,New York Giants / 3rd / 74th pick / 2005,TuckJu20
85,David Tyree,25,WR,13,0,206,6-0,Syracuse,1/3/1980,2,1,New York Giants / 6th / 211th pick / 2003,TyreDa00
72,Osi Umenyiora,24,DE,16,16,255,6-3,Troy,11/16/1981,2,17,New York Giants / 2nd / 56th pick / 2003,UmenOs99
41,Frank Walker,25,DB,7,0,196,5-11,Tuskegee,8/6/1980,2,1,New York Giants / 6th / 207th pick / 2003,WalkFr20
34,Derrick Ward,25,RB,14,0,240,5-11,Fresno St.Ottawa (KS),8/30/1980,1,1,New York Giants / 7th / 235th pick / 2004,WardDe01
23,Corey Webster,23,DB,15,2,200,6-0,LSU,3/2/1982,Rook,2,New York Giants / 2nd / 43rd pick / 2005,WebsCo20
71,Bob Whitfield,34,T,16,2,318,6-5,Stanford,10/18/1971,13,2,Atlanta Falcons / 1st / 8th pick / 1992,WhitBo23
65,Jason Whittle,30,G,14,0,305,6-4,Missouri State,3/7/1975,7,1,,WhitJa22
36,Shaun Williams,29,DB,8,0,218,6-2,UCLA,10/10/1976,7,1,New York Giants / 1st / 24th pick / 1998,WillSh20
28,Gibril Wilson,24,DB,16,16,206,6-0,Tennessee,11/12/1981,1,7,New York Giants / 5th / 136th pick / 2004,WilsGi20
,Team Total,27.1,,16,,247.8,6-2.3,,,4.2,,,-9999
