No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
80,Alex Bachman,24,WR,1,0,190,6-0,Wake Forest,5/29/1996,Rook,0,,,BachAl00
25,Corey Ballentine,24,CB,9,2,191,6-0,Washburn,4/13/1996,1,1,New York Giants / 6th / 180th pick / 2019,$675000,BallCo00
26,Saquon Barkley,23,RB,2,2,233,5-11,Penn St.,2/9/1997,2,1,New York Giants / 1st / 2nd pick / 2018,$750000,BarkSa00
18,C.J. Board,27,WR,14,4,181,6-1,Chattanooga,12/12/1993,2,1,,$675000,BoarC.00
24,James Bradberry,27,CB,15,15,212,6-1,Arkansas St.Samford,8/4/1993,4,10,Carolina Panthers / 2nd / 62nd pick / 2016,$3900000,BradJa00
47,Cam Brown,22,LB,15,0,233,6-5,Penn St.,4/1/1998,Rook,1,New York Giants / 6th / 183rd pick / 2020,$610000,BrowCa01
35,T.J. Brunson,23,LB,5,0,230,6-1,South Carolina,12/3/1997,Rook,0,New York Giants / 7th / 238th pick / 2020,,BrunTJ00
59,Lorenzo Carter,25,DE,5,5,255,6-5,Georgia,12/10/1995,2,3,New York Giants / 3rd / 66th pick / 2018,$851226,CartLo01
36,Sean Chandler,24,FS,3,0,200,5-10,Temple,4/27/1996,2,0,,$134400,ChanSe00
34,Adrian Colbert,27,SS,6,2,205,6-2,Miami (FL),10/6/1993,3,1,San Francisco 49ers / 7th / 229th pick / 2017,$825000,ColbAd00
49,Carter Coughlin,23,LB,14,2,236,6-3,Minnesota,7/21/1997,Rook,2,New York Giants / 7th / 218th pick / 2020,$610000,CougCa00
48,Tae Crowder,23,,11,6,235,6-3,Georgia,3/12/1997,Rook,4,New York Giants / 7th / 255th pick / 2020,$474116,CrowTa00
9,Riley Dixon,27,P,16,0,221,6-4,Syracuse,8/24/1993,4,2,Denver Broncos / 7th / 228th pick / 2016,$910000,DixoRi00
52,Devante Downs,25,LB,16,8,252,6-2,California,10/18/1995,2,5,Minnesota Vikings / 7th / 225th pick / 2018,$750000,DownDe00
43,Nate Ebner,32,DB,16,0,215,6-0,Ohio St.,12/14/1988,8,1,New England Patriots / 6th / 197th pick / 2012,$1050000,EbneNa00
88,Evan Engram,26,TE,16,14,240,6-3,Mississippi,9/2/1994,3,5,New York Giants / 1st / 23rd pick / 2017,$1926587,EngrEv00
51,Kyler Fackrell,29,OLB,12,9,245,6-5,Utah St.,11/25/1991,4,6,Green Bay Packers / 3rd / 88th pick / 2016,$2600000,FackKy00
