--- When using SR data, please cite us and provide a link and/or a mention.


 
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
77,Jack Anderson,24,G,,,315,6-5,Texas Tech,10/12/1998,1,,Buffalo Bills / 7th / 236th pick / 2021,AndeJa01
26,Saquon Barkley,25,RB,,,233,5-11,Penn St.,2/9/1997,4,,New York Giants / 1st / 2nd pick / 2018,BarkSa00
82,Daniel Bellinger,22,TE,,,255,6-6,Georgia,9/22/2000,Rook,,New York Giants / 4th / 112th pick / 2022,BellDa00
24,Dane Belton,22,DB,,,205,6-1,Iowa,12/7/2000,Rook,,New York Giants / 4th / 114th pick / 2022,BeltDa00
68,Ben Bredeson,24,OL,,,315,6-5,Michigan,2/20/1998,2,,Baltimore Ravens / 4th / 143rd pick / 2020,BredBe00
31,Matt Breida,27,RB,,,195,5-10,Georgia Southern,2/28/1995,5,,,BreiMa00
23,Gary Brightwell,23,RB,,,215,5-11,Arizona,2/28/1999,1,,New York Giants / 6th / 196th pick / 2021,BrigGa00
47,Cam Brown,24,LB,,,233,6-5,Penn St.,4/1/1998,2,,New York Giants / 6th / 183rd pick / 2020,BrowCa01
59,Austin Calitro,28,RILB,,,240,6-0,Villanova,1/10/1994,4,,,CaliAu00
52,Carter Coughlin,25,LB,,,236,6-3,Minnesota,7/21/1997,2,,New York Giants / 7th / 218th pick / 2020,CougCa00
48,Tae Crowder,25,,,,235,6-3,Georgia,3/12/1997,2,,New York Giants / 7th / 255th pick / 2020,CrowTa00
98,D.J. Davidson,25,DT,,,325,6-5,Arizona St.,9/19/1997,Rook,,New York Giants / 5th / 147th pick / 2022,DaviDJ00
71,Justin Ellis,32,DT,,,350,6-2,Louisiana Tech,12/27/1990,8,,Oakland Raiders / 4th / 107th pick / 2014,ElliJu01
75,Joshua Ezeudu,23,OL,,,325,6-4,North Carolina,9/19/1999,Rook,,New York Giants / 3rd / 67th pick / 2022,EzeuJo00
76,Jon Feliciano,30,OG,,,325,6-4,Miami (FL),2/10/1992,7,,Oakland Raiders / 4th / 128th pick / 2015,FeliJo00
28,Cordale Flott,21,CB,,,165,6-1,LSU,8/24/2001,Rook,,New York Giants / 3rd / 81st pick / 2022,FlotCo00
49,Tomon Fox,24,OLB,,,260,6-3,North Carolina,3/16/1998,Rook,,,FoxxTo00
9,Graham Gano,35,K,,,202,6-2,Florida St.,4/9/1987,13,,,GanoGr44
17,Jamie Gillan,25,P,,,207,6-1,Ark-Pine Bluff,7/4/1997,3,,,GillJa00
64,Mark Glowinski,30,OG,,,310,6-4,LackawannaWest Virginia,5/3/1992,7,,Seattle Seahawks / 4th / 134th pick / 2015,GlowMa00
19,Kenny Golladay,29,WR,,,213,6-4,Northern Illinois,11/3/1993,5,,Detroit Lions / 3rd / 96th pick / 2017,GollKe00
62,Devery Hamilton,24,OT,,,311,6-6,Duke,4/19/1998,Rook,,,HamiDe00
30,Darnay Holmes,24,CB,,,195,5-10,UCLA,6/23/1998,2,,New York Giants / 4th / 110th pick / 2020,HolmDa01
88,Tanner Hudson,28,TE,,,239,6-5,Southern Arkansas,11/12/1994,3,,,HudsTa00
22,Adoree' Jackson,27,CB,,,185,5-11,USC,9/18/1995,5,,Tennessee Titans / 1st / 18th pick / 2017,JackAd00
80,Richie James,27,WR,,,185,5-9,Middle Tenn. St.,9/5/1995,4,,San Francisco 49ers / 7th / 240th pick / 2018,JameRi00
8,Daniel Jones,25,QB,,,221,6-5,Duke,5/27/1997,3,,New York Giants / 1st / 6th pick / 2019,JoneDa05
58,Casey Kreiter,32,LS,,,250,6-1,Iowa,8/13/1990,6,,,KreiCa00
97,Dexter Lawrence,25,DL,,,342,6-4,Clemson,11/12/1997,3,,New York Giants / 1st / 17th pick / 2019,LawrDe03
35,Justin Layne,24,CB,,,192,6-2,Michigan St.,1/12/1998,3,,Pittsburgh Steelers / 3rd / 83rd pick / 2019,LaynJu00
20,Julian Love,24,CB,,,195,5-11,Notre Dame,3/19/1998,3,,New York Giants / 4th / 108th pick / 2019,LoveJu00
36,Nick McCloud,24,CB,,,193,6-0,North Carolina St.Notre Dame,7/9/1998,1,,,McClNi00
43,Micah McFadden,22,LB,,,232,6-2,Indiana,1/3/2000,Rook,,New York Giants / 5th / 146th pick / 2022,McFaMi01
29,Xavier McKinney,23,S,,,201,6-0,Alabama,8/9/1999,2,,New York Giants / 2nd / 36th pick / 2020,McKiXa00
85,Chris Myarick,27,TE,,,255,6-5,Temple,10/6/1995,2,,,MyarCh00
73,Evan Neal,22,OL,,,360,6-7,Alabama,9/19/2000,Rook,,New York Giants / 1st / 7th pick / 2022,NealEv00
51,Azeez Ojulari,22,LB,,,249,6-2,Georgia,6/16/2000,1,,New York Giants / 2nd / 50th pick / 2021,OjulAz00
79,Tyre Phillips,25,OL,,,344,6-5,East Mississippi CCMississippi St.,1/29/1997,2,,Baltimore Ravens / 3rd / 106th pick / 2020,PhilTy00
44,Jason Pinnock,23,CB,,,205,6-0,Pittsburgh,6/30/1999,1,,New York Jets / 5th / 175th pick / 2021,PinnJa01
33,Aaron Robinson,25,DB,,,193,6-1,AlabamaCentral Florida,11/10/1997,1,,New York Giants / 3rd / 71st pick / 2021,RobiAa00
17,Wan'Dale Robinson,21,WR,,,185,5-11,NebraskaKentucky,1/5/2001,Rook,,New York Giants / 2nd / 43rd pick / 2022,RobiWa01
3,Sterling Shepard,29,WR,,,201,5-10,Oklahoma,2/10/1993,6,,New York Giants / 2nd / 40th pick / 2016,ShepSt00
13,David Sills,26,WR,,,210,6-3,West Virginia,5/29/1996,1,,,SillDa01
86,Darius Slayton,25,WR,,,190,6-1,Auburn,1/12/1997,3,,New York Giants / 5th / 171st pick / 2019,SlayDa01
2,Tyrod Taylor,33,QB,,,217,6-1,Virginia Tech,8/3/1989,11,,Baltimore Ravens / 6th / 180th pick / 2011,TaylTy00
5,Kayvon Thibodeaux,22,DE,,,250,6-5,Oregon,12/15/2000,Rook,,New York Giants / 1st / 5th pick / 2022,ThibKa00
78,Andrew Thomas,23,OL,,,315,6-5,Georgia,1/22/1999,2,,New York Giants / 1st / 4th pick / 2020,ThomAn02
89,Kadarius Toney,23,WR,,,193,6-0,Florida,1/27/1999,1,,New York Giants / 1st / 20th pick / 2021,ToneKa00
55,Jihad Ward,28,DE,,,287,6-5,Illinois,5/11/1994,6,,Oakland Raiders / 2nd / 44th pick / 2016,WardJi02
21,Antonio Williams,25,RB,,,210,5-11,North Carolina,10/22/1997,2,,,WillAn03
99,Leonard Williams,28,DT,,,302,6-5,USC,6/20/1994,7,,New York Jets / 1st / 6th pick / 2015,WillLe02
93,Nick Williams,32,DT,,,310,6-4,Samford,2/21/1990,8,,Pittsburgh Steelers / 7th / 223rd pick / 2013,WillNi01
53,Oshane Ximines,26,EDGE,,,254,6-4,Old Dominion,12/7/1996,3,,New York Giants / 3rd / 95th pick / 2019,XimiOs00
65,Nick Gates (PUP),27,OT,,,307,6-5,Nebraska,11/27/1995,4,,,GateNi00
74,Matt Peart (PUP),25,OL,,,318,6-7,Connecticut,6/11/1997,2,,New York Giants / 3rd / 99th pick / 2020,PearMa00
41,Darrian Beavers (IR),23,LB,,,255,6-4,ConnecticutCincinnati,7/5/1999,Rook,,New York Giants / 6th / 182nd pick / 2022,BeavDa00
15,Collin Johnson (IR),25,WR,,,222,6-6,Texas,9/23/1997,2,,Jacksonville Jaguars / 5th / 165th pick / 2020,JohnCo01
66,Shane Lemieux (IR),25,OL,,,310,6-4,Oregon,5/12/1997,2,,New York Giants / 5th / 150th pick / 2020,LemiSh00
60,Marcus McKethan (IR),23,OL,,,335,6-7,North Carolina,5/19/1999,Rook,,New York Giants / 5th / 173rd pick / 2022,McKeMa01
94,Elerson Smith (IR),24,DE,,,255,6-7,Northern Iowa,7/17/1998,1,,New York Giants / 4th / 116th pick / 2021,SmitEl00
25,Rodarius Williams (IR),26,CB,,,193,6-0,Oklahoma St.,9/12/1996,1,,New York Giants / 6th / 201st pick / 2021,WillRo07
