No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
29,Donnie Abraham,30,DB,8,2,190,5-10,East Tennessee St.,10/8/1973,7,1,Tampa Bay Buccaneers / 3rd / 71st pick / 1996,AbraDo00
94,John Abraham,25,DE,7,6,263,6-4,South Carolina,5/6/1978,3,3,New York Jets / 1st / 13th pick / 2000,AbraJo00
35,B.J. Askew,23,FB,16,0,233,6-3,Michigan,8/19/1980,Rook,0,New York Jets / 3rd / 85th pick / 2003,AskeB.00
86,Chris Baker,24,TE,16,0,261,6-3,Michigan St.,11/18/1979,1,1,New York Jets / 3rd / 88th pick / 2002,BakeCh00
20,Michael Bates,34,RB,8,0,189,5-10,Arizona,12/19/1969,10,0,Seattle Seahawks / 6th / 150th pick / 1992,BateMi00
21,Aaron Beasley,30,DB,16,16,205,6-0,West Virginia,7/7/1973,7,7,Jacksonville Jaguars / 3rd / 63rd pick / 1996,BeasAa20
88,Anthony Becht,26,TE,16,16,270,6-6,West Virginia,8/8/1977,3,3,New York Jets / 1st / 27th pick / 2000,BechAn00
6,Doug Brien,33,K,16,0,180,6-0,California,11/24/1970,9,5,San Francisco 49ers / 3rd / 85th pick / 1994,briendou01
50,Mark Brown,23,LB,1,0,238,6-0,Auburn,5/19/1980,Rook,0,,BrowMa22
53,Khary Campbell,24,MLB,4,0,224,6-2,Bowling Green,4/4/1979,1,0,,CampKh20
84,Jonathan Carter,24,WR,9,0,180,6-0,Troy,3/20/1979,2,2,New York Giants / 5th / 162nd pick / 2001,CartJo01
22,Tyrone Carter,27,DB,16,10,190,5-8,Minnesota,3/31/1976,3,5,Minnesota Vikings / 4th / 118th pick / 2000,CartTy20
80,Wayne Chrebet,30,WR,7,5,188,5-10,Hofstra,8/14/1973,8,3,,ChreWa00
81,Curtis Conway,32,WR,16,15,196,6-1,USC,1/13/1971,10,6,Chicago Bears / 1st / 7th pick / 1993,ConwCu00
56,Sam Cowart,28,LB,15,15,245,6-2,Florida St.,2/26/1975,5,7,Buffalo Bills / 2nd / 39th pick / 1998,CowaSa00
85,James Dearth,27,TE,16,0,265,6-4,TulsaTarleton St.,1/22/1976,4,0,Cleveland Browns / 6th / 191st pick / 1999,DearJa00
92,Shaun Ellis,26,DE,16,16,290,6-5,Tennessee,6/24/1977,3,10,New York Jets / 1st / 12th pick / 2000,ElliSh00
91,Josh Evans,31,DT,6,0,280,6-3,Ala-Birmingham,9/6/1972,8,1,,EvanJo23
69,Jason Fabini,29,T,16,16,309,6-7,Cincinnati,8/25/1974,5,8,New York Jets / 4th / 111th pick / 1998,FabiJa20
72,Jason Ferguson,29,DT,16,16,310,6-3,Georgia,11/28/1974,6,7,New York Jets / 7th / 229th pick / 1997,FergJa21
42,Sam Garnes,29,DB,16,16,225,6-3,Cincinnati,7/12/1974,6,7,New York Giants / 5th / 136th pick / 1997,GarnSa20
58,Jason Glenn,24,LB,14,1,231,6-0,Texas A&M,8/20/1979,2,2,Detroit Lions / 6th / 173rd pick / 2001,GlenJa20
78,Jonathan Goodwin,25,G,15,0,318,6-3,OhioMichigan,12/2/1978,1,1,New York Jets / 5th / 154th pick / 2002,GoodJo23
31,Ray Green,26,DB,8,0,195,6-3,South Carolina,3/22/1977,3,1,,GreeRa20
23,Jamie Henderson,24,DB,14,0,202,6-2,Georgia,1/1/1979,2,1,New York Jets / 4th / 101st pick / 2001,HendJa20
54,Victor Hobson,23,ROLB,16,1,252,6-0,Michigan,2/3/1980,Rook,2,New York Jets / 2nd / 53rd pick / 2003,HobsVi20
89,Albert Johnson,26,WR,1,0,190,5-9,SMU,11/11/1977,1,0,,JohnAl23
55,Marvin Jones,31,LB,16,16,244,6-2,Florida St.,6/28/1972,10,7,New York Jets / 1st / 4th pick / 1993,JoneMa23
34,LaMont Jordan,25,RB,16,0,242,5-10,Maryland,11/11/1978,2,2,New York Jets / 2nd / 49th pick / 2001,JordLa00
