No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
33,Jamal Adams,24,SS,14,14,213,6-1,LSU,10/17/1995,2,14,New York Jets / 1st / 6th pick / 2017,$645000,AdamJa00
36,Josh Adams,23,RB,3,0,225,6-2,Notre Dame,10/29/1996,1,0,,,AdamJo03
96,Henry Anderson,28,DE,13,13,300,6-6,Stanford,8/3/1991,4,6,Indianapolis Colts / 3rd / 93rd pick / 2015,$2000000,AndeHe00
11,Robby Anderson,26,WR,16,15,190,6-3,Temple,5/9/1993,3,5,,$3095000,AndeRo04
31,Blessuan Austin,23,CB,7,6,198,6-1,Rutgers,7/19/1996,Rook,2,New York Jets / 6th / 196th pick / 2019,$495000,AustBl00
93,Tarell Basham,25,DE,16,2,266,6-4,Ohio,3/18/1994,2,3,Indianapolis Colts / 3rd / 80th pick / 2017,$687500,BashTa00
68,Kelvin Beachum,30,T,13,13,308,6-3,SMU,6/8/1989,7,4,Pittsburgh Steelers / 7th / 248th pick / 2012,$8000000,BeacKe00
26,Le'Veon Bell,27,RB,15,15,225,6-1,Michigan St.,2/18/1992,6,5,Pittsburgh Steelers / 2nd / 48th pick / 2013,$2000000,BellLe00
15,Josh Bellamy,30,WR,7,0,208,6-0,Louisville,5/18/1989,7,0,,$930000,BellJo02
49,B.J. Bello,25,LB,8,0,229,6-3,Illinois St.,10/31/1994,2,1,,,BellB.00
10,Braxton Berrios,24,WR,16,0,190,5-9,Miami (FL),10/6/1995,1,1,New England Patriots / 6th / 210th pick / 2018,,BerrBr00
70,Ben Braden,25,OG,1,0,329,6-6,Michigan,3/9/1994,1,0,,$570000,BradBe00
87,Daniel Brown,27,TE,16,5,247,6-5,James Madison,5/26/1992,4,0,,$805000,BrowDa04
35,Kyron Brown,23,DB,3,1,195,6-1,Akron,5/26/1996,Rook,1,,,BrowKy00
58,James Burgess,25,LB,10,10,230,6-0,Louisville,3/9/1994,2,6,,$645000,BurgJa01
37,Maurice Canady,25,CB,8,2,193,6-1,Virginia,5/26/1994,3,1,Baltimore Ravens / 6th / 209th pick / 2016,,CanaMa00
25,Trenton Cannon,25,RB,4,0,185,5-11,Virginia St.,7/23/1994,1,0,New York Jets / 6th / 204th pick / 2018,$570000,CannTr00
53,Blake Cashman,23,LB,7,5,237,6-1,Minnesota,5/10/1996,Rook,3,New York Jets / 5th / 157th pick / 2019,$495000,CashBl00
77,Tom Compton,30,T,14,5,315,6-6,South Dakota,5/10/1989,7,2,Washington Redskins / 6th / 193rd pick / 2012,$1410000,CompTo00
51,Brandon Copeland,28,LB,12,3,263,6-3,Pennsylvania,7/2/1991,6,3,,$1500000,CopeBr00
32,Blake Countess,26,CB,6,0,185,5-10,AuburnMichigan,8/8/1993,3,0,Philadelphia Eagles / 6th / 196th pick / 2016,,CounBl00
82,Jamison Crowder,26,WR,16,12,177,5-9,Duke,6/17/1993,4,5,Washington Redskins / 4th / 105th pick / 2015,$1500000,CrowJa00
14,Sam Darnold,22,QB,13,13,225,6-3,USC,6/5/1997,1,6,New York Jets / 1st / 3rd pick / 2018,$570000,DarnSa00
75,Chuma Edoga,22,OL,8,8,308,6-3,USC,5/25/1997,Rook,3,New York Jets / 3rd / 92nd pick / 2019,$495000,EdogCh00
4,Lac Edwards,27,P,16,0,209,6-4,Sam Houston St.,4/27/1992,3,3,New York Jets / 7th / 235th pick / 2016,$720000,EdwaLa01
81,Quincy Enunwa,27,WR,1,1,225,6-2,Nebraska,5/31/1992,5,0,New York Jets / 6th / 209th pick / 2014,$1000000,EnunQu00
3,David Fales,29,QB,2,0,210,6-2,San Jose St.,10/4/1990,5,0,Chicago Bears / 6th / 183rd pick / 2014,,FaleDa00
8,Luke Falk,25,QB,3,2,215,6-4,Washington St.,12/28/1994,1,1,Tennessee Titans / 6th / 199th pick / 2018,$570000,FalkLu00
41,Matthias Farley,27,DB,13,0,209,5-11,Notre Dame,7/15/1992,3,1,,,FarlMa00
94,Folorunso Fatukasi,24,DT,14,0,318,6-4,Connecticut,3/4/1995,1,2,New York Jets / 6th / 180th pick / 2018,$570000,FatuFo00
9,Sam Ficken,27,K,15,0,192,6-1,Penn St.,12/14/1992,2,2,,,FickSa00
