--- When using SR data, please cite us and provide a link and/or a mention.


 
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
22,Tony Adams,23,OG,,,322,6-2,North Carolina St.,1/24/1999,Rook,,,AdamTo03
9,Kwon Alexander,28,OLB,,,227,6-1,LSU,8/3/1994,7,,Tampa Bay Buccaneers / 4th / 124th pick / 2015,AlexKw00
10,Braxton Berrios,27,WR,,,190,5-9,Miami (FL),10/6/1995,4,,New England Patriots / 6th / 210th pick / 2018,BerrBr00
71,Duane Brown,37,LT,,,315,6-4,Virginia Tech,8/30/1985,14,,Houston Texans / 1st / 26th pick / 2008,BrowDu20
81,Lawrence Cager,25,WR,,,220,6-5,Georgia,8/20/1997,2,,,CageLa01
30,Michael Carter,23,CB,,,184,5-10,Duke,3/8/1999,1,,New York Jets / 5th / 154th pick / 2021,CartMi02
32,Michael Carter,23,RB,,,201,5-8,North Carolina,5/7/1999,1,,New York Jets / 4th / 107th pick / 2021,CartMi03
72,Micheal Clemons,25,DT,,,270,6-5,Texas A&M,8/21/1997,Rook,,,ClemMi03
83,Tyler Conklin,27,TE,,,248,6-3,Central Michigan,7/30/1995,4,,Minnesota Vikings / 5th / 157th pick / 2018,ConkTy00
21,Ashtyn Davis,26,S,,,200,6-1,California,10/10/1996,2,,New York Jets / 3rd / 68th pick / 2020,DaviAs00
84,Corey Davis,27,WR,,,209,6-3,Western Michigan,1/11/1995,5,,Tennessee Titans / 1st / 5th pick / 2017,DaviCo03
26,Brandin Echols,25,CB,,,175,5-10,Northwest Mississippi CCKentucky,10/16/1997,1,,New York Jets / 6th / 200th pick / 2021,EchoBr00
76,George Fant,30,T,,,322,6-5,Western Kentucky,7/19/1992,6,,,FantGe00
67,Dan Feeney,28,OG,,,310,6-4,Indiana,5/29/1994,5,,Los Angeles Chargers / 3rd / 71st pick / 2017,FeenDa00
19,Joe Flacco,37,QB,,,245,6-6,PittsburghDelaware,1/16/1985,14,,Baltimore Ravens / 1st / 18th pick / 2008,FlacJo00
91,John Franklin-Myers,26,DE,,,288,6-4,S.F. Austin,9/26/1996,4,,Los Angeles Rams / 4th / 135th pick / 2018,FranJo02
1,Sauce Gardner,22,CB,,,200,6-3,Cincinnati,8/31/2000,Rook,,,GardSa00
20,Breece Hall,21,RB,,,220,6-1,Iowa St.,5/31/2001,Rook,,New York Jets / 2nd / 36th pick / 2022,HallBr03
37,Bryce Hall,25,CB,,,202,6-1,Virginia,5/11/1997,2,,New York Jets / 5th / 158th pick / 2020,HallBr02
34,Justin Hardee,28,WR,,,200,6-1,Illinois,2/7/1994,5,,,HardJu01
36,Marcell Harris,28,S,,,215,6-0,Florida,6/9/1994,4,,San Francisco 49ers / 6th / 184th pick / 2018,HarrMa03
42,Thomas Hennessy,28,LS,,,246,6-2,Duke,6/11/1994,5,,,HennTh00
68,Nate Herbig,24,G,,,334,6-4,Stanford,7/10/1998,3,,,HerbNa01
47,Bryce Huff,24,DE,,,255,6-3,Memphis,4/17/1998,2,,,HuffBr00
