No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
8,Ryan Allen,30,P,1,0,220,6-2,Louisiana Tech,2/28/1990,7,1,,$555882,AlleRy01
56,Daren Bates,30,LB,13,0,225,5-11,Auburn,11/27/1990,7,1,,$535294,BateDa00
13,Cameron Batson,25,WR,12,1,175,5-8,Texas Tech,12/20/1995,2,1,,$397059,BatsCa00
44,Vic Beasley,28,OLB,5,0,246,6-3,Clemson,7/8/1992,5,0,Atlanta Falcons / 1st / 8th pick / 2015,$3500000,BeasVi00
41,Khari Blasingame,24,RB,15,7,233,6-0,Vanderbilt,7/1/1996,1,0,,$675000,BlasKh00
39,Breon Borders,25,CB,6,5,189,6-0,Duke,7/22/1995,3,2,,$357353,BordBr00
62,Aaron Brewer,23,C,12,1,274,6-1,Texas St.,10/28/1997,Rook,2,,,BrewAa01
48,Beau Brinkley,30,LSTE,7,0,260,6-4,Missouri,1/25/1990,8,0,,$1050000,BrinBe00
11,A.J. Brown,23,WR,14,12,226,6-1,Mississippi,6/30/1997,1,13,Tennessee Titans / 2nd / 51st pick / 2019,$751926,BrowAJ00
55,Jayon Brown,25,ILB,10,10,226,6-0,UCLA,2/26/1995,3,4,Tennessee Titans / 5th / 155th pick / 2017,$2133000,BrowJa06
21,Malcolm Butler,30,CB,16,16,190,5-11,West Alabama,3/2/1990,6,5,,$11000000,ButlMa01
31,Kevin Byard,27,S,16,16,212,5-11,Middle Tenn. St.,8/17/1993,4,5,Tennessee Titans / 3rd / 64th pick / 2016,$910000,ByarKe01
99,Jadeveon Clowney,27,DE,8,8,255,6-5,South Carolina,2/14/1993,6,3,Houston Texans / 1st / 1st pick / 2014,$5250000,ClowJa00
53,William Compton,31,MLB,12,1,235,6-1,Nebraska,9/19/1989,7,1,,$910000,CompWi00
40,Kamalei Correa,26,OLB,3,0,241,6-3,Boise St.,4/27/1994,4,0,Baltimore Ravens / 2nd / 42nd pick / 2016,$1000000,CorrKa00
94,Jack Crawford,32,DE,16,9,288,6-5,Penn St.,9/7/1988,8,4,Oakland Raiders / 5th / 158th pick / 2012,$1050000,CrawJa00
29,Dane Cruikshank,25,CB,2,0,209,6-1,Arizona,4/27/1995,2,0,Tennessee Titans / 5th / 152nd pick / 2018,$608827,CruiDa00
12,Trevor Daniel,26,P,2,0,231,6-1,Tennessee,12/8/1994,2,0,,$75600,DaniTr00
84,Corey Davis,25,WR,14,12,209,6-3,Western Michigan,1/11/1995,3,11,Tennessee Titans / 1st / 5th pick / 2017,$825000,DaviCo03
64,Nate Davis,24,OL,16,16,316,6-3,Charlotte,9/23/1996,1,8,Tennessee Titans / 3rd / 82nd pick / 2019,$675000,DaviNa01
92,Matt Dickerson,25,DE,10,0,292,6-5,UCLA,11/9/1995,2,1,,$750000,DickMa00
75,Jamil Douglas,28,OG,14,0,309,6-4,Arizona St.,2/28/1992,5,1,Miami Dolphins / 4th / 114th pick / 2015,$750000,DougJa00
49,Nick Dzubnar,29,LB,16,0,240,6-1,Cal Poly-San Luis Obispo,8/15/1991,5,1,,$910000,DzubNi00
32,Darrynton Evans,22,RB,5,0,200,5-11,Appalachian St.,7/9/1998,Rook,1,Tennessee Titans / 3rd / 93rd pick / 2020,$461763,EvanDa02
54,Rashaan Evans,25,ILB,16,16,232,6-2,Alabama,11/8/1995,2,7,Tennessee Titans / 1st / 22nd pick / 2018,$1532472,EvanRa01
86,Anthony Firkser,25,TE,16,1,246,6-2,Harvard,2/19/1995,2,4,,$750000,FirkAn00
45,D'Onta Foreman,24,RB,6,0,236,6-1,Texas,4/24/1996,3,1,Houston Texans / 3rd / 89th pick / 2017,$397059,ForeDO00
26,Kristian Fulton,22,CB,6,2,197,5-11,LSU,9/3/1998,Rook,1,Tennessee Titans / 2nd / 61st pick / 2020,$474118,FultKr00
3,Stephen Gostkowski,36,K,15,0,215,6-1,Memphis,1/28/1984,14,2,New England Patriots / 4th / 118th pick / 2006,$2000000,GostSt20
22,Derrick Henry,26,RB,16,16,247,6-3,Alabama,1/4/1994,4,16,Tennessee Titans / 2nd / 45th pick / 2016,$3000000,HenrDe00
16,Cody Hollister,27,WR,2,0,209,6-4,Arkansas,11/18/1993,1,0,,$675000,HollCo00
37,Amani Hooker,22,S,16,3,210,5-11,Iowa,6/14/1998,1,2,Tennessee Titans / 4th / 116th pick / 2019,$675000,HookAm00
10,Adam Humphries,27,WR,7,1,195,5-11,Clemson,6/24/1993,5,2,,$7000000,HumpAd00
25,Adoree' Jackson,25,CB,3,2,185,5-11,USC,9/18/1995,3,1,Tennessee Titans / 1st / 18th pick / 2017,$2003561,JackAd00
35,Chris Jackson,22,S,11,3,193,5-10,Marshall,4/13/1998,Rook,1,Tennessee Titans / 7th / 243rd pick / 2020,$610000,JackCh01
60,Ben Jones,31,C,16,16,308,6-3,Georgia,7/2/1989,8,8,Houston Texans / 4th / 99th pick / 2012,$5250000,JoneBe01
90,DaQuan Jones,29,DT,16,16,320,6-4,Penn St.,12/27/1991,6,7,Tennessee Titans / 4th / 112th pick / 2014,$7000000,JoneDa04
33,Johnathan Joseph,36,DB,7,6,186,5-11,South Carolina,4/16/1984,14,2,Cincinnati Bengals / 1st / 24th pick / 2006,$1250000,JoseJo20
