No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
2,Azeez Al-Shaair,26,LB,1,1,228,6-2,Florida Atlantic,8/4/1997,4,,,AlShAz00
96,Denico Autry,33,DL,1,1,285,6-5,East Mississippi CCMississippi St.,7/15/1990,9,,,AutrDe00
23,Tre Avery,26,CB,0,0,181,5-11,ToledoRutgers,2/26/1997,1,,,AverTr01
55,Aaron Brewer,26,OL,1,1,274,6-1,Texas St.,10/28/1997,3,,,BrewAa01
44,Mike Brown,24,S,1,0,222,,Miami (OH),4/7/1999,1,,,BrowMi02
60,Daniel Brunskill,29,OL,1,1,300,6-5,San Diego St.,1/27/1994,4,,,BrunDa00
16,Treylon Burks,23,WR,1,1,225,6-3,Arkansas,3/23/2000,1,,Tennessee Titans / 1st / 18th pick / 2022,BurkTr00
31,Kevin Byard,30,S,1,1,212,5-11,Middle Tenn. St.,8/17/1993,7,,Tennessee Titans / 3rd / 64th pick / 2016,ByarKe01
36,Julius Chestnut,23,RB,1,0,228,5-11,Sacred Heart,10/26/2000,1,,,ChesJu00
46,Morgan Cox,37,LS,1,0,233,6-4,Tennessee,4/26/1986,13,,,CoxxMo00
71,Andre Dillard,28,T,1,1,315,6-5,Washington St.,10/3/1995,4,,Philadelphia Eagles / 1st / 22nd pick / 2019,DillAn00
14,Colton Dowell,24,WR,0,0,215,6-3,UT Martin,4/19/1999,Rook,,Tennessee Titans / 7th / 228th pick / 2023,DoweCo00
79,Jaelyn Duncan,23,T,0,0,320,,Maryland,7/8/2000,Rook,,Tennessee Titans / 6th / 186th pick / 2023,DuncJa00
6,Nick Folk,39,K,1,0,222,6-1,Arizona,11/5/1984,16,,Dallas Cowboys / 6th / 178th pick / 2007,FolkNi20
26,Kristian Fulton,25,CB,1,1,197,5-11,LSU,9/3/1998,3,,Tennessee Titans / 2nd / 61st pick / 2020,FultKr00
50,Jack Gibbens,25,LB,1,1,242,6-3,Abilene ChristianMinnesota,11/24/1998,1,,,GibbJa00
57,Luke Gifford,28,LB,1,0,243,6-3,Nebraska,8/28/1995,4,,,GiffLu00
51,Trevis Gipson,26,OLB,1,0,263,6-4,Tulsa,6/13/1997,3,,Chicago Bears / 5th / 155th pick / 2020,GipsTr00
22,Derrick Henry,29,RB,1,1,247,6-3,Alabama,1/4/1994,7,,Tennessee Titans / 2nd / 45th pick / 2016,HenrDe00
37,Amani Hooker,25,DB,1,1,210,5-11,Iowa,6/14/1998,4,,Tennessee Titans / 4th / 116th pick / 2019,HookAm00
10,DeAndre Hopkins,31,WR,1,1,212,6-1,Clemson,6/6/1992,10,,Houston Texans / 1st / 27th pick / 2013,HopkDe00
66,Chris Hubbard,32,OL,1,1,295,6-4,Ala-Birmingham,4/23/1991,9,,,HubbCh00
5,Kearis Jackson,24,WR,1,0,200,,Georgia,12/9/1999,Rook,,,JackKe02
39,Matthew Jackson,25,S,1,0,209,6-1,East. Kentucky,11/9/1998,Rook,,,JackMa04
90,Naquan Jones,25,DT,1,0,338,6-4,Michigan St.,2/5/1998,2,,,JoneNa01
40,Anthony Kendall,24,CB,1,0,177,5-10,Baldwin-Wallace,12/17/1999,Rook,,,KendAn00
49,Arden Key,27,OLB,1,0,240,6-5,LSU,5/3/1996,5,,Oakland Raiders / 3rd / 87th pick / 2018,KeyxAr00
58,Harold Landry,27,OLB,1,1,252,6-2,Boston Col.,6/5/1996,5,,Tennessee Titans / 2nd / 41st pick / 2018,LandHa00
62,Corey Levin,29,OL,0,0,307,6-4,Chattanooga,8/12/1994,5,,Tennessee Titans / 6th / 217th pick / 2017,LeviCo00
8,Will Levis,24,QB,0,0,232,,Penn St.Kentucky,6/27/1999,Rook,,Tennessee Titans / 2nd / 33rd pick / 2023,LeviWi00
21,Roger McCreary,23,CB,1,0,190,6-0,Auburn,2/10/2000,1,,Tennessee Titans / 2nd / 35th pick / 2022,McCrRo01
24,Elijah Molden,24,CB,1,0,192,5-10,Washington,1/30/1999,2,,Tennessee Titans / 3rd / 100th pick / 2021,MoldEl00
11,Chris Moore,30,WR,1,0,200,6-1,Cincinnati,6/16/1993,7,,Baltimore Ravens / 4th / 107th pick / 2016,MoorCh00
42,Caleb Murphy,24,OLB,0,0,245,6-4,Ferris State,12/15/1999,Rook,,,MurpCa00
,Sean Murphy-Bunting,26,CB,1,1,195,6-0,Central Michigan,6/19/1997,4,,Tampa Bay Buccaneers / 2nd / 39th pick / 2019,BuntSe00
67,Xavier Newman-Johnson,24,OL,0,0,297,6-2,Baylor,8/4/1999,1,,,NewmXa00
85,Chigoziem Okonkwo,24,TE,1,1,244,6-2,Maryland,9/8/1999,1,,Tennessee Titans / 4th / 143rd pick / 2022,OkonCh00
92,Jayden Peevy,24,DE,0,0,310,,Texas A&M,9/3/1999,1,,,PeevJa00
75,Dillon Radunz,25,OL,0,0,301,6-6,North Dakota St.,3/28/1998,2,,Tennessee Titans / 2nd / 53rd pick / 2021,RaduDi00
41,Otis Reese,25,LB,1,0,225,,GeorgiaMississippi,7/2/1998,Rook,,,ReesOt00
56,Monty Rice,24,LB,1,0,233,6-0,Georgia,1/8/1999,2,,Tennessee Titans / 3rd / 92nd pick / 2021,RiceMo00
98,Jeffery Simmons,26,DT,1,1,305,6-4,Mississippi St.,7/28/1997,4,,Tennessee Titans / 1st / 19th pick / 2019,SimmJe01
77,Peter Skoronski,22,OL,1,1,315,,Northwestern,7/31/2001,Rook,,Tennessee Titans / 1st / 11th pick / 2023,SkorPe00
32,Tyjae Spears,22,RB,1,0,195,,Tulane,6/15/2001,Rook,,Tennessee Titans / 3rd / 81st pick / 2023,SpeaTy00
4,Ryan Stonehouse,24,P,1,0,185,5-11,Colorado St.,5/11/1999,1,,,StonRy00
17,Ryan Tannehill,35,QB,1,1,217,6-4,Texas A&M,7/27/1988,11,,Miami Dolphins / 1st / 8th pick / 2012,TannRy00
93,Teair Tart,26,DT,1,1,304,6-2,Florida International,2/28/1997,3,,,TartTe00
20,Kindle Vildor,26,CB,1,0,189,5-11,Georgia Southern,12/11/1997,3,,Chicago Bears / 5th / 163rd pick / 2020,VildKi00
99,Rashad Weaver,26,OLB,1,0,259,6-4,Pittsburgh,11/10/1997,2,,Tennessee Titans / 4th / 135th pick / 2021,WeavRa00
88,Trevon Wesco,28,TE,1,1,267,6-3,West Virginia,9/12/1995,4,,New York Jets / 4th / 121st pick / 2019,WescTr00
15,Nick Westbrook-Ikhine,26,WR,1,0,215,6-2,Indiana,3/21/1997,3,,,WestNi00
81,Josh Whyle,24,TE,1,0,245,,Cincinnati,9/8/1999,Rook,,Tennessee Titans / 5th / 147th pick / 2023,WhylJo01
7,Malik Willis,24,QB,0,0,215,6-1,AuburnLiberty,5/25/1999,1,,Tennessee Titans / 3rd / 86th pick / 2022,WillMa12
78,Nicholas Petit-Frere (SUS),24,OL,0,0,315,6-5,Ohio St.,9/15/1999,1,,Tennessee Titans / 3rd / 69th pick / 2022,PetiNi00
3,Caleb Farley (PUP),25,CB,0,0,197,6-2,Virginia Tech,11/2/1998,2,,Tennessee Titans / 1st / 22nd pick / 2021,FarlCa00
91,Shakel Brown (IR),26,DT,0,0,299,6-4,Troy,12/4/1997,Rook,,,BrowSh01
18,Kyle Philips (IR),24,WR,0,0,191,5-11,UCLA,6/17/1999,1,,Tennessee Titans / 5th / 163rd pick / 2022,PhilKy01
25,Hassan Haskins (EXE),24,RB,0,0,220,6-1,Michigan,11/26/1999,1,,Tennessee Titans / 4th / 131st pick / 2022,HaskHa00
