No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
13,Nelson Agholor,26,WR,11,10,198,6-0,USC,5/24/1993,4,3,Philadelphia Eagles / 1st / 20th pick / 2015,$9387000,AghoNe00
28,Jay Ajayi,26,RB,3,0,223,6-0,Boise St.,6/15/1993,4,0,Miami Dolphins / 5th / 149th pick / 2015,,AjayJa00
19,JJ Arcega-Whiteside,23,WR,16,5,225,6-2,Stanford,12/31/1996,Rook,1,Philadelphia Eagles / 2nd / 57th pick / 2019,$495000,ArceJJ00
58,Genard Avery,24,LB,8,0,250,6-0,Memphis,4/26/1995,1,1,Cleveland Browns / 5th / 150th pick / 2018,,AverGe00
96,Derek Barnett,23,DE,14,14,259,6-3,Tennessee,6/25/1996,2,7,Philadelphia Eagles / 1st / 14th pick / 2017,$1633252,BarnDe01
53,Nigel Bradham,30,OLB,12,12,241,6-2,Florida St.,9/4/1989,7,7,Buffalo Bills / 4th / 105th pick / 2012,$930000,BradNi00
79,Brandon Brooks,30,G,16,16,335,6-5,Miami (OH),8/19/1989,7,10,Houston Texans / 3rd / 76th pick / 2012,$8000000,BrooBr00
52,Zach Brown,30,OLB,6,6,250,6-1,North Carolina,10/23/1989,7,3,Tennessee Titans / 2nd / 52nd pick / 2012,$1000000,BrowZa00
16,Deontay Burnett,22,WR,1,1,186,6-0,USC,10/4/1997,1,0,,,BurnDe00
30,Corey Clement,25,RB,4,0,220,5-10,Wisconsin,11/2/1994,2,0,,$645000,ClemCo00
91,Fletcher Cox,29,DT,16,16,310,6-4,Mississippi St.,12/13/1990,7,11,Philadelphia Eagles / 1st / 12th pick / 2012,$930000,CoxxFl00
75,Vinny Curry,31,DE,16,2,279,6-3,Marshall,6/30/1988,7,3,Philadelphia Eagles / 2nd / 59th pick / 2012,$1000000,CurrVi00
37,Johnathan Cyprien,29,SS,4,0,211,6-1,Florida International,7/29/1990,6,0,Jacksonville Jaguars / 2nd / 33rd pick / 2013,$805000,CyprJo00
21,Ronald Darby,25,CB,11,11,193,5-11,Florida St.,1/2/1994,4,5,Buffalo Bills / 2nd / 50th pick / 2015,$1000000,DarbRo00
