--- When using SR data, please cite us and provide a link and/or a mention.


 
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
96,Derek Barnett,26,DE,,,259,6-3,Tennessee,6/25/1996,5,,Philadelphia Eagles / 1st / 14th pick / 2017,BarnDe01
32,Reed Blankenship,23,S,,,196,6-1,Middle Tenn. St.,3/2/1999,Rook,,,BlanRe00
19,Ian Book,24,QB,,,206,6-0,Notre Dame,3/30/1998,1,,New Orleans Saints / 4th / 133rd pick / 2021,BookIa00
24,James Bradberry,29,CB,,,212,6-1,Arkansas St.Samford,8/4/1993,6,,Carolina Panthers / 2nd / 62nd pick / 2016,BradJa00
54,Shaun Bradley,25,LB,,,240,6-1,Temple,4/8/1997,2,,Philadelphia Eagles / 6th / 196th pick / 2020,BradSh00
11,A.J. Brown,25,WR,,,226,6-1,Mississippi,6/30/1997,3,,Tennessee Titans / 2nd / 51st pick / 2019,BrowAJ00
81,Grant Calcaterra,24,TE,,,247,6-5,OklahomaSMU,12/4/1998,Rook,,Philadelphia Eagles / 6th / 198th pick / 2022,CalcGr00
91,Fletcher Cox,32,DT,,,310,6-4,Mississippi St.,12/13/1990,10,,Philadelphia Eagles / 1st / 12th pick / 2012,CoxxFl00
90,Jordan Davis,22,DT,,,340,6-6,Georgia,1/12/2000,Rook,,Philadelphia Eagles / 1st / 13th pick / 2022,DaviJo03
17,Nakobe Dean,22,LB,,,225,6-0,Georgia,12/13/2000,Rook,,Philadelphia Eagles / 3rd / 83rd pick / 2022,DeanNa00
69,Landon Dickerson,24,OL,,,333,6-6,Florida St.Alabama,9/30/1998,1,,Philadelphia Eagles / 2nd / 37th pick / 2021,DickLa00
77,Andre Dillard,27,OL,,,315,6-5,Washington St.,10/3/1995,3,,Philadelphia Eagles / 1st / 22nd pick / 2019,DillAn00
63,Jack Driscoll,25,OL,,,296,6-5,Auburn,4/1/1997,2,,Philadelphia Eagles / 4th / 145th pick / 2020,DrisJa00
57,T.J. Edwards,26,LB,,,242,6-1,Wisconsin,8/12/1996,3,,,EdwaTJ02
4,Jake Elliott,27,K,,,167,5-9,Memphis,1/21/1995,5,,Cincinnati Bengals / 5th / 153rd pick / 2017,ElliJa03
22,Marcus Epps,26,S,,,198,6-0,Wyoming,1/27/1996,3,,Minnesota Vikings / 6th / 191st pick / 2019,EppsMa00
14,Kenneth Gainwell,23,RB,,,200,5-9,Memphis,3/14/1999,1,,Philadelphia Eagles / 5th / 150th pick / 2021,GainKe00
23,C.J. Gardner-Johnson,25,S,,,210,5-11,Florida,12/20/1997,3,,New Orleans Saints / 4th / 105th pick / 2019,GardCh00
88,Dallas Goedert,27,TE,,,256,6-5,South Dakota St.,1/3/1995,4,,Philadelphia Eagles / 2nd / 49th pick / 2018,GoedDa00
55,Brandon Graham,34,DE,,,265,6-2,Michigan,4/3/1988,12,,Philadelphia Eagles / 1st / 13th pick / 2010,GrahBr99
97,Javon Hargrave,29,DT,,,305,6-2,South Carolina St.,2/7/1993,6,,Pittsburgh Steelers / 3rd / 89th pick / 2016,HargJa00
1,Jalen Hurts,24,QB,,,223,6-1,AlabamaOklahoma,8/7/1998,2,,Philadelphia Eagles / 2nd / 53rd pick / 2020,HurtJa00
75,Tarron Jackson,24,DE,,,254,6-2,Coastal Carolina,6/22/1998,1,,Philadelphia Eagles / 6th / 191st pick / 2021,JackTa02
38,Josh Jobe,24,DB,,,192,,Alabama,4/9/1998,Rook,,,JobeJo00
58,Kyron Johnson,24,DE,,,223,6-1,Kansas,7/24/1998,Rook,,Philadelphia Eagles / 6th / 181st pick / 2022,JohnKy02
65,Lane Johnson,32,OT,,,325,6-6,Oklahoma,5/8/1990,9,,Philadelphia Eagles / 1st / 4th pick / 2013,JohnLa01
48,Patrick Johnson,24,LB,,,248,6-2,Tulane,1/10/1998,1,,Philadelphia Eagles / 7th / 234th pick / 2021,JohnPa02
51,Cam Jurgens,23,OL,,,290,6-3,Nebraska,8/21/1999,Rook,,,JurgCa01
62,Jason Kelce,35,C,,,295,6-3,Cincinnati,11/5/1987,11,,Philadelphia Eagles / 6th / 191st pick / 2011,KelcJa00
