No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
96,Derek Barnett,27,DE,1,0,259,6-3,Tennessee,6/25/1996,6,,Philadelphia Eagles / 1st / 14th pick / 2017,BarnDe01
32,Reed Blankenship,24,S,1,1,196,6-1,Middle Tenn. St.,3/2/1999,1,,,BlanRe00
24,James Bradberry,30,CB,1,1,212,6-1,Arkansas St.Samford,8/4/1993,7,,Carolina Panthers / 2nd / 62nd pick / 2016,BradJa00
11,A.J. Brown,26,WR,1,1,226,6-1,Mississippi,6/30/1997,4,,Tennessee Titans / 2nd / 51st pick / 2019,BrowAJ00
21,Sydney Brown,23,S,1,0,205,,Illinois,3/21/2000,Rook,,Philadelphia Eagles / 3rd / 66th pick / 2023,BrowSy00
81,Grant Calcaterra,25,TE,1,0,247,6-5,OklahomaSMU,12/4/1998,1,,Philadelphia Eagles / 6th / 198th pick / 2022,CalcGr00
98,Jalen Carter,22,DT,1,0,300,,Georgia,4/4/2001,Rook,,Philadelphia Eagles / 1st / 9th pick / 2023,CartJa05
91,Fletcher Cox,33,DT,1,1,310,6-4,Mississippi St.,12/13/1990,11,,Philadelphia Eagles / 1st / 12th pick / 2012,CoxxFl00
52,Zach Cunningham,29,LB,1,1,238,6-3,Vanderbilt,12/2/1994,6,,Houston Texans / 2nd / 57th pick / 2017,CunnZa00
90,Jordan Davis,23,DT,1,1,340,6-6,Georgia,1/12/2000,1,,Philadelphia Eagles / 1st / 13th pick / 2022,DaviJo03
69,Landon Dickerson,25,G,1,1,333,6-6,Florida St.Alabama,9/30/1998,2,,Philadelphia Eagles / 2nd / 37th pick / 2021,DickLa00
63,Jack Driscoll,26,T,1,0,296,6-5,MassachusettsAuburn,4/1/1997,3,,Philadelphia Eagles / 4th / 145th pick / 2020,DrisJa00
26,Terrell Edmunds,26,S,1,0,217,6-1,Virginia Tech,1/20/1997,5,,Pittsburgh Steelers / 1st / 28th pick / 2018,EdmuTe00
4,Jake Elliott,28,K,1,0,167,5-9,Memphis,1/21/1995,6,,Cincinnati Bengals / 5th / 153rd pick / 2017,ElliJa03
53,Christian Elliss,24,LB,1,0,233,6-3,Idaho,1/2/1999,2,,,ElliCh00
30,Justin Evans,28,S,1,1,199,6-0,Mississippi Gulf Coast CCTexas A&M,8/26/1995,6,,Tampa Bay Buccaneers / 2nd / 50th pick / 2017,EvanJu00
14,Kenneth Gainwell,24,RB,1,1,200,5-9,Memphis,3/14/1999,2,,Philadelphia Eagles / 5th / 150th pick / 2021,GainKe00
88,Dallas Goedert,28,TE,1,1,256,6-5,South Dakota St.,1/3/1995,5,,Philadelphia Eagles / 2nd / 49th pick / 2018,GoedDa00
31,Mario Goodrich,23,CB,0,0,190,,Clemson,1/12/2000,Rook,,,GoodMa02
