No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
27,Brent Alexander,30,DB,16,16,189,5-11,Tennessee St.,7/10/1971,7,9,,AlexBr20
94,Rodney Bailey,22,DE,16,1,305,6-3,Ohio St.,10/7/1979,Rook,2,Pittsburgh Steelers / 6th / 181st pick / 2001,BailRo21
88,Tim Baker,24,WR,3,0,208,6-4,Texas Tech,10/23/1977,Rook,0,,BakeTi20
97,Kendrell Bell,23,RILB,16,16,254,6-1,Georgia,7/2/1978,Rook,15,Pittsburgh Steelers / 2nd / 39th pick / 2001,BellKe20
40,Myron Bell,30,DB,16,1,203,5-11,Michigan St.,9/15/1971,7,2,Pittsburgh Steelers / 5th / 140th pick / 1994,BellMy20
36,Jerome Bettis,29,RB,11,11,252,5-11,Notre Dame,2/16/1972,8,9,Los Angeles Rams / 1st / 10th pick / 1993,BettJe00
89,Will Blackwell,26,WR,1,0,190,6-0,San Diego St.,7/9/1975,4,0,Pittsburgh Steelers / 2nd / 53rd pick / 1997,BlacWi00
33,R.J. Bowers,27,RB,3,0,250,6-0,Grove City,2/10/1974,Rook,1,,BoweRJ00
3,Kris Brown,25,K,16,0,215,5-11,Nebraska,12/23/1976,2,1,Pittsburgh Steelers / 7th / 228th pick / 1999,brownkri01
87,Mark Bruener,29,TE,9,9,260,6-4,Washington,9/16/1972,6,1,Pittsburgh Steelers / 1st / 27th pick / 1995,BrueMa00
80,Plaxico Burress,24,WR,16,16,232,6-5,Michigan St.,8/12/1977,1,11,Pittsburgh Steelers / 1st / 8th pick / 2000,BurrPl00
96,Kendrick Clancy,23,DT,16,4,305,6-1,Mississippi,9/17/1978,1,4,Pittsburgh Steelers / 3rd / 72nd pick / 2000,ClanKe20
73,Chris Combs,25,DE,2,0,284,6-4,Duke,12/15/1976,1,0,Pittsburgh Steelers / 6th / 173rd pick / 2000,CombCh21
48,Matt Cushing,26,TE,13,3,255,6-4,Illinois,7/2/1975,2,0,,CushMa00
62,Roger Duffy,34,G,8,0,300,6-3,Penn St.,7/16/1967,11,1,New York Jets / 8th / 196th pick / 1990,DuffRo20
81,Troy Edwards,24,WR,16,0,195,5-10,Louisiana Tech,4/7/1977,2,3,Pittsburgh Steelers / 1st / 13th pick / 1999,EdwaTr00
66,Alan Faneca,25,G,15,15,316,6-5,LSU,12/7/1976,3,13,Pittsburgh Steelers / 1st / 26th pick / 1998,FaneAl00
57,John Fiala,28,LILB,16,0,237,6-2,Washington,11/25/1973,3,2,Miami Dolphins / 6th / 166th pick / 1997,FialJo20
41,Lee Flowers,28,DB,15,15,213,6-0,Georgia Tech,1/14/1973,6,7,Pittsburgh Steelers / 5th / 151st pick / 1995,FlowLe20
45,Chris Fuamatu-Ma'afala,24,RB,16,5,252,6-0,Utah,3/4/1977,3,4,Pittsburgh Steelers / 6th / 178th pick / 1998,FuamCh00
72,Wayne Gandy,30,T,15,15,315,6-4,Auburn,2/10/1971,7,7,Los Angeles Rams / 1st / 15th pick / 1994,GandWa20
85,Cory Geason,26,TE,7,0,255,6-3,Tulane,8/12/1975,1,0,,GeasCo00
92,Jason Gildon,29,LB,16,16,255,6-4,Oklahoma St.,7/31/1972,7,19,Pittsburgh Steelers / 3rd / 88th pick / 1994,GildJa00
53,Clark Haggans,24,LOLB,16,1,243,6-4,Colorado St.,1/10/1977,1,2,Pittsburgh Steelers / 5th / 137th pick / 2000,HaggCl20
98,Casey Hampton,24,NT,16,11,325,6-1,Texas,9/3/1977,Rook,7,Pittsburgh Steelers / 1st / 19th pick / 2001,HampCa00
64,Jeff Hartings,29,C,16,16,299,6-3,Penn St.,9/7/1972,5,12,Detroit Lions / 1st / 23rd pick / 1996,HartJe55
50,Earl Holmes,28,LB,16,16,242,6-2,Florida A&M,4/28/1973,5,10,Pittsburgh Steelers / 4th / 126th pick / 1996,HolmEa20
83,Lenzie Jackson,24,WR,12,0,184,6-0,Arizona St.,6/17/1977,2,0,,JackLe00
51,Mike Jones,32,LLB,15,0,240,6-1,Missouri,4/15/1969,10,2,,JoneMi21
35,Dan Kreider,24,FB,13,1,250,5-11,New Hampshire,3/11/1977,1,0,,KreiDa00
90,Justin Kurpeikis,24,LB,3,0,254,6-3,Penn St.,7/17/1977,Rook,0,,KurpJu20
31,Mike Logan,27,DB,16,1,211,6-1,West Virginia,9/15/1974,4,3,Jacksonville Jaguars / 2nd / 50th pick / 1997,LogaMi20
8,Tommy Maddox,30,QB,3,0,220,6-4,UCLA,9/2/1971,9,1,Denver Broncos / 1st / 25th pick / 1992,MaddTo00
17,Tee Martin,23,QB,1,0,225,6-2,Tennessee,7/25/1978,Rook,0,Pittsburgh Steelers / 5th / 163rd pick / 2000,MartTe00
4,Josh Miller,31,P,16,0,225,6-4,Arizona,7/14/1970,5,2,,MillJo25
78,Mathias Nkwenti,23,T,1,0,300,6-3,Temple,5/11/1978,Rook,0,Pittsburgh Steelers / 4th / 111th pick / 2001,NkweMa20
56,Chukky Okobi,23,C,1,0,318,6-1,Purdue,11/18/1978,Rook,0,Pittsburgh Steelers / 5th / 146th pick / 2001,OkobCh20
55,Joey Porter,24,LB,15,15,248,6-3,Colorado St.,3/22/1977,2,9,Pittsburgh Steelers / 3rd / 73rd pick / 1999,PortJo00
22,Hank Poteat,24,DB,13,0,195,5-10,Pittsburgh,8/30/1977,1,2,Pittsburgh Steelers / 3rd / 77th pick / 2000,PoteHa20
79,Oliver Ross,27,T,16,8,314,6-5,Iowa St.,9/27/1974,3,4,Dallas Cowboys / 5th / 138th pick / 1998,RossOl20
54,Mike Schneck,24,C,16,0,234,6-1,Wisconsin,8/4/1977,2,2,,SchnMi20
30,Chad Scott,27,DB,15,15,205,6-1,TowsonMaryland,9/6/1974,4,9,Pittsburgh Steelers / 1st / 24th pick / 1997,ScotCh20
82,Bobby Shaw,26,WR,16,0,185,6-1,California,4/23/1975,2,4,Seattle Seahawks / 6th / 169th pick / 1998,ShawBo00
23,Jason Simmons,25,DB,12,0,198,5-9,Arizona St.,3/30/1976,3,1,Pittsburgh Steelers / 5th / 137th pick / 1998,SimmJa20
91,Aaron Smith,25,DE,16,16,298,6-5,Northern Colorado,4/19/1976,2,10,Pittsburgh Steelers / 4th / 109th pick / 1999,SmitAa99
77,Marvel Smith,23,T,16,16,321,6-5,Arizona St.,8/6/1978,1,7,Pittsburgh Steelers / 2nd / 38th pick / 2000,SmitMa55
10,Kordell Stewart,29,QB,16,16,218,6-1,Colorado,10/16/1972,6,15,Pittsburgh Steelers / 2nd / 60th pick / 1995,StewKo00
26,Deshea Townsend,26,DB,16,1,190,5-10,Alabama,9/8/1975,3,2,Pittsburgh Steelers / 4th / 117th pick / 1998,TownDe20
84,Jerame Tuman,25,TE,16,7,253,6-4,Michigan,3/24/1976,2,1,Pittsburgh Steelers / 5th / 136th pick / 1999,TumaJe00
65,Rich Tylski,30,G,12,9,305,6-4,Utah St.,2/27/1971,5,4,,TylsRi20
