No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
92,Olasunkanmi Adeniyi,23,DE,15,1,248,6-1,Toledo,9/12/1997,2,2,,$750000,AdenOl00
27,Marcus Allen,24,S,14,2,215,6-2,Penn St.,8/7/1996,2,4,Pittsburgh Steelers / 5th / 148th pick / 2018,$675000,AlleMa03
94,Tyson Alualu,33,DT,15,10,304,6-3,California,5/12/1987,10,6,Jacksonville Jaguars / 1st / 10th pick / 2010,$2750000,AluaTy99
72,Zach Banner,27,OG,1,1,358,6-8,USC,12/25/1993,3,1,Indianapolis Colts / 4th / 137th pick / 2017,$1750000,BannZa00
4,Jordan Berry,29,P,11,0,195,6-5,East. Kentucky,3/18/1991,5,2,,$588824,BerrJo00
9,Chris Boswell,29,K,13,0,185,6-2,Rice,3/16/1991,5,3,,$910000,BoswCh00
25,Antoine Brooks Jr.,22,S,4,0,220,5-11,Maryland,10/28/1998,Rook,0,Pittsburgh Steelers / 6th / 198th pick / 2020,,BrooAn00
96,Isaiah Buggs,24,DL,10,1,295,6-3,Alabama,8/24/1996,1,1,Pittsburgh Steelers / 6th / 192nd pick / 2019,$675000,BuggIs00
55,Devin Bush Jr.,22,LB,5,5,234,5-11,Michigan,7/18/1998,1,3,Pittsburgh Steelers / 1st / 10th pick / 2019,$1352808,BushDe01
17,Deon Cain,24,WR,2,0,202,6-2,Clemson,8/9/1996,2,0,Indianapolis Colts / 6th / 185th pick / 2018,$585000,CainDe00
57,Kameron Canaday,27,LS,16,0,245,6-4,Portland St.,8/20/1993,4,1,,$910000,CanaKa00
11,Chase Claypool,22,WR,16,6,238,6-4,Notre Dame,7/7/1998,Rook,8,Pittsburgh Steelers / 2nd / 49th pick / 2020,$610000,ClayCh01
4,Dustin Colquitt,38,P,5,0,210,6-3,Tennessee,5/6/1982,15,1,Kansas City Chiefs / 3rd / 99th pick / 2005,$1050000,ColqDu20
30,James Conner,25,RB,13,11,233,6-1,Pittsburgh,5/5/1995,3,6,Pittsburgh Steelers / 3rd / 105th pick / 2017,$825000,ConnJa00
37,Jordan Dangerfield,30,FS,15,0,199,5-11,Towson,12/25/1990,6,1,,$825000,DangJo00
73,Carlos Davis,24,DL,7,0,320,6-2,Nebraska,8/22/1996,Rook,1,Pittsburgh Steelers / 7th / 232nd pick / 2020,$610000,DaviCa03
21,Sean Davis,27,FS,16,1,202,6-1,Maryland,10/23/1993,4,2,Pittsburgh Steelers / 2nd / 58th pick / 2016,$910000,DaviSe00
66,David DeCastro,30,G,13,13,316,6-5,Stanford,1/11/1990,8,7,Pittsburgh Steelers / 1st / 24th pick / 2012,$1050000,DeCaDa00
