--- When using SR data, please cite us and provide a link and/or a mention.


 
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
57,Montravius Adams,27,DT,,,304,6-3,Auburn,7/24/1995,5,,Green Bay Packers / 3rd / 93rd pick / 2017,AdamMo00
27,Marcus Allen,26,S,,,215,6-2,Penn St.,8/7/1996,4,,Pittsburgh Steelers / 5th / 148th pick / 2018,AlleMa03
94,Tyson Alualu,35,DT,,,304,6-3,California,5/12/1987,12,,Jacksonville Jaguars / 1st / 10th pick / 2010,AluaTy99
9,Chris Boswell,31,K,,,185,6-2,Rice,3/16/1991,7,,,BoswCh00
13,Miles Boykin,26,WR,,,220,6-4,Notre Dame,10/12/1996,3,,Baltimore Ravens / 3rd / 93rd pick / 2019,BoykMi00
55,Devin Bush Jr.,24,LB,,,234,5-11,Michigan,7/18/1998,3,,Pittsburgh Steelers / 1st / 10th pick / 2019,BushDe01
11,Chase Claypool,24,WR,,,238,6-4,Notre Dame,7/7/1998,2,,Pittsburgh Steelers / 2nd / 49th pick / 2020,ClayCh01
61,Mason Cole,26,C,,,298,6-5,Michigan,3/28/1996,4,,Arizona Cardinals / 3rd / 97th pick / 2018,ColeMa02
78,James Daniels,25,C,,,327,6-4,Iowa,9/13/1997,4,,Chicago Bears / 2nd / 39th pick / 2018,DaniJa01
73,Jesse Davis,31,T,,,318,6-6,Idaho,9/15/1991,5,,,DaviJe00
69,Kevin Dotson,26,OL,,,321,6-4,Louisiana,9/18/1996,2,,Pittsburgh Steelers / 4th / 135th pick / 2020,DotsKe00
34,Terrell Edmunds,25,S,,,217,6-1,Virginia Tech,1/20/1997,4,,Pittsburgh Steelers / 1st / 28th pick / 2018,EdmuTe00
39,Minkah Fitzpatrick,26,FS,,,207,6-1,Alabama,11/17/1996,4,,Miami Dolphins / 1st / 11th pick / 2018,FitzMi00
88,Pat Freiermuth,24,TE,,,258,6-5,Penn St.,10/25/1998,1,,Pittsburgh Steelers / 2nd / 55th pick / 2021,FreiPa00
81,Zach Gentry,26,TE,,,265,6-8,Michigan,9/10/1996,3,,Pittsburgh Steelers / 5th / 141st pick / 2019,GentZa00
53,Kendrick Green,24,C,,,315,6-4,Illinois,12/22/1998,1,,Pittsburgh Steelers / 3rd / 87th pick / 2021,GreeKe02
22,Najee Harris,24,RB,,,232,6-1,Alabama,3/9/1998,1,,Pittsburgh Steelers / 1st / 24th pick / 2021,HarrNa00
6,Pressley Harvin III,24,P,,,255,6-0,Georgia Tech,9/17/1998,1,,Pittsburgh Steelers / 7th / 254th pick / 2021,HarvPr00
60,J.C. Hassenauer,27,C,,,295,6-2,Alabama,9/15/1995,2,,,HassJ.00
97,Cameron Heyward,33,DT,,,295,6-5,Ohio St.,5/6/1989,11,,Pittsburgh Steelers / 1st / 31st pick / 2011,HeywCa01
83,Connor Heyward,23,TE,,,230,6-0,Michigan St.,1/22/1999,Rook,,Pittsburgh Steelers / 6th / 208th pick / 2022,HeywCo00
56,Alex Highsmith,25,DL,,,242,6-4,Charlotte,8/7/1997,2,,Pittsburgh Steelers / 3rd / 102nd pick / 2020,HighAl02
51,Myles Jack,27,OLB,,,244,6-1,UCLA,9/3/1995,6,,Jacksonville Jaguars / 2nd / 36th pick / 2016,JackMy00
18,Diontae Johnson,26,WR,,,183,5-10,Toledo,7/5/1996,3,,Pittsburgh Steelers / 3rd / 66th pick / 2019,JohnDi01
40,Jamir Jones,24,OLB,,,255,6-3,Notre Dame,6/14/1998,1,,,JoneJa11
28,Miles Killebrew,29,SS,,,222,6-2,Southern Utah,5/10/1993,6,,Detroit Lions / 4th / 111th pick / 2016,KillMi00
46,Christian Kuntz,28,LB,,,228,6-1,Duquesne,4/13/1994,1,,,KuntCh02
98,DeMarvin Leal,22,DT,,,290,6-4,Texas A&M,7/1/2000,Rook,,Pittsburgh Steelers / 3rd / 84th pick / 2022,LealDe00
92,Isaiahh Loudermilk,25,DE,,,249,6-7,Wisconsin,10/10/1997,1,,Pittsburgh Steelers / 5th / 156th pick / 2021,LoudIs00
35,Arthur Maulet,29,CB,,,190,5-10,Memphis,7/13/1993,5,,,MaulAr00
65,Dan Moore,24,OT,,,258,6-5,Texas A&M,9/28/1998,1,,Pittsburgh Steelers / 4th / 128th pick / 2021,MoorDa05
21,Tre Norwood,23,DB,,,194,6-0,Oklahoma,4/19/1999,1,,Pittsburgh Steelers / 7th / 245th pick / 2021,NorwTr00
99,Larry Ogunjobi,28,DT,,,305,6-4,Charlotte,6/3/1994,5,,Cleveland Browns / 3rd / 65th pick / 2017,OgunLa00
76,Chukwuma Okorafor,25,OT,,,320,6-6,Western Michigan,8/8/1997,4,,Pittsburgh Steelers / 3rd / 92nd pick / 2018,OkorCh00
89,Gunner Olszewski,26,WR,,,190,6-0,Bemidji St.,11/26/1996,3,,,OlszGu00
14,George Pickens,21,WR,,,200,6-3,Georgia,3/4/2001,Rook,,Pittsburgh Steelers / 2nd / 52nd pick / 2022,PickGe00
8,Kenny Pickett,24,QB,,,220,6-3,Pittsburgh,6/6/1998,Rook,,Pittsburgh Steelers / 1st / 20th pick / 2022,PickKe00
42,James Pierre,26,DB,,,185,6-2,Florida Atlantic,9/16/1996,2,,,PierJa01
59,Malik Reed,26,LB,,,235,6-2,Nevada,8/5/1996,3,,,ReedMa01
93,Mark Robinson,23,LB,,,220,6-0,PresbyterianSE Missouri St.Mississippi,8/14/1999,Rook,,Pittsburgh Steelers / 7th / 225th pick / 2022,RobiMa03
2,Mason Rudolph,27,QB,,,235,6-5,Oklahoma St.,7/17/1995,4,,Pittsburgh Steelers / 3rd / 76th pick / 2018,RudoMa00
64,Trenton Scott,28,T,,,320,6-5,Grambling St.,1/25/1994,4,,,ScotTr01
82,Steven Sims,25,WR,,,176,5-10,Kansas,3/31/1997,3,,,SimsSt00
24,Benny Snell Jr.,24,RB,,,224,5-10,Kentucky,2/26/1998,3,,Pittsburgh Steelers / 4th / 122nd pick / 2019,SnelBe00
41,Robert Spillane,27,LB,,,229,6-1,Western Michigan,12/14/1995,4,,,SpilRo00
20,Cameron Sutton,27,CB,,,188,5-11,Tennessee,2/27/1995,5,,Pittsburgh Steelers / 3rd / 94th pick / 2017,SuttCa00
10,Mitchell Trubisky,28,QB,,,220,6-2,North Carolina,8/20/1994,5,,Chicago Bears / 1st / 2nd pick / 2017,TrubMi00
29,Levi Wallace,27,CB,,,179,6-0,Alabama,6/12/1995,4,,,WallLe00
30,Jaylen Warren,,RB,,,215,,Oklahoma St.,,Rook,,,WarrJa01
44,Derek Watt,30,FB,,,234,6-2,Wisconsin,11/7/1992,6,,San Diego Chargers / 6th / 198th pick / 2016,WattDe00
90,T.J. Watt,28,OLB,,,252,6-4,Wisconsin,10/11/1994,5,,Pittsburgh Steelers / 1st / 30th pick / 2017,WattT.00
25,Ahkello Witherspoon,27,CB,,,195,6-2,Colorado,3/21/1995,5,,San Francisco 49ers / 3rd / 66th pick / 2017,WithAh00
95,Chris Wormley,29,DT,,,300,6-5,Michigan,10/25/1993,5,,Baltimore Ravens / 3rd / 74th pick / 2017,WormCh00
19,Calvin Austin (IR),23,WR,,,162,5-9,Memphis,3/24/1999,Rook,,Pittsburgh Steelers / 4th / 138th pick / 2022,AustCa00
38,Karl Joseph (IR),29,SS,,,200,5-10,West Virginia,9/8/1993,6,,Oakland Raiders / 1st / 14th pick / 2016,JoseKa00
24,Damontae Kazee (IR),29,CB,,,174,5-11,San Diego St.,6/5/1993,5,,Atlanta Falcons / 5th / 149th pick / 2017,KazeDa00
33,Jeremy McNichols (IR),27,RB,,,205,5-9,Boise St.,12/26/1995,5,,Tampa Bay Buccaneers / 5th / 162nd pick / 2017,McNiJe00
17,Anthony Miller (IR),28,WR,,,199,5-11,Memphis,10/9/1994,4,,Chicago Bears / 2nd / 51st pick / 2018,MillAn02
30,Carlins Platel (IR),23,DB,,,205,6-1,South Carolina,8/15/1999,Rook,,,PlatCa00
