No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
86,David Ausberry,24,WR,12,0,235,6-3,USC,9/25/1987,Rook,0,Oakland Raiders / 7th / 241st pick / 2011,AusbDa00
72,Joe Barksdale,23,T,16,0,326,6-5,LSU,1/1/1988,Rook,1,Oakland Raiders / 3rd / 92nd pick / 2011,BarkJo00
69,Khalif Barnes,29,T,16,16,320,6-6,Washington,4/21/1982,6,8,Jacksonville Jaguars / 2nd / 52nd pick / 2005,BarnKh20
56,Darryl Blackstock,28,LB,16,1,245,6-3,Virginia,5/30/1983,6,1,Arizona Cardinals / 3rd / 95th pick / 2005,BlacDa20
7,Kyle Boller,30,QB,2,1,220,6-3,California,6/17/1981,8,1,Baltimore Ravens / 1st / 19th pick / 2003,BollKy00
87,Kevin Boss,27,TE,14,11,255,6-7,Western Oregon,1/11/1984,4,3,New York Giants / 5th / 153rd pick / 2007,BossKe00
30,Jerome Boyd,25,DB,14,1,225,6-2,Oregon,5/26/1986,2,1,,BoydJe00
33,Tyvon Branch,25,DB,16,16,197,5-11,Connecticut,12/11/1986,3,5,Oakland Raiders / 4th / 100th pick / 2008,BranTy99
95,Mason Brodine,23,DE,2,0,255,6-7,Nebraska-Kearney,2/18/1988,Rook,0,,BrodMa00
57,Ricky Brown,28,LOLB,3,0,235,6-2,Boston Col.,12/27/1983,5,0,,BrowRi22
90,Desmond Bryant,26,DT,16,10,290,6-5,Harvard,12/15/1985,2,5,,BryaDe00
29,Michael Bush,27,RB,16,9,243,6-2,Louisville,6/16/1984,3,8,Oakland Raiders / 4th / 100th pick / 2007,BushMi00
74,Bruce Campbell,23,T,4,0,310,6-7,Maryland,5/25/1988,1,0,Oakland Raiders / 4th / 106th pick / 2010,CampBr20
8,Jason Campbell,30,QB,6,6,235,6-5,Auburn,12/31/1981,5,4,Washington Redskins / 1st / 25th pick / 2005,CampJa00
66,Cooper Carlisle,34,G,16,16,310,6-5,Florida,8/11/1977,11,8,Denver Broncos / 4th / 112th pick / 2000,CarlCo20
25,Rock Cartwright,32,FB,15,0,215,5-8,Kansas St.,12/3/1979,9,0,Washington Redskins / 7th / 257th pick / 2002,CartRo01
35,Chimdi Chekwa,23,DB,4,1,190,5-11,Ohio St.,9/7/1988,Rook,0,Oakland Raiders / 4th / 113th pick / 2011,ChekCh00
59,Jon Condo,30,LB,16,0,240,6-3,Maryland,8/26/1981,6,4,,CondJo20
51,Aaron Curry,25,LB,11,9,250,6-2,Wake Forest,4/6/1986,2,4,Seattle Seahawks / 1st / 4th pick / 2009,CurrAa99
58,Bruce Davis,26,LB,4,0,241,6-3,UCLA,9/2/1985,3,0,Pittsburgh Steelers / 3rd / 88th pick / 2008,DaviBr99
12,Jacoby Ford,24,WR,8,3,181,5-9,Clemson,7/27/1987,1,3,Oakland Raiders / 4th / 108th pick / 2010,FordJa01
27,Matt Giordano,29,DB,15,9,204,5-11,California,10/16/1982,6,4,Indianapolis Colts / 4th / 135th pick / 2005,GiorMa20
82,Richard Gordon,24,TE,14,1,262,6-3,Miami (FL),6/7/1987,Rook,0,Oakland Raiders / 6th / 181st pick / 2011,GordRi00
52,Quentin Groves,27,LB,16,3,250,6-3,Auburn,7/5/1984,3,2,Jacksonville Jaguars / 2nd / 52nd pick / 2008,GrovQu99
80,Derek Hagan,27,WR,6,2,210,6-2,Arizona St.,9/21/1984,5,1,Miami Dolphins / 3rd / 82nd pick / 2006,HagaDe00
79,John Henderson,32,DT,13,3,335,6-7,Tennessee,1/9/1979,9,2,Jacksonville Jaguars / 1st / 9th pick / 2002,HendJo99
75,Stephon Heyer,27,T,12,2,319,6-6,Maryland,1/16/1984,4,2,,HeyeSt20
85,Darrius Heyward-Bey,24,WR,15,14,210,6-2,Maryland,2/26/1987,2,8,Oakland Raiders / 1st / 7th pick / 2009,HeywDa00
