No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
24,Johnathan Abram,24,S,13,13,205,6-0,Mississippi St.,10/25/1996,1,5,Oakland Raiders / 1st / 27th pick / 2019,$1017509,AbraJo01
15,Nelson Agholor,27,WR,16,13,198,6-0,USC,5/24/1993,5,8,Philadelphia Eagles / 1st / 20th pick / 2015,$910000,AghoNe00
20,Damon Arnette,24,CB,9,7,195,6-0,Ohio St.,9/2/1996,Rook,2,Las Vegas Raiders / 1st / 19th pick / 2020,$437058,ArneDa00
51,Vic Beasley,28,OLB,5,0,246,6-3,Clemson,7/8/1992,5,0,Atlanta Falcons / 1st / 8th pick / 2015,,BeasVi00
23,Devontae Booker,28,RB,16,1,219,5-11,Utah,5/27/1992,4,4,Denver Broncos / 4th / 136th pick / 2016,$910000,BookDe00
77,Trent Brown,27,OT,5,5,380,6-8,Georgia MilitaryFlorida,4/13/1993,5,3,San Francisco 49ers / 7th / 244th pick / 2015,$21250000,BrowTr02
2,Daniel Carlson,25,K,16,0,215,6-5,Auburn,1/23/1995,2,4,Minnesota Vikings / 5th / 167th pick / 2018,$750000,CarlDa00
4,Derek Carr,29,QB,16,16,210,6-3,Fresno St.,3/28/1991,6,14,Oakland Raiders / 2nd / 36th pick / 2014,$18900000,CarrDe02
85,Derek Carrier,30,TE,16,0,240,6-3,Beloit,7/25/1990,8,0,,$1750000,CarrDe00
6,AJ Cole III,25,P,16,0,220,6-4,North Carolina St.,11/27/1995,1,1,,,ColeAJ01
97,Maliek Collins,25,DT,12,11,310,6-2,Nebraska,4/8/1995,4,4,Dallas Cowboys / 3rd / 67th pick / 2016,$5750000,CollMa00
98,Maxx Crosby,23,EDGE,16,16,255,6-5,East. Michigan,8/22/1997,1,7,Oakland Raiders / 4th / 106th pick / 2019,$610000,CrosMa00
18,Keelan Doss,24,WR,1,0,215,6-3,UC Davis,3/21/1996,1,0,,,DossKe00
89,Bryan Edwards,22,WR,12,3,212,6-3,South Carolina,11/13/1998,Rook,2,Las Vegas Raiders / 3rd / 81st pick / 2020,$610000,EdwaBr01
52,Kyle Emanuel,29,OLB,1,0,250,6-3,North Dakota St.,8/16/1991,5,0,San Diego Chargers / 5th / 153rd pick / 2015,,EmanKy00
96,Clelin Ferrell,23,EDGE,11,11,265,6-4,Clemson,5/17/1997,1,4,Oakland Raiders / 1st / 4th pick / 2019,$1920492,FerrCl00
10,Rico Gafford,24,WR,3,0,185,5-10,Wyoming,5/23/1996,2,0,,$675000,GaffRi00
33,Rashaan Gaulden,25,CB,2,0,200,6-0,Tennessee,1/23/1995,2,0,Carolina Panthers / 3rd / 85th pick / 2018,,GaulRa00
71,Denzelle Good,29,OT,15,14,340,6-5,Mars Hill,3/8/1991,5,8,Indianapolis Colts / 7th / 255th pick / 2015,$1400000,GoodDe01
90,Johnathan Hankins,28,DT,16,16,340,6-3,Ohio St.,3/30/1992,7,7,New York Giants / 2nd / 49th pick / 2013,$3750000,HankJo00
25,Erik Harris,30,DB,14,12,225,6-2,California (PA),4/2/1990,4,4,,$2350000,HarrEr00
38,Jeff Heath,29,S,13,5,212,6-1,Saginaw Valley St.,5/14/1991,7,3,,$2850000,HeatJe00
61,Rodney Hudson,31,C,16,16,315,6-2,Florida St.,7/12/1989,9,8,Kansas City Chiefs / 2nd / 55th pick / 2011,$1050000,HudsRo00
73,Maurice Hurst Jr.,25,DT,11,3,291,6-2,Michigan,5/9/1995,2,2,Oakland Raiders / 5th / 140th pick / 2018,$520590,HursMa00
64,Richie Incognito,37,G,2,2,322,6-4,NebraskaOregon,7/5/1983,14,1,St. Louis Rams / 3rd / 81st pick / 2005,$5000000,IncoRi20
45,Alec Ingold,24,FB,16,4,240,6-1,Wisconsin,7/9/1996,1,1,,$675000,IngoAl01
95,David Irving,27,DE,2,0,290,6-7,Iowa St.,8/18/1993,5,0,,,IrviDa00
66,Gabe Jackson,29,OG,16,16,335,6-3,Mississippi St.,7/12/1991,6,8,Oakland Raiders / 3rd / 81st pick / 2014,$9350000,JackGa00
28,Josh Jacobs,22,RB,15,15,220,5-10,Alabama,2/11/1998,1,8,Oakland Raiders / 1st / 24th pick / 2019,$1037427,JacoJo01
68,Andre James,23,OL,16,0,300,6-4,UCLA,5/2/1997,1,1,,$675000,JameAn01
31,Isaiah Johnson,25,CB,14,0,210,6-2,Houston,12/20/1995,1,1,Oakland Raiders / 4th / 129th pick / 2019,$675000,JohnIs02
95,Datone Jones,30,DE,1,0,285,6-4,UCLA,7/24/1990,7,0,Green Bay Packers / 1st / 26th pick / 2013,,JoneDa03
12,Zay Jones,25,WR,16,2,200,6-2,East Carolina,3/30/1995,3,2,Buffalo Bills / 2nd / 37th pick / 2017,$1339522,JoneZa00
