--- When using SR data, please cite us and provide a link and/or a mention.


 
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
22,Ameer Abdullah,29,RB,,,196,5-9,Nebraska,6/13/1993,7,,Detroit Lions / 2nd / 54th pick / 2015,AbduAm00
24,Johnathan Abram,26,S,,,205,6-0,Mississippi St.,10/25/1996,3,,Oakland Raiders / 1st / 27th pick / 2019,AbraJo01
17,Davante Adams,30,WR,,,215,6-1,Fresno St.,12/24/1992,8,,Green Bay Packers / 2nd / 53rd pick / 2014,AdamDa01
29,Anthony Averett,28,CB,,,178,5-11,Alabama,11/30/1994,4,,Baltimore Ravens / 4th / 118th pick / 2018,AverAn00
78,Jackson Barton,27,OL,,,302,6-7,Utah,8/8/1995,1,,Indianapolis Colts / 7th / 240th pick / 2019,BartJa00
97,Andrew Billings,27,DT,,,328,6-1,Baylor,3/6/1995,5,,Cincinnati Bengals / 4th / 122nd pick / 2016,BillAn00
34,Brandon Bolden,32,RB,,,220,5-11,Mississippi,1/26/1990,10,,,BoldBr00
96,Tashawn Bower,27,OLB,,,250,6-5,LSU,2/18/1995,5,,,BoweTa00
38,Brittain Brown,25,RB,,,205,6-1,DukeUCLA,10/10/1997,Rook,,Las Vegas Raiders / 7th / 250th pick / 2022,BrowBr06
50,Jayon Brown,27,ILB,,,226,6-0,UCLA,2/26/1995,5,,Tennessee Titans / 5th / 155th pick / 2017,BrowJa06
58,Darien Butler,,LB,,,230,,Arizona St.,,Rook,,,ButlDa00
73,Matthew Butler,23,DT,,,295,6-4,Tennessee,6/10/1999,Rook,,Las Vegas Raiders / 5th / 175th pick / 2022,ButlMa02
2,Daniel Carlson,27,K,,,215,6-5,Auburn,1/23/1995,4,,Minnesota Vikings / 5th / 167th pick / 2018,CarlDa00
4,Derek Carr,31,QB,,,210,6-3,Fresno St.,3/28/1991,8,,Oakland Raiders / 2nd / 36th pick / 2014,CarrDe02
6,AJ Cole III,27,P,,,220,6-4,North Carolina St.,11/27/1995,3,,,ColeAJ01
67,Lester Cotton,26,G,,,335,6-4,Alabama,2/20/1996,3,,,CottLe00
98,Maxx Crosby,25,EDGE,,,255,6-5,East. Michigan,8/22/1997,3,,Oakland Raiders / 4th / 106th pick / 2019,CrosMa00
5,Divine Deablo,24,LB,,,226,6-3,Virginia Tech,8/17/1998,1,,Las Vegas Raiders / 3rd / 80th pick / 2021,DeabDi00
72,Jermaine Eluemunor,28,OG,,,245,6-4,LackawannaTexas A&M,12/13/1994,5,,Baltimore Ravens / 5th / 159th pick / 2017,ElueJe00
93,Neil Farrell,24,DE,,,319,6-4,LSU,9/9/1998,Rook,,,FarrNe00
99,Clelin Ferrell,25,EDGE,,,265,6-4,Clemson,5/17/1997,3,,Oakland Raiders / 1st / 4th pick / 2019,FerrCl00
90,Johnathan Hankins,30,DT,,,340,6-3,Ohio St.,3/30/1992,9,,New York Giants / 2nd / 49th pick / 2013,HankJo00
30,Duron Harmon,31,FS,,,205,6-0,Rutgers,1/24/1991,9,,New England Patriots / 3rd / 91st pick / 2013,HarmDu00
39,Nate Hobbs,23,CB,,,195,6-0,Illinois,6/24/1999,1,,Las Vegas Raiders / 5th / 167th pick / 2021,HobbNa00
10,Mack Hollins,29,WR,,,221,6-4,North Carolina,9/16/1993,5,,Philadelphia Eagles / 4th / 118th pick / 2017,HollMa00
80,Jesper Horsted,25,WR,,,241,6-4,Princeton,2/27/1997,3,,,HorsJe00
28,Josh Jacobs,24,RB,,,220,5-10,Alabama,2/11/1998,3,,Oakland Raiders / 1st / 24th pick / 2019,JacoJo01
68,Andre James,25,OL,,,300,6-4,UCLA,5/2/1997,3,,,JameAn01
45,Jakob Johnson,28,FB,,,255,6-3,Tennessee,12/15/1994,3,,,JohnJa12
1,Tyron Johnson,26,WR,,,193,6-1,LSUOklahoma St.,1/8/1996,2,,,JohnTy03
55,Chandler Jones,32,DE,,,265,6-5,Syracuse,2/27/1990,10,,New England Patriots / 1st / 21st pick / 2012,JoneCh03
51,Malcolm Koonce,24,DE,,,250,6-2,Buffalo,6/6/1998,1,,Las Vegas Raiders / 3rd / 79th pick / 2021,KoonMa00
59,Luke Masterson,24,LB,,,234,6-1,Wake Forest,1/7/1998,Rook,,,MastLu00
74,Kolton Miller,27,OT,,,325,6-8,UCLA,10/9/1995,4,,Oakland Raiders / 1st / 15th pick / 2018,MillKo00
25,Trevon Moehrig,23,S,,,202,6-2,TCU,6/16/1999,1,,Las Vegas Raiders / 2nd / 43rd pick / 2021,MoehTr00
87,Foster Moreau,25,TE,,,250,6-4,LSU,5/6/1997,3,,Oakland Raiders / 4th / 137th pick / 2019,MoreFo00
77,Thayer Munford,23,OL,,,320,6-6,Ohio St.,9/18/1999,Rook,,Las Vegas Raiders / 7th / 238th pick / 2022,MunfTh00
91,Bilal Nichols,26,DT,,,302,6-3,Delaware,9/14/1996,4,,Chicago Bears / 5th / 145th pick / 2018,NichBi00
66,Dylan Parham,23,OL,,,285,6-3,Memphis,8/24/1999,Rook,,Las Vegas Raiders / 3rd / 90th pick / 2022,ParhDy00
52,Denzel Perryman,30,ILB,,,240,5-11,Miami (FL),12/5/1992,7,,San Diego Chargers / 2nd / 48th pick / 2015,PerrDe00
40,Isaiah Pola-Mao,,S,,,210,6-4,USC,,Rook,,,PolaIs00
13,Hunter Renfrow,27,WR,,,185,5-10,Clemson,12/21/1995,3,,Oakland Raiders / 5th / 149th pick / 2019,RenfHu00
21,Amik Robertson,24,CB,,,187,5-8,Louisiana Tech,7/6/1998,2,,Las Vegas Raiders / 4th / 139th pick / 2020,RobeAm00
47,Trent Sieg,27,LS,,,240,6-3,Colorado St.,5/19/1995,4,,,SiegTr00
76,John Simpson,25,OL,,,321,6-4,Clemson,8/19/1997,2,,Las Vegas Raiders / 4th / 109th pick / 2020,SimpJo00
3,Jarrett Stidham,26,QB,,,214,6-3,Auburn,8/8/1996,3,,New England Patriots / 4th / 133rd pick / 2019,StidJa00
33,Roderic Teamer,25,S,,,205,6-0,Tulane,5/12/1997,3,,,TeamRo00
19,DJ Turner,25,WR,,,206,5-9,Pittsburgh,1/18/1997,Rook,,,TurnDJ00
95,Kendal Vickers,27,DE,,,295,6-3,Tennessee,5/23/1995,2,,,VickKe00
83,Darren Waller,30,TE,,,255,6-6,Georgia Tech,9/13/1992,7,,Baltimore Ravens / 6th / 204th pick / 2015,WallDa01
48,Sam Webb,,,,,195,6-2,,,Rook,,,WebbSa00
35,Zamir White,23,RB,,,215,6-0,Georgia,9/18/1999,Rook,,Las Vegas Raiders / 4th / 122nd pick / 2022,WhitZa01
26,Rock Ya-Sin,26,CB,,,190,6-0,Temple,5/23/1996,3,,Indianapolis Colts / 2nd / 34th pick / 2019,Ya-SRo00
57,Kyler Fackrell (IR),31,OLB,,,245,6-5,Utah St.,11/25/1991,6,,Green Bay Packers / 3rd / 88th pick / 2016,FackKy00
94,Jordan Jenkins (IR),28,OLB,,,260,6-3,Georgia,7/1/1994,6,,New York Jets / 3rd / 83rd pick / 2016,JenkJo01
43,Micah Kiser (IR),27,ILB,,,244,6-0,Virginia,1/25/1995,4,,Los Angeles Rams / 5th / 147th pick / 2018,KiseMi00
36,Sincere McCormick (IR),,RB,,,205,,Texas-San Antonio,,Rook,,,McCoSi00
75,Brandon Parker (IR),27,OT,,,320,6-8,North Carolina A&T,10/21/1995,4,,Oakland Raiders / 3rd / 65th pick / 2018,ParkBr01
