No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
94,Victor Adeyanju,25,DE,16,9,270,6-4,Indiana,2/11/1983,2,4,St. Louis Rams / 4th / 113th pick / 2006,AdeyVi20
21,O.J. Atogwe,27,DB,16,16,205,5-11,Stanford,6/23/1981,3,7,St. Louis Rams / 3rd / 66th pick / 2005,AtogO.20
17,Donnie Avery,24,WR,15,12,186,5-11,Houston,6/12/1984,Rook,5,St. Louis Rams / 2nd / 33rd pick / 2008,AverDo00
70,Alex Barron,26,T,16,15,315,6-8,Florida St.,9/28/1982,3,5,St. Louis Rams / 1st / 19th pick / 2005,BarrAl20
24,Ron Bartell,26,DB,16,15,210,6-1,Howard,2/22/1982,3,6,St. Louis Rams / 2nd / 50th pick / 2005,BartRo20
41,Eric Bassey,25,DB,10,0,200,6-1,Oklahoma,1/23/1983,1,1,,BassEr99
87,Anthony Becht,31,TE,16,11,270,6-6,West Virginia,8/8/1977,8,0,New York Jets / 1st / 27th pick / 2000,BechAn00
63,Jacob Bell,27,G,13,13,300,6-4,Miami (OH),3/2/1981,4,4,Tennessee Titans / 5th / 138th pick / 2004,BellJa20
83,Drew Bennett,30,WR,1,0,206,6-5,UCLA,8/26/1978,7,0,,BennDr00
13,Brock Berlin,27,QB,1,0,213,6-1,FloridaMiami (FL),7/4/1981,1,0,,BerlBr00
34,Fakhir Brown,31,DB,13,11,192,5-11,Grambling St.,9/21/1977,9,4,,BrowFa20
3,Josh Brown,29,K,16,0,202,6-0,Nebraska,4/29/1979,5,4,Seattle Seahawks / 7th / 222nd pick / 2003,brownjos01
10,Marc Bulger,31,QB,15,15,208,6-3,West Virginia,4/5/1977,6,5,New Orleans Saints / 6th / 168th pick / 2000,BulgMa00
14,Keenan Burton,24,WR,13,1,202,6-0,Kentucky,10/29/1984,Rook,1,St. Louis Rams / 4th / 128th pick / 2008,BurtKe00
36,Quincy Butler,25,DB,1,0,189,6-1,TCU,11/25/1983,2,0,,ButlQu20
90,Adam Carriker,24,DE,15,9,296,6-6,Nebraska,5/6/1984,1,4,St. Louis Rams / 1st / 13th pick / 2007,CarrAd99
57,Chris Chamberlain,23,LB,16,0,226,6-2,Tulsa,9/30/1985,Rook,1,St. Louis Rams / 7th / 228th pick / 2008,ChamCh99
25,Corey Chavous,32,DB,16,13,204,6-1,Vanderbilt,1/15/1976,10,4,Arizona Cardinals / 2nd / 33rd pick / 1998,ChavCo00
31,Jason Craft,32,DB,13,2,187,5-10,Colorado St.,2/13/1976,9,2,Jacksonville Jaguars / 5th / 160th pick / 1999,CrafJa20
53,Quinton Culberson,23,LB,16,10,240,6-1,Mississippi St.,10/21/1985,1,4,,CulbQu99
33,Kenneth Darby,26,RB,10,0,214,5-10,Alabama,12/26/1982,1,2,Tampa Bay Buccaneers / 7th / 246th pick / 2007,DarbKe00
52,Chris Draft,32,MLB,12,9,234,5-11,Stanford,2/26/1976,10,3,Chicago Bears / 6th / 157th pick / 1998,DrafCh20
46,Daniel Fells,25,TE,12,1,260,6-4,UC Davis,9/23/1983,Rook,1,,FellDa00
