No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
55,Brian Allen,24,C,9,9,303,6-2,Michigan St.,10/11/1995,1,5,Los Angeles Rams / 4th / 111th pick / 2018,$570000,AlleBr02
86,Kendall Blanton,24,TE,1,0,260,6-6,Missouri,11/10/1995,Rook,0,,,BlanKe01
66,Austin Blythe,27,C,15,15,280,6-2,Iowa,6/16/1992,3,8,Indianapolis Colts / 7th / 248th pick / 2016,$2025000,BlytAu00
5,Blake Bortles,27,QB,3,0,236,6-5,Central Florida,4/28/1992,5,0,Jacksonville Jaguars / 1st / 3rd pick / 2014,$1000000,BortBl00
67,Chandler Brewer,22,T,7,0,319,6-6,Middle Tenn. St.,6/12/1997,Rook,1,,,BrewCh01
90,Michael Brockers,29,DT,16,16,297,6-5,LSU,12/21/1990,7,7,St. Louis Rams / 1st / 14th pick / 2012,$7777777,BrocMi00
34,Malcolm Brown,26,RB,14,1,225,5-11,Texas,5/15/1993,4,2,,$1000000,BrowMa03
26,Marqui Christian,25,SS,16,1,195,5-11,Midwestern St.,10/27/1994,3,2,Arizona Cardinals / 5th / 167th pick / 2016,$720000,ChriMa00
12,Brandin Cooks,26,WR,14,14,183,5-10,Oregon St.,9/25/1993,5,5,New Orleans Saints / 1st / 20th pick / 2014,$1000000,CookBr00
63,Austin Corbett,24,C,8,7,306,6-4,Nevada,9/5/1995,1,4,Cleveland Browns / 2nd / 33rd pick / 2018,,CorbAu00
21,Donte Deayon,25,DB,3,0,159,5-9,Boise St.,1/28/1994,2,0,,$645000,DeayDo01
64,Jamil Demby,23,OT,6,1,321,6-5,Maine,6/20/1996,1,1,Los Angeles Rams / 6th / 192nd pick / 2018,$570000,DembJa00
99,Aaron Donald,28,DT,16,16,280,6-1,Pittsburgh,5/23/1991,5,14,St. Louis Rams / 1st / 13th pick / 2014,$9108000,DonaAa00
50,Samson Ebukam,24,OLB,16,5,245,6-3,East. Washington,5/9/1995,2,3,Los Angeles Rams / 4th / 125th pick / 2017,$645000,EbukSa00
73,David Edwards,22,OL,16,10,308,6-6,Wisconsin,3/20/1997,Rook,6,Los Angeles Rams / 5th / 169th pick / 2019,$495000,EdwaDa01
71,Bobby Evans,22,OL,9,7,312,6-4,Oklahoma,3/24/1997,Rook,4,Los Angeles Rams / 3rd / 97th pick / 2019,$495000,EvanBo00
81,Gerald Everett,25,TE,13,2,240,6-3,South Alabama,6/25/1994,2,3,Los Angeles Rams / 2nd / 44th pick / 2017,$1014497,EverGe00
56,Dante Fowler,25,OLB,16,14,255,6-3,Florida,8/3/1994,3,7,Jacksonville Jaguars / 1st / 3rd pick / 2015,$1000000,FowlDa00
97,Morgan Fox,25,DL,16,3,260,6-3,Colorado State-Pueblo,9/12/1994,3,2,,$645000,FoxxMo00
91,Greg Gaines,23,DL,10,0,312,6-1,Washington,5/6/1996,Rook,1,Los Angeles Rams / 4th / 134th pick / 2019,$495000,GainGr00
39,Jake Gervase,24,DB,2,0,212,6-1,Iowa,9/18/1995,Rook,0,,,GervJa00
16,Jared Goff,25,QB,16,16,217,6-4,California,10/14/1994,3,12,Los Angeles Rams / 1st / 1st pick / 2016,$4259683,GoffJa00
30,Todd Gurley,25,RB,15,15,224,6-1,Georgia,8/3/1994,4,6,St. Louis Rams / 1st / 10th pick / 2015,$5000000,GurlTo01
54,Bryce Hager,27,ILB,5,4,237,6-1,Baylor,5/4/1992,4,1,St. Louis Rams / 7th / 224th pick / 2015,$805000,HageBr00
79,Rob Havenstein,27,OT,9,9,330,6-8,Wisconsin,5/13/1992,4,5,St. Louis Rams / 2nd / 57th pick / 2015,$2500000,HaveRo00
6,Johnny Hekker,29,P,16,0,241,6-5,Oregon St.,2/8/1990,7,3,,$3250000,HekkJo00
27,Darrell Henderson,22,RB,13,0,208,5-8,Memphis,8/19/1997,Rook,1,Los Angeles Rams / 3rd / 70th pick / 2019,$495000,HendDa00
89,Tyler Higbee,26,TE,15,15,255,6-6,Western Kentucky,1/1/1993,3,6,Los Angeles Rams / 4th / 110th pick / 2016,$2025000,HigbTy00
20,Troy Hill,28,CB,14,9,183,5-11,Oregon,8/29/1991,4,5,,$2025000,HillTr01
48,Travin Howard,23,OLB,16,0,219,6-1,TCUOhio St.,5/10/1996,1,1,Los Angeles Rams / 7th / 231st pick / 2018,$495000,HowaTr00
43,John Johnson,24,S,6,5,209,6-0,Boston Col.,12/19/1995,2,3,Los Angeles Rams / 3rd / 91st pick / 2017,$677000,JohnJo10
69,Sebastian Joseph-Day,24,DT,16,15,310,6-4,Rutgers,3/21/1995,1,6,Los Angeles Rams / 6th / 195th pick / 2018,$570000,JoseSe00
42,John Kelly,23,RB,4,0,205,5-10,Tennessee,10/4/1996,1,0,Los Angeles Rams / 6th / 176th pick / 2018,$570000,KellJo00
