No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
88,Justin Armour,26,WR,15,7,210,6-4,Stanford,1/1/1973,4,4,Buffalo Bills / 4th / 113th pick / 1995,ArmoJu00
74,James Atkins,29,T,2,1,306,6-6,Louisiana,1/28/1970,5,1,,AtkiJa20
30,Obafemi Ayanbadejo,24,RB,12,0,237,6-2,San Diego St.,3/5/1975,1,0,,AyanOb00
12,Tony Banks,26,QB,12,10,230,6-4,Michigan St.,4/5/1973,3,7,St. Louis Rams / 2nd / 42nd pick / 1996,BankTo00
69,Jeff Blackshear,30,G,16,16,323,6-6,Northwest Mississippi CCLa-Monroe,3/29/1969,6,7,Seattle Seahawks / 8th / 197th pick / 1993,BlacJe20
58,Peter Boulware,25,LB,16,11,255,6-4,Florida St.,12/18/1974,2,12,Baltimore Ravens / 1st / 4th pick / 1997,BoulPe00
51,Cornell Brown,24,LOLB,16,5,240,6-0,Virginia Tech,3/15/1975,2,4,Baltimore Ravens / 6th / 194th pick / 1997,BrowCo20
90,Rob Burnett,32,DE,16,16,265,6-4,Syracuse,8/27/1967,9,10,Cleveland Browns / 5th / 129th pick / 1990,BurnRo00
10,Stoney Case,27,QB,10,4,204,6-3,New Mexico,7/7/1972,4,1,Arizona Cardinals / 3rd / 80th pick / 1995,CaseSt00
92,Martin Chase,25,DT,3,0,310,6-2,Oklahoma,12/19/1974,Rook,0,Baltimore Ravens / 5th / 124th pick / 1998,ChasMa20
49,Ryan Collins,24,TE,4,3,259,6-6,St. Thomas,11/1/1975,Rook,0,,CollRy00
91,Lional Dalton,24,DT,16,2,315,6-1,East. Michigan,2/21/1975,1,3,,DaltLi20
86,Billy Davis,27,WR,16,0,205,6-1,Pittsburgh,7/6/1972,4,1,,DaviBi00
85,Greg DeLong,26,TE,16,7,250,6-4,North Carolina,4/3/1973,4,0,,DeLoGr00
29,Charles Evans,32,RB,16,10,240,6-1,Clark (GA),4/16/1967,6,3,Minnesota Vikings / 11th / 295th pick / 1992,EvanCh00
62,Mike Flynn,25,C,12,0,305,6-3,Maine,6/15/1974,1,1,,FlynMi20
71,Spencer Folau,26,T,5,1,315,6-5,Idaho,4/5/1973,2,1,,FolaSp20
34,Jay Graham,24,RB,4,0,220,6-0,Tennessee,7/14/1975,2,0,Baltimore Ravens / 3rd / 64th pick / 1997,GrahJa00
45,Corey Harris,30,DB,16,0,213,5-11,Vanderbilt,10/25/1969,7,2,Houston Oilers / 3rd / 77th pick / 1992,HarrCo20
20,Kim Herring,24,DB,16,16,212,6-0,Penn St.,9/10/1975,2,7,Baltimore Ravens / 2nd / 58th pick / 1997,HerrKi20
33,Priest Holmes,26,RB,9,4,213,5-9,Texas,10/7/1973,2,4,,HolmPr00
87,Qadry Ismail,29,WR,16,16,196,6-0,Syracuse,11/8/1970,6,9,Minnesota Vikings / 2nd / 52nd pick / 1993,IsmaQa00
50,Brad Jackson,24,LB,13,0,230,6-0,Cincinnati,1/11/1975,Rook,1,Miami Dolphins / 3rd / 79th pick / 1998,JackBr20
25,DeRon Jenkins,26,DB,16,15,190,5-11,Tennessee,11/14/1973,3,6,Baltimore Ravens / 2nd / 55th pick / 1996,JenkDe20
83,Patrick Johnson,23,WR,10,6,186,5-10,Oregon,8/10/1976,1,4,Baltimore Ravens / 2nd / 42nd pick / 1998,JohnPa00
84,Jermaine Lewis,25,WR,15,6,183,5-7,Maryland,10/16/1974,3,2,Baltimore Ravens / 5th / 153rd pick / 1996,LewiJe00
52,Ray Lewis,24,LB,16,16,240,6-1,Miami (FL),5/15/1975,3,20,Baltimore Ravens / 1st / 26th pick / 1996,LewiRa00
61,Everett Lindsay,29,T,16,16,305,6-4,Mississippi,9/18/1970,6,7,Minnesota Vikings / 5th / 133rd pick / 1993,LindEv20
28,Chris McAlister,22,DB,16,12,206,6-1,Arizona,6/14/1977,Rook,6,Baltimore Ravens / 1st / 10th pick / 1999,McAlCh00
99,Michael McCrary,29,DE,16,16,266,6-4,Wake Forest,7/7/1970,6,13,Seattle Seahawks / 7th / 170th pick / 1993,McCrMi00
60,Jeff Mitchell,25,C,16,16,300,6-4,Florida,1/29/1974,1,7,Baltimore Ravens / 5th / 134th pick / 1997,MitcJe20
19,Scott Mitchell,31,QB,2,2,240,6-6,Utah,1/2/1968,8,1,Miami Dolphins / 4th / 93rd pick / 1990,MitcSc00
27,Stevon Moore,32,DB,8,0,210,5-11,Mississippi,2/9/1967,9,1,New York Jets / 7th / 181st pick / 1989,MoorSt21
64,Edwin Mulitalo,25,G,10,8,350,6-3,Arizona,9/1/1974,Rook,4,Baltimore Ravens / 4th / 129th pick / 1999,MuliEd20
11,Marcus Nash,23,WR,1,0,195,6-3,Tennessee,2/1/1976,1,0,Denver Broncos / 1st / 30th pick / 1998,NashMa00
89,A.J. Ofodile,26,TE,7,3,260,6-6,Missouri,10/9/1973,2,0,Buffalo Bills / 5th / 158th pick / 1994,OfodA.00
75,Jonathan Ogden,25,T,16,16,345,6-9,UCLA,7/31/1974,3,11,Baltimore Ravens / 1st / 4th pick / 1996,OgdeJo00
53,Tyrell Peters,25,LB,13,0,230,6-0,Oklahoma,8/4/1974,2,1,,PeteTy20
81,Aaron Pierce,30,TE,10,8,252,6-5,Washington,9/6/1969,7,1,New York Giants / 3rd / 69th pick / 1992,PierAa00
80,Lovett Purnell,27,TE,2,0,245,6-3,West Virginia,4/7/1972,3,0,New England Patriots / 7th / 216th pick / 1996,PurnLo00
32,Errict Rhett,29,RB,16,10,210,5-11,Florida,12/11/1970,5,6,Tampa Bay Buccaneers / 2nd / 34th pick / 1994,RhetEr00
5,Kyle Richardson,26,P,16,0,210,6-2,Arkansas St.,3/2/1973,2,2,,RichKy20
55,Jamie Sharper,25,LB,16,16,240,6-3,Virginia,11/23/1974,2,9,Baltimore Ravens / 2nd / 34th pick / 1997,SharJa20
98,Tony Siragusa,32,DT,14,14,330,6-3,Pittsburgh,5/14/1967,9,8,,SiraTo20
96,Fernando Smith,28,DE,15,0,287,6-6,Jackson St.,8/2/1971,5,3,Minnesota Vikings / 2nd / 55th pick / 1994,SmitFe20
