--- When using SR data, please cite us and provide a link and/or a mention.


 
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
89,Mark Andrews,27,TE,,,256,6-5,Oklahoma,9/6/1995,4,,Baltimore Ravens / 3rd / 86th pick / 2018,AndrMa00
5,Jalyn Armour-Davis,23,DB,,,192,6-1,Alabama,9/3/1999,Rook,,Baltimore Ravens / 4th / 119th pick / 2022,ArmoJa00
7,Rashod Bateman,23,WR,,,210,6-2,Minnesota,11/29/1999,1,,Baltimore Ravens / 1st / 27th pick / 2021,BateRa00
86,Nick Boyle,29,TE,,,270,6-4,Delaware,2/17/1993,7,,Baltimore Ravens / 5th / 171st pick / 2015,BoylNi00
56,Josh Bynes,33,MLB,,,240,6-1,Auburn,8/24/1989,11,,,ByneJo00
93,Calais Campbell,36,DE,,,300,6-8,Miami (FL),9/1/1986,14,,Arizona Cardinals / 2nd / 50th pick / 2008,CampCa99
36,Chuck Clark,27,FS,,,205,6-0,Virginia Tech,4/19/1995,5,,Baltimore Ravens / 6th / 186th pick / 2017,ClarCh00
66,Ben Cleveland,24,G,,,357,6-6,Georgia,8/25/1998,1,,Baltimore Ravens / 3rd / 94th pick / 2021,ClevBe00
63,Trystan Colon-Castillo,24,C,,,313,6-3,Missouri,3/23/1998,2,,,ColoTr01
28,Mike Davis,29,RB,,,220,5-9,South Carolina,2/19/1993,7,,San Francisco 49ers / 4th / 126th pick / 2015,DaviMi01
27,J.K. Dobbins,24,RB,,,214,5-10,Ohio St.,12/17/1998,2,,Baltimore Ravens / 2nd / 55th pick / 2020,DobbJK00
17,Kenyan Drake,28,RB,,,211,6-1,Alabama,1/26/1994,6,,Miami Dolphins / 3rd / 73rd pick / 2016,DrakKe00
13,Devin Duvernay,25,WR,,,210,5-11,Texas,9/12/1997,2,,Baltimore Ravens / 3rd / 92nd pick / 2020,DuveDe00
77,Daniel Faalele,23,T,,,380,6-9,Minnesota,11/9/1999,Rook,,Baltimore Ravens / 4th / 110th pick / 2022,FaalDa00
18,Kyle Fuller,30,CB,,,190,5-11,Virginia Tech,2/16/1992,8,,Chicago Bears / 1st / 14th pick / 2014,FullKy00
14,Kyle Hamilton,21,S,,,219,6-4,Notre Dame,3/16/2001,Rook,,Baltimore Ravens / 1st / 14th pick / 2022,HamiKy00
40,Malik Harrison,24,LB,,,247,6-3,Ohio St.,3/5/1998,2,,Baltimore Ravens / 3rd / 98th pick / 2020,HarrMa06
43,Justice Hill,25,RB,,,200,5-10,Oklahoma St.,11/14/1997,3,,Baltimore Ravens / 4th / 113th pick / 2019,HillJu00
50,Justin Houston,33,LOLB,,,270,6-3,Georgia,1/21/1989,11,,Kansas City Chiefs / 3rd / 70th pick / 2011,HousJu00
44,Marlon Humphrey,26,CB,,,197,6-0,Alabama,7/8/1996,5,,Baltimore Ravens / 1st / 16th pick / 2017,HumpMa00
2,Tyler Huntley,24,QB,,,196,6-1,Utah,2/3/1998,2,,,HuntTy01
8,Lamar Jackson,25,QB,,,212,6-2,Louisville,1/7/1997,4,,Baltimore Ravens / 1st / 32nd pick / 2018,JackLa00
71,Ja'Wuan James,30,OT,,,312,6-6,Tennessee,6/3/1992,8,,Miami Dolphins / 1st / 19th pick / 2014,JameJa01
98,Travis Jones,23,DT,,,333,6-5,Connecticut,10/15/1999,Rook,,Baltimore Ravens / 3rd / 76th pick / 2022,JoneTr00
80,Isaiah Likely,22,TE,,,240,6-4,Coastal Carolina,4/18/2000,Rook,,Baltimore Ravens / 4th / 139th pick / 2022,LikeIs00
64,Tyler Linderbaum,22,OL,,,290,6-3,Iowa,4/7/2000,Rook,,Baltimore Ravens / 1st / 25th pick / 2022,LindTy00
92,Justin Madubuike,25,DL,,,293,6-3,Texas A&M,11/17/1997,2,,Baltimore Ravens / 3rd / 71st pick / 2020,MaduJu00
65,Patrick Mekari,25,G,,,308,6-4,California,8/13/1997,3,,,MekaPa00
46,Nick Moore,30,LS,,,248,6-2,Georgia,12/9/1992,2,,,MoorNi00
78,Morgan Moses,31,OT,,,318,6-6,Virginia,3/3/1991,8,,Washington Redskins / 3rd / 66th pick / 2014,MoseMo00
84,Josh Oliver,25,TE,,,249,6-5,San Jose St.,3/21/1997,3,,Jacksonville Jaguars / 3rd / 69th pick / 2019,OlivJo00
99,Odafe Oweh,24,OLB,,,251,6-5,Penn St.,12/15/1998,1,,Baltimore Ravens / 1st / 31st pick / 2021,OwehJa00
24,Marcus Peters,29,CB,,,197,6-0,Washington,1/9/1993,7,,Kansas City Chiefs / 1st / 18th pick / 2015,PeteMa00
53,Del'Shawn Phillips,26,LB,,,230,6-2,Illinois,10/9/1996,2,,,PhilDe00
58,Michael Pierce,30,DT,,,340,6-0,Samford,11/6/1992,6,,,PierMi00
72,Ben Powers,26,OL,,,310,6-4,Oklahoma,10/29/1996,3,,Baltimore Ravens / 4th / 123rd pick / 2019,PoweBe00
3,James Proche,26,WR,,,193,5-11,SMU,9/21/1996,2,,Baltimore Ravens / 6th / 201st pick / 2020,ProcJa00
6,Patrick Queen,23,LB,,,232,6-0,LSU,8/13/1999,2,,Baltimore Ravens / 1st / 28th pick / 2020,QueePa00
42,Patrick Ricard,28,FB,,,311,6-3,Maine,5/27/1994,5,,,RicaPa00
10,Demarcus Robinson,28,WR,,,202,6-1,Florida,9/21/1994,6,,Kansas City Chiefs / 4th / 126th pick / 2016,RobiDe01
51,Josh Ross,23,LB,,,230,6-2,Michigan,10/31/1999,Rook,,,RossJo01
79,Ronnie Stanley,28,OT,,,315,6-6,Notre Dame,3/18/1994,6,,Baltimore Ravens / 1st / 6th pick / 2016,StanRo00
21,Brandon Stephens,25,CB,,,215,6-1,UCLASMU,12/29/1997,1,,Baltimore Ravens / 3rd / 104th pick / 2021,StepBr01
26,Geno Stone,23,S,,,209,5-10,Iowa,4/19/1999,2,,Baltimore Ravens / 7th / 219th pick / 2020,StonGe00
11,Jordan Stout,24,P,,,209,6-3,Virginia TechPenn St.,8/4/1998,Rook,,Baltimore Ravens / 4th / 130th pick / 2022,StouJo00
9,Justin Tucker,33,K,,,183,6-1,Texas,11/21/1989,10,,,TuckJu00
97,Brent Urban,31,DE,,,295,6-7,Virginia,5/5/1991,8,,Baltimore Ravens / 4th / 134th pick / 2014,UrbaBr00
16,Tylan Wallace,23,WR,,,195,5-11,Oklahoma St.,5/13/1999,1,,Baltimore Ravens / 4th / 131st pick / 2021,WallTy00
96,Broderick Washington Jr.,26,DL,,,304,6-3,Texas Tech,12/4/1996,2,,Baltimore Ravens / 5th / 170th pick / 2020,WashBr01
57,Kristian Welch,24,LB,,,240,6-3,Iowa,5/24/1998,2,,,WelcKr00
22,Damarion Williams,24,CB,,,178,5-10,Highland (KS)Houston,7/15/1998,Rook,,Baltimore Ravens / 4th / 141st pick / 2022,WillDa15
32,Marcus Williams,26,S,,,195,6-1,Utah,9/8/1996,5,,New Orleans Saints / 2nd / 42nd pick / 2017,WillMa06
70,Kevin Zeitler,32,G,,,315,6-4,Wisconsin,3/8/1990,10,,Cincinnati Bengals / 1st / 27th pick / 2012,ZeitKe00
54,Tyus Bowser (PUP),27,OLB,,,242,6-3,Houston,5/23/1995,5,,Baltimore Ravens / 2nd / 47th pick / 2017,BowsTy00
35,Gus Edwards (PUP),27,RB,,,238,6-1,Miami (FL)Rutgers,4/13/1995,4,,,EdwaGu00
47,Vince Biegel (IR),29,OLB,,,246,6-3,Wisconsin,7/22/1993,5,,Green Bay Packers / 4th / 108th pick / 2017,BiegVi00
82,Slade Bolden (IR),,WR,,,191,,Alabama,,Rook,,,BoldSl00
85,Shemar Bridges (IR),25,WR,,,208,6-4,Fort Valley State,12/26/1997,Rook,,,BridSh00
59,Daelin Hayes (IR),24,OLB,,,270,6-3,Notre Dame,5/16/1998,1,,Baltimore Ravens / 5th / 171st pick / 2021,HayeDa00
88,Charlie Kolar (IR),23,TE,,,260,6-6,Iowa St.,2/10/1999,Rook,,Baltimore Ravens / 4th / 128th pick / 2022,KolaCh00
90,David Ojabo (IR),22,LB,,,250,6-5,Michigan,5/17/2000,Rook,,Baltimore Ravens / 2nd / 45th pick / 2022,OjabDa00
