No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
32,Nasir Adderley,22,S,4,0,206,6-0,Delaware,5/31/1997,Rook,0,Los Angeles Chargers / 2nd / 60th pick / 2019,$495000,AddeNa00
13,Keenan Allen,27,WR,16,16,211,6-2,California,4/27/1992,6,10,San Diego Chargers / 3rd / 76th pick / 2013,$10000000,AlleKe00
82,Stephen Anderson,26,TE,1,0,230,6-3,California,1/30/1993,3,0,,,AndeSt01
4,Michael Badgley,24,K,8,0,183,5-10,Miami (FL),7/28/1995,1,2,,$570000,BadgMi00
12,Travis Benjamin,30,WR,5,2,175,5-10,Miami (FL),12/29/1989,7,0,Cleveland Browns / 4th / 100th pick / 2012,$5250000,BenjTr00
97,Joey Bosa,24,DE,16,16,280,6-5,Ohio St.,7/11/1995,3,12,San Diego Chargers / 1st / 3rd pick / 2016,$720000,BosaJo00
91,Cortez Broughton,23,DL,2,0,293,6-2,Cincinnati,9/2/1996,Rook,0,Los Angeles Chargers / 7th / 242nd pick / 2019,$495000,BrouCo00
57,Jatavis Brown,25,OLB,13,1,221,5-11,Akron,2/18/1994,3,2,San Diego Chargers / 5th / 175th pick / 2016,$2025000,BrowJa05
80,Sean Culkin,26,TE,4,2,255,6-5,Missouri,6/11/1993,2,0,,$645000,CulkSe00
11,Geremy Davis,27,WR,7,1,211,6-3,Connecticut,1/10/1992,4,0,New York Giants / 6th / 186th pick / 2015,$805000,DaviGe00
43,Michael Davis,24,,12,12,196,6-2,BYU,1/6/1995,2,4,,$645000,DaviMi03
58,Thomas Davis,36,LB,16,16,235,6-1,Georgia,3/22/1983,14,8,Carolina Panthers / 1st / 14th pick / 2005,$1250000,DaviTh20
48,Nick Dzubnar,28,LB,16,0,240,6-1,Cal Poly-San Luis Obispo,8/15/1991,4,1,,$1375000,DzubNi00
51,Emeke Egbule,23,LB,15,0,245,6-2,Houston,10/13/1996,Rook,1,Los Angeles Chargers / 6th / 200th pick / 2019,$495000,EgbuEm00
30,Austin Ekeler,24,RB,16,8,200,5-10,Western St. (CO),5/17/1995,2,11,,$645000,EkelAu00
28,Brandon Facyson,25,CB,16,4,197,6-2,Virginia Tech,9/8/1994,1,2,,$570000,FacyBr00
66,Dan Feeney,25,OG,16,16,310,6-4,Indiana,5/29/1994,2,8,Los Angeles Chargers / 3rd / 71st pick / 2017,$793000,FeenDa00
25,Melvin Gordon,26,RB,12,11,215,6-1,Wisconsin,4/13/1993,4,6,San Diego Chargers / 1st / 15th pick / 2015,$5605000,GordMe00
88,Virgil Green,31,,15,4,255,6-5,Nevada,8/3/1988,8,1,Denver Broncos / 7th / 204th pick / 2011,$2500000,GreeVi00
