No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
51,Azeez Al-Shaair,22,LB,15,4,228,6-2,Florida Atlantic,8/4/1997,Rook,3,,$495000,AlShAz00
56,Kwon Alexander,25,OLB,8,8,227,6-1,LSU,8/3/1994,4,4,Tampa Bay Buccaneers / 4th / 124th pick / 2015,$1750000,AlexKw00
91,Arik Armstead,26,DE,16,16,290,6-7,Oregon,11/15/1993,4,9,San Francisco 49ers / 1st / 17th pick / 2015,$9046000,ArmsAr01
98,Ronald Blair,26,DE,9,0,270,6-4,Appalachian St.,1/21/1993,3,2,San Francisco 49ers / 5th / 142nd pick / 2016,$720000,BlaiRo00
97,Nick Bosa,22,EDGE,16,14,266,6-4,Ohio St.,10/23/1997,Rook,12,San Francisco 49ers / 1st / 2nd pick / 2019,$495000,BosaNi00
84,Kendrick Bourne,24,WR,16,0,203,6-1,East. Washington,8/4/1995,2,4,,$645000,BourKe00
22,Matt Breida,24,RB,13,5,195,5-10,Georgia Southern,2/28/1995,2,6,,$645000,BreiMa00
60,Daniel Brunskill,25,OT,14,7,300,6-5,San Diego St.,1/27/1994,1,5,,$495000,BrunDa00
99,DeForest Buckner,25,DT,16,16,295,6-7,Oregon,3/17/1994,3,16,San Francisco 49ers / 1st / 7th pick / 2016,$720000,BuckDe00
88,Garrett Celek,31,TE,5,1,252,6-5,Michigan St.,5/29/1988,7,0,,$1700000,CeleGa00
26,Tevin Coleman,26,RB,14,11,210,6-1,Indiana,4/16/1993,4,6,Atlanta Falcons / 3rd / 73rd pick / 2015,$1550000,ColeTe01
59,Jon Condo,38,LB,1,0,240,6-3,Maryland,8/26/1981,14,0,,,CondJo20
96,Sheldon Day,25,DT,16,2,294,6-1,Notre Dame,7/1/1994,3,2,Jacksonville Jaguars / 4th / 103rd pick / 2016,$720000,DayxSh00
82,Ross Dwelley,24,TE,16,6,235,6-5,San Diego,1/26/1995,1,1,,$570000,DwelRo00
38,Antone Exum,28,CB,7,0,219,6-0,Virginia Tech,2/27/1991,5,0,Minnesota Vikings / 6th / 182nd pick / 2014,$805000,ExumAn00
55,Dee Ford,28,DE,11,2,252,6-2,Auburn,3/19/1991,5,2,Kansas City Chiefs / 1st / 23rd pick / 2014,$4750000,FordDe00
63,Ben Garland,31,OL,9,3,308,6-5,Air Force,4/6/1988,8,2,,$805000,GarlBe00
10,Jimmy Garoppolo,28,QB,16,16,225,6-2,Eastern Illinois,11/2/1991,5,15,New England Patriots / 2nd / 62nd pick / 2014,$17200000,GaroJi00
90,Kevin Givens,22,DL,1,0,285,6-1,Penn St.,3/1/1997,Rook,0,,,GiveKe01
11,Marquise Goodwin,29,WR,9,6,180,5-9,Texas,11/19/1990,6,2,Buffalo Bills / 3rd / 78th pick / 2013,$2950000,GoodMa00
9,Robbie Gould,37,K,13,0,190,6-0,Penn St.,12/6/1982,14,1,,$4971000,gouldrob01
57,Dre Greenlaw,22,LB,16,11,230,6-0,Arkansas,5/27/1997,Rook,7,San Francisco 49ers / 5th / 148th pick / 2019,$710000,GreeDr00
36,Marcell Harris,25,S,13,4,215,6-0,Florida,6/9/1994,1,2,San Francisco 49ers / 6th / 184th pick / 2018,$570000,HarrMa03
40,Colin Holba,25,LS,2,0,248,6-4,Louisville,7/8/1994,2,0,Pittsburgh Steelers / 6th / 213th pick / 2017,$645000,HolbCo00
13,Richie James,24,WR,16,1,185,5-9,Middle Tenn. St.,9/5/1995,1,2,San Francisco 49ers / 7th / 240th pick / 2018,$570000,JameRi00
38,Dontae Johnson,28,FS,7,0,200,6-2,North Carolina St.,12/1/1991,5,0,San Francisco 49ers / 4th / 129th pick / 2014,$805000,JohnDo02
93,D.J. Jones,24,DT,11,11,305,6-0,East Mississippi CCMississippi,1/19/1995,2,6,San Francisco 49ers / 6th / 198th pick / 2017,$645000,JoneD.01
44,Kyle Juszczyk,28,FB,12,12,235,6-1,Harvard,4/23/1991,6,3,Baltimore Ravens / 4th / 130th pick / 2013,$4200000,JuszKy00
85,George Kittle,26,TE,14,14,250,6-4,Iowa,10/9/1993,2,11,San Francisco 49ers / 5th / 146th pick / 2017,$645000,KittGe00
47,Elijah Lee,23,OLB,8,1,230,6-3,Kansas St.,2/8/1996,2,1,Minnesota Vikings / 7th / 232nd pick / 2017,$645000,LeexEl00
81,Jordan Matthews,27,WR,1,0,215,6-3,Vanderbilt,7/16/1992,5,0,Philadelphia Eagles / 2nd / 42nd pick / 2014,$1000000,MattJo00
69,Mike McGlinchey,24,OT,12,12,310,6-8,Notre Dame,1/12/1995,1,7,San Francisco 49ers / 1st / 9th pick / 2018,$570000,McGlMi00
5,Chase McLaughlin,23,K,3,0,180,6-0,Illinois,4/9/1996,Rook,1,,,McLaCh00
90,Damontre Moore,27,DE,2,0,260,6-4,Texas A&M,9/11/1992,6,0,New York Giants / 3rd / 81st pick / 2013,$805000,MoorDa01
33,Tarvarius Moore,23,S,16,3,200,6-2,Southern Miss,8/16/1996,1,2,San Francisco 49ers / 3rd / 95th pick / 2018,$603000,MoorTa00
41,Emmanuel Moseley,23,CB,16,9,190,5-11,Tennessee,3/25/1996,1,4,,$495000,MoseEm00
31,Raheem Mostert,27,RB,16,0,205,5-10,Purdue,4/9/1992,4,8,,$1400000,MostRa00
4,Nick Mullens,24,QB,1,0,210,6-1,Southern Miss,3/21/1995,1,0,,$570000,MullNi00
86,Kyle Nelson,33,TE,10,0,240,6-2,New Mexico St.,10/3/1986,7,1,,$601765,NelsKy00
53,Mark Nzeocha,29,OLB,16,0,240,6-3,Wyoming,1/19/1990,4,2,Dallas Cowboys / 7th / 236th pick / 2015,$1100000,NzeoMa00
68,Michael Person,31,T,14,14,300,6-4,Montana St.,5/17/1988,8,8,San Francisco 49ers / 7th / 239th pick / 2011,$1450000,PersMi00
18,Dante Pettis,24,WR,11,4,195,6-1,Washington,10/23/1995,1,1,San Francisco 49ers / 2nd / 44th pick / 2018,$770934,PettDa00
32,D.J. Reed,23,CB,16,0,193,5-9,Kansas St.,11/11/1996,1,1,San Francisco 49ers / 5th / 142nd pick / 2018,$570000,ReedD.00
58,Weston Richburg,28,C,13,13,290,6-4,Colorado St.,7/9/1991,5,8,New York Giants / 2nd / 43rd pick / 2014,$5500000,RichWe00
19,Deebo Samuel,23,WR,15,11,215,6-0,South Carolina,1/15/1996,Rook,10,San Francisco 49ers / 2nd / 36th pick / 2019,$495000,SamuDe00
89,Garrison Sanborn,34,C,3,0,240,6-1,Florida St.,7/31/1985,10,0,,,SanbGa00
17,Emmanuel Sanders,32,WR,10,9,180,5-11,SMU,3/17/1987,9,5,Pittsburgh Steelers / 3rd / 82nd pick / 2010,,SandEm00
