No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
58,Kwon Alexander,23,OLB,12,12,227,6-1,LSU,8/3/1994,2,8,Tampa Bay Buccaneers / 4th / 124th pick / 2015,AlexKw00
9,Bryan Anger,29,P,16,0,202,6-3,California,10/6/1988,5,1,Jacksonville Jaguars / 3rd / 70th pick / 2012,AngeBr00
82,Antony Auclair,24,TE,8,3,256,6-6,Laval,5/28/1993,Rook,0,,AuclAn00
91,Robert Ayers,32,DE,12,10,275,6-3,Tennessee,9/6/1985,8,4,Denver Broncos / 1st / 18th pick / 2009,AyerRo99
90,Chris Baker,30,DT,15,14,306,6-2,Hampton,10/8/1987,8,6,,BakeCh99
25,Peyton Barber,23,RB,16,4,225,5-11,Auburn,6/27/1994,1,3,,BarbPe01
51,Kendell Beckwith,23,ILB,16,9,243,6-2,LSU,12/2/1994,Rook,5,Tampa Bay Buccaneers / 3rd / 107th pick / 2017,BeckKe00
77,Caleb Benenoch,23,OT,13,5,305,6-5,UCLA,8/2/1994,1,3,Tampa Bay Buccaneers / 5th / 148th pick / 2016,BeneCa00
59,Devante Bond,24,OLB,14,2,236,6-1,Oklahoma,7/3/1993,Rook,2,Tampa Bay Buccaneers / 6th / 183rd pick / 2016,BondDe00
84,Cameron Brate,26,TE,16,5,245,6-5,Harvard,7/3/1991,3,4,,BratCa00
49,Riley Bullough,24,ILB,3,0,228,6-2,Michigan St.,11/23/1993,Rook,0,,BullRi00
94,Will Clarke,26,DE,15,0,275,6-6,West Virginia,5/4/1991,3,2,Cincinnati Bengals / 3rd / 88th pick / 2014,ClarWi00
23,Chris Conte,28,DB,16,14,203,6-2,California,2/23/1989,6,4,Chicago Bears / 3rd / 93rd pick / 2011,ContCh00
45,Alan Cross,24,TE,8,4,235,6-1,Memphis,5/2/1993,1,0,,CrosAl00
54,Lavonte David,27,OLB,13,13,233,6-1,Fort Scott (KS)Nebraska,1/23/1990,5,7,Tampa Bay Buccaneers / 2nd / 58th pick / 2012,DaviLa00
62,Evan Dietrich-Smith,31,G,15,6,308,6-2,Idaho St.,7/19/1986,8,4,,DietEv00
69,Demar Dotson,32,T,11,11,315,6-9,Southern Miss,10/11/1985,8,5,,DotsDe00
35,Javien Elliott,24,CB,15,1,185,5-11,Florida St.,7/18/1993,1,1,,ElliJa01
21,Justin Evans,22,SS,14,11,199,6-0,Texas A&M,8/26/1995,Rook,4,Tampa Bay Buccaneers / 2nd / 50th pick / 2017,EvanJu00
13,Mike Evans,24,WR,15,15,231,6-5,Texas A&M,8/21/1993,3,8,Tampa Bay Buccaneers / 1st / 7th pick / 2014,EvanMi00
14,Ryan Fitzpatrick,35,QB,6,3,221,6-2,Harvard,11/24/1982,12,3,St. Louis Rams / 7th / 250th pick / 2005,FitzRy00
2,Nick Folk,33,K,4,0,222,6-1,Arizona,11/5/1984,10,-1,Dallas Cowboys / 6th / 178th pick / 2007,FolkNi20
92,William Gholston,26,DE,14,10,281,6-6,Michigan St.,7/31/1991,4,4,Tampa Bay Buccaneers / 4th / 126th pick / 2013,GholWi00
12,Chris Godwin,21,WR,16,2,208,6-1,Penn St.,2/27/1996,Rook,4,Tampa Bay Buccaneers / 3rd / 84th pick / 2017,GodwCh00
24,Brent Grimes,34,DB,13,13,185,5-10,Shippensburg,7/19/1983,10,4,,GrimBr20
28,Vernon Hargreaves III,22,CB,9,8,204,5-10,Florida,6/3/1995,1,2,Tampa Bay Buccaneers / 1st / 11th pick / 2016,HargVe00
,Nigel Harris,23,OLB,1,0,225,6-2,South Florida,12/7/1994,Rook,0,,HarrNi00
68,Joe Hawley,29,G,4,2,302,6-3,UNLV,10/22/1988,7,1,Atlanta Falcons / 4th / 117th pick / 2010,HawlJo20
80,O.J. Howard,23,TE,14,14,251,6-6,Alabama,11/18/1994,Rook,3,Tampa Bay Buccaneers / 1st / 19th pick / 2017,HowaO.00
