No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
26,Andrew Adams,28,S,16,0,205,5-11,Connecticut,10/28/1992,4,1,,$910000,AdamAn00
82,Antony Auclair,27,TE,8,2,256,6-6,Laval,5/28/1993,3,0,,$825000,AuclAn00
44,Kenjon Barner,31,RB,6,0,195,5-9,Oregon,4/28/1989,7,0,Carolina Panthers / 6th / 182nd pick / 2013,,BarnKe00
58,Shaquil Barrett,28,OLB,15,15,250,6-2,Colorado St.,11/17/1992,6,8,,$15828000,BarrSh00
57,Quinton Bell,24,DE,5,0,253,6-4,Prairie View A&M,5/9/1996,Rook,0,Oakland Raiders / 7th / 230th pick / 2019,$610000,BellQu00
12,Tom Brady,43,QB,16,16,225,6-4,Michigan,8/3/1977,20,15,New England Patriots / 6th / 199th pick / 2000,$15000000,BradTo00
84,Cameron Brate,29,TE,16,1,245,6-5,Harvard,7/3/1991,6,3,,$4250000,BratCa00
81,Antonio Brown,32,WR,8,4,185,5-10,Central Michigan,7/10/1988,10,5,Pittsburgh Steelers / 6th / 195th pick / 2010,$750000,BrowAn04
65,Alex Cappa,25,OT,16,16,305,6-6,Humboldt St.,1/27/1995,2,9,Tampa Bay Buccaneers / 3rd / 94th pick / 2018,$750000,CappAl00
48,Jack Cichy,25,ILB,6,0,238,6-2,Wisconsin,5/5/1995,2,0,Tampa Bay Buccaneers / 6th / 202nd pick / 2018,$538237,CichJa00
43,Ross Cockrell,29,CB,12,2,191,6-0,Duke,8/6/1991,6,1,Buffalo Bills / 4th / 109th pick / 2014,$642353,CockRo00
54,Lavonte David,30,OLB,16,16,233,6-1,Fort Scott (KS)Nebraska,1/23/1990,8,14,Tampa Bay Buccaneers / 2nd / 58th pick / 2012,$10750000,DaviLa00
24,Carlton Davis,24,CB,14,14,206,6-1,Auburn,12/31/1996,2,6,Tampa Bay Buccaneers / 2nd / 63rd pick / 2018,$879374,DaviCa02
94,Khalil Davis,24,DL,2,0,308,6-1,Nebraska,8/22/1996,Rook,0,Tampa Bay Buccaneers / 6th / 194th pick / 2020,$610000,DaviKh00
35,Jamel Dean,24,CB,14,7,206,6-1,Auburn,10/15/1996,1,3,Tampa Bay Buccaneers / 3rd / 94th pick / 2019,$675000,DeanJa00
32,Mike Edwards,24,CB,16,0,205,5-10,KentuckyHawaii,5/18/1996,1,2,Tampa Bay Buccaneers / 3rd / 99th pick / 2019,$675000,EdwaMi01
13,Mike Evans,27,WR,16,16,231,6-5,Texas A&M,8/21/1993,6,9,Tampa Bay Buccaneers / 1st / 7th pick / 2014,$4000000,EvanMi00
28,Leonard Fournette,25,RB,13,3,228,6-0,LSU,1/18/1995,3,5,Jacksonville Jaguars / 1st / 4th pick / 2017,$2000000,FourLe00
11,Blaine Gabbert,31,QB,4,0,235,6-5,Missouri,10/15/1989,9,1,Jacksonville Jaguars / 1st / 10th pick / 2011,$1050000,GabbBl00
92,William Gholston,29,DE,16,12,281,6-6,Michigan St.,7/31/1991,7,7,Tampa Bay Buccaneers / 4th / 126th pick / 2013,$4750000,GholWi00
49,Cam Gill,23,LB,12,0,240,6-3,Wagner,12/14/1997,Rook,1,,,GillCa00
14,Chris Godwin,24,WR,12,12,208,6-1,Penn St.,2/27/1996,3,8,Tampa Bay Buccaneers / 3rd / 84th pick / 2017,$2133000,GodwCh00
15,Cyril Grayson,27,WR,3,0,183,5-9,LSU,12/5/1993,2,0,,$466471,GrayCy01
87,Rob Gronkowski,31,TE,16,16,265,6-6,Arizona,5/14/1989,10,6,New England Patriots / 2nd / 42nd pick / 2010,$9000000,GronRo00
73,Joe Haeg,27,OT,12,3,298,6-6,North Dakota St.,3/11/1993,4,3,Indianapolis Colts / 5th / 155th pick / 2016,$1550000,HaegJo00
80,O.J. Howard,26,TE,4,1,251,6-6,Alabama,11/18/1994,3,1,Tampa Bay Buccaneers / 1st / 19th pick / 2017,$1977903,HowaO.00
88,Tanner Hudson,26,TE,11,0,239,6-5,Southern Arkansas,11/12/1994,1,0,,$595588,HudsTa00
66,Ryan Jensen,29,T,16,16,319,6-4,Colorado State-Pueblo,5/27/1991,7,9,Baltimore Ravens / 6th / 203rd pick / 2013,$10000000,JensRy00
18,Tyler Johnson,22,WR,14,3,206,6-1,Minnesota,8/25/1998,Rook,2,Tampa Bay Buccaneers / 5th / 161st pick / 2020,$610000,JohnTy00
27,Ronald Jones II,23,RB,14,13,208,5-11,USC,8/3/1997,2,8,Tampa Bay Buccaneers / 2nd / 38th pick / 2018,$1122901,JoneRo01
95,Jeremiah Ledbetter,26,DT,3,0,295,6-3,Arkansas,6/2/1994,3,0,Detroit Lions / 6th / 205th pick / 2017,$585000,LedbJe00
74,Ali Marpet,27,G,13,13,307,6-4,Hobart,4/17/1993,5,7,Tampa Bay Buccaneers / 2nd / 61st pick / 2015,$5125000,MarpAl00
25,LeSean McCoy,32,RB,10,0,210,5-11,Pittsburgh,7/12/1988,11,1,Philadelphia Eagles / 2nd / 53rd pick / 2009,$1050000,McCoLe01
96,Steve McLendon,34,DT,9,0,310,6-3,Troy,1/3/1986,10,1,,,McLeSt00
85,Jaydon Mickens,26,WR,10,0,170,5-11,Washington,4/21/1994,3,1,,$750000,MickJa01
36,Herb Miller,23,DB,4,0,190,6-2,Florida Atlantic,11/11/1997,Rook,0,,$510000,MillHe01
10,Scott Miller,23,WR,16,5,174,5-9,Bowling Green,7/31/1997,1,5,Tampa Bay Buccaneers / 6th / 208th pick / 2019,$675000,MillSc01
51,Kevin Minter,30,ILB,16,1,246,6-0,LSU,12/3/1990,7,2,Arizona Cardinals / 2nd / 45th pick / 2013,$1050000,MintKe00
39,Parnell Motley,23,DB,2,0,175,6-0,Oklahoma,10/28/1997,Rook,0,,$610000,MotlPa00
