--- When using SR data, please cite us and provide a link and/or a mention.


 
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
58,Shaquil Barrett,30,OLB,,,250,6-2,Colorado St.,11/17/1992,8,,,BarrSh00
25,Giovani Bernard,31,RB,,,205,5-9,North Carolina,11/22/1991,9,,Cincinnati Bengals / 2nd / 37th pick / 2013,BernGi00
12,Tom Brady,45,QB,,,225,6-4,Michigan,8/3/1977,22,,New England Patriots / 6th / 199th pick / 2000,BradTo00
84,Cameron Brate,31,TE,,,245,6-5,Harvard,7/3/1991,8,,,BratCa00
52,K.J. Britt,24,LB,,,235,6-0,Auburn,9/19/1998,1,,Tampa Bay Buccaneers / 5th / 176th pick / 2021,BritKJ00
5,Jake Camarda,23,P,,,180,6-2,Georgia,4/20/1999,Rook,,Tampa Bay Buccaneers / 4th / 133rd pick / 2022,CamaJa00
1,Jaelon Darden,23,WR,,,174,5-8,North Texas,1/14/1999,1,,Tampa Bay Buccaneers / 4th / 129th pick / 2021,DardJa00
54,Lavonte David,32,OLB,,,233,6-1,Fort Scott (KS)Nebraska,1/23/1990,10,,Tampa Bay Buccaneers / 2nd / 58th pick / 2012,DaviLa00
24,Carlton Davis,26,CB,,,206,6-1,Auburn,12/31/1996,4,,Tampa Bay Buccaneers / 2nd / 63rd pick / 2018,DaviCa02
35,Jamel Dean,26,CB,,,206,6-1,Auburn,10/15/1996,3,,Tampa Bay Buccaneers / 3rd / 94th pick / 2019,DeanJa00
30,Dee Delaney,27,CB,,,200,5-11,The CitadelMiami (FL),2/20/1995,4,,,DelaDe00
32,Mike Edwards,26,CB,,,205,5-10,KentuckyHawaii,5/18/1996,3,,Tampa Bay Buccaneers / 3rd / 99th pick / 2019,EdwaMi01
13,Mike Evans,29,WR,,,231,6-5,Texas A&M,8/21/1993,8,,Tampa Bay Buccaneers / 1st / 7th pick / 2014,EvanMi00
53,Olakunle Fatukasi,,LB,,,240,6-2,Rutgers,,Rook,,,FatuOl00
7,Leonard Fournette,27,RB,,,228,6-0,LSU,1/18/1995,5,,Jacksonville Jaguars / 1st / 4th pick / 2017,FourLe00
11,Blaine Gabbert,33,QB,,,235,6-5,Missouri,10/15/1989,11,,Jacksonville Jaguars / 1st / 10th pick / 2011,GabbBl00
17,Russell Gage,26,WR,,,184,6-0,LSU,1/22/1996,4,,Atlanta Falcons / 6th / 194th pick / 2018,GageRu00
92,William Gholston,31,DE,,,281,6-6,Michigan St.,7/31/1991,9,,Tampa Bay Buccaneers / 4th / 126th pick / 2013,GholWi00
14,Chris Godwin,26,WR,,,208,6-1,Penn St.,2/27/1996,5,,Tampa Bay Buccaneers / 3rd / 84th pick / 2017,GodwCh00
67,Luke Goedeke,24,OL,,,295,6-5,Wisconsin–Stevens PointCentral Michigan,11/21/1998,Rook,,Tampa Bay Buccaneers / 2nd / 57th pick / 2022,GoedLu00
70,Robert Hainsey,24,T,,,306,6-4,Notre Dame,8/12/1998,1,,Tampa Bay Buccaneers / 3rd / 95th pick / 2021,HainRo00
90,Logan Hall,22,DE,,,260,6-6,Houston,4/22/2000,Rook,,Tampa Bay Buccaneers / 2nd / 33rd pick / 2022,HallLo00
