No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
67,Ethan Albright,37,G,16,0,265,6-5,North Carolina,5/1/1971,13,2,,AlbrEt20
79,Lorenzo Alexander,25,DT/LB,15,0,245,6-1,California,5/31/1983,1,2,,AlexLo99
37,Shaun Alexander,31,RB,4,0,225,5-11,Alabama,8/30/1977,8,0,Seattle Seahawks / 1st / 19th pick / 2000,AlexSh00
46,Ladell Betts,29,RB,13,0,224,5-11,Iowa,8/27/1979,6,3,Washington Redskins / 2nd / 56th pick / 2002,BettLa00
54,H.B. Blades,24,LB,16,5,236,5-11,Pittsburgh,9/30/1984,1,4,Washington Redskins / 6th / 179th pick / 2007,BladH.99
73,Ryan Boschetti,27,DT,3,0,300,6-4,UCLA,10/7/1981,4,0,,BoscRy20
14,Durant Brooks,23,P,6,0,202,6-1,Georgia MilitaryGeorgia Tech,4/15/1985,Rook,0,Washington Redskins / 6th / 168th pick / 2008,BrooDu20
17,Jason Campbell,27,QB,16,16,235,6-5,Auburn,12/31/1981,2,11,Washington Redskins / 1st / 25th pick / 2005,CampJa00
50,Khary Campbell,29,MLB,14,0,224,6-2,Bowling Green,4/4/1979,6,1,,CampKh20
99,Andre Carter,29,DE,16,14,260,6-4,California,5/12/1979,7,8,San Francisco 49ers / 1st / 7th pick / 2001,CartAn20
31,Rock Cartwright,29,FB,16,0,215,5-8,Kansas St.,12/3/1979,6,0,Washington Redskins / 7th / 257th pick / 2002,CartRo01
62,Devin Clark,22,G,2,0,305,6-4,New Mexico,5/22/1986,Rook,0,,ClarDe21
47,Chris Cooley,26,TE,16,16,255,6-3,Utah St.,7/11/1982,4,7,Washington Redskins / 3rd / 81st pick / 2004,CoolCh00
86,Fred Davis,22,TE,11,2,250,6-3,USC,1/15/1986,Rook,0,Washington Redskins / 2nd / 48th pick / 2008,DaviFr01
37,Reed Doughty,26,DB,4,3,206,6-1,Northern Colorado,11/4/1982,2,1,Washington Redskins / 6th / 173rd pick / 2006,DougRe20
92,Demetric Evans,29,DE,16,11,275,6-4,Georgia,9/3/1979,7,7,,EvanDe20
69,Jason Fabini,34,T,7,2,309,6-7,Cincinnati,8/25/1974,10,1,New York Jets / 4th / 111th pick / 1998,FabiJa20
51,Alfred Fincher,25,LB,14,0,238,6-1,Connecticut,8/15/1983,3,1,New Orleans Saints / 3rd / 82nd pick / 2005,FincAl20
59,London Fletcher,33,LB,16,16,242,5-10,John Carroll,5/19/1975,10,10,,FletLo20
