No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
93,Jonathan Allen,25,DT,16,16,300,6-3,Alabama,1/16/1995,3,9,Washington Redskins / 1st / 17th pick / 2017,$2046324,AlleJo01
8,Kyle Allen,24,QB,4,4,210,6-3,Texas A&MHouston,3/8/1996,2,2,,$675000,AlleKy00
52,Ryan Anderson,26,OLB,9,0,255,6-2,Alabama,8/12/1994,3,1,Washington Redskins / 2nd / 49th pick / 2017,$1191099,AndeRy00
30,Troy Apke,25,S,16,7,206,6-1,Penn St.,4/11/1995,2,4,Washington Redskins / 4th / 109th pick / 2018,$750000,ApkeTr00
84,Jeff Badet,26,WR,3,0,182,5-11,KentuckyOklahoma,8/2/1994,Rook,0,,$352941,BadeJe00
34,Peyton Barber,26,RB,16,2,225,5-11,Auburn,6/27/1994,4,1,,$910000,BarbPe01
85,Marcus Baugh,26,TE,8,1,245,6-4,Ohio St.,12/9/1994,Rook,0,,$610000,BaugMa02
53,Jonathan Bostic,29,LILB,16,15,245,6-1,Florida,5/5/1991,7,9,Chicago Bears / 2nd / 50th pick / 2013,$960000,BostJo00
12,Tony Brown,23,WR,1,0,195,6-1,Colorado,8/8/1997,Rook,0,,,BrowTo03
77,Saahdiq Charles,21,OL,1,1,322,6-4,LSU,7/26/1999,Rook,0,Washington Football Team / 4th / 108th pick / 2020,$474116,CharSa00
74,Geron Christian,24,OT,6,6,315,6-6,Louisville,9/10/1996,2,3,Washington Redskins / 3rd / 74th pick / 2018,$779000,ChriGe01
26,Landon Collins,26,SS,7,7,218,6-0,Alabama,1/10/1994,5,3,New York Giants / 2nd / 33rd pick / 2015,$10000000,CollLa00
31,Kamren Curl,21,S,16,11,198,6-2,Arkansas,3/3/1999,Rook,7,Washington Football Team / 7th / 216th pick / 2020,$610000,CurlKa00
23,Ronald Darby,26,CB,16,16,193,5-11,Florida St.,1/2/1994,5,7,Buffalo Bills / 2nd / 50th pick / 2015,$1250000,DarbRo00
58,Thomas Davis,37,LB,7,0,235,6-1,Georgia,3/22/1983,15,1,Carolina Panthers / 1st / 14th pick / 2005,$1500000,DaviTh20
22,Deshazor Everett,28,CB,11,6,203,6-0,Texas A&M,2/22/1992,5,3,,$1035000,EverDe01
19,Robert Foster,26,WR,4,2,196,6-2,Alabama,5/7/1994,2,0,,$485294,FostRo01
29,Kendall Fuller,25,CB,14,14,198,5-11,Virginia Tech,2/13/1995,4,7,Washington Redskins / 3rd / 84th pick / 2016,$1000000,FullKe00
10,Antonio Gandy-Golden,22,WR,6,2,223,6-4,Liberty,4/11/1998,Rook,0,Washington Football Team / 4th / 142nd pick / 2020,$474116,GandAn00
63,Joshua Garnett,26,OG,3,0,305,6-5,Stanford,2/21/1994,4,0,San Francisco 49ers / 1st / 28th pick / 2016,$695882,GarnJo00
24,Antonio Gibson,22,RB,14,10,220,6-2,Memphis,6/23/1998,Rook,6,Washington Football Team / 3rd / 66th pick / 2020,$610000,GibsAn00
51,Shaun Dion Hamilton,25,MLB,14,3,235,6-0,Alabama,9/11/1995,2,3,Washington Redskins / 6th / 197th pick / 2018,$750000,DionSh00
7,Dwayne Haskins,23,QB,7,6,230,6-4,Ohio St.,5/3/1997,1,1,Washington Redskins / 1st / 15th pick / 2019,$1150301,HaskDw00
4,Taylor Heinicke,27,QB,1,0,210,6-1,Old Dominion,3/15/1993,3,0,,,HeinTa00
88,Temarrick Hemingway,27,TE,8,0,245,6-5,South Carolina St.,7/30/1993,4,0,Los Angeles Rams / 6th / 177th pick / 2016,$485294,HemiTe00
55,Cole Holcomb,24,LB,11,10,240,6-1,North Carolina,7/30/1996,1,6,Washington Redskins / 5th / 173rd pick / 2019,$675000,HolcCo00
3,Dustin Hopkins,30,K,16,0,205,6-2,Florida St.,10/1/1990,7,2,Buffalo Bills / 6th / 177th pick / 2013,$2400000,HopkDu00
47,Khaleke Hudson,23,LB,16,2,220,6-0,Michigan,12/6/1997,Rook,2,Washington Football Team / 5th / 162nd pick / 2020,$610000,HudsKh00
80,Dontrelle Inman,31,WR,10,2,205,6-3,Virginia,1/31/1989,6,1,,$910000,InmaDo00
98,Matthew Ioannidis,26,DT,3,0,310,6-3,Temple,1/11/1994,4,0,Washington Redskins / 5th / 152nd pick / 2016,$4200000,IoanMa01
60,Keith Ismael,22,OL,8,0,309,6-3,San Diego St.,7/25/1998,Rook,0,Washington Football Team / 5th / 156th pick / 2020,$610000,IsmaKe00
32,Danny Johnson,25,CB,14,0,190,5-9,Southern,11/17/1995,2,1,,$750000,JohnDa09
48,Mychal Kendricks,30,ILB,1,0,240,5-11,California,9/28/1990,8,0,Philadelphia Eagles / 2nd / 46th pick / 2012,,KendMy00
91,Ryan Kerrigan,32,LOLB,16,1,267,6-4,Purdue,8/16/1988,9,3,Washington Redskins / 1st / 16th pick / 2011,$11500000,KerrRy00
59,Jordan Kunaszyk,24,LB,6,0,235,6-3,California,10/15/1996,1,1,,,KunaJo00
92,Devaroe Lawrence,28,DL,1,0,295,6-2,Auburn,10/13/1992,2,0,,,LawrDe02
38,Javon Leake,22,RB,1,0,206,6-0,Maryland,8/1/1998,Rook,0,,,LeakJa01
78,Cornelius Lucas,29,OT,14,8,327,6-8,Kansas St.,7/18/1991,6,4,,$910000,LucaCo01
46,Cole Luke,25,CB,5,0,200,5-11,Notre Dame,6/30/1995,2,0,,,LukeCo00
67,Wes Martin,24,G,16,5,315,6-3,Indiana,5/9/1996,1,3,Washington Redskins / 4th / 131st pick / 2019,$675000,MartWe00
41,J.D. McKissic,27,RB,16,7,195,5-10,Arkansas St.,8/15/1993,4,6,,$950000,McKiJ.00
17,Terry McLaurin,25,WR,15,15,210,6-0,Ohio St.,9/15/1995,1,8,Washington Redskins / 3rd / 76th pick / 2019,$681451,McLaTe00
25,Fabian Moreau,26,CB,16,1,204,6-0,UCLA,4/9/1994,3,2,Washington Redskins / 3rd / 81st pick / 2017,$2133000,MoreFa00
