--- When using SR data, please cite us and provide a link and/or a mention.


 
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
93,Jonathan Allen,27,DT,,,300,6-3,Alabama,1/16/1995,5,,Washington Redskins / 1st / 17th pick / 2017,AlleJo01
87,John Bates,25,TE,,,259,6-6,Boise St.,11/6/1997,1,,Washington Football Team / 4th / 124th pick / 2021,BateJo00
53,Jonathan Bostic,31,LILB,,,245,6-1,Florida,5/5/1991,9,,Chicago Bears / 2nd / 50th pick / 2013,BostJo00
2,Dyami Brown,23,WR,,,195,6-0,North Carolina,11/1/1999,1,,Washington Football Team / 3rd / 82nd pick / 2021,BrowDy00
35,Percy Butler,22,S,,,190,6-0,Louisiana,5/29/2000,Rook,,Washington Commanders / 4th / 113th pick / 2022,ButlPe00
40,Tariq Castro-Fields,23,CB,,,194,6-0,Penn St.,1/14/1999,Rook,,San Francisco 49ers / 6th / 221st pick / 2022,CastTa00
77,Saahdiq Charles,23,OL,,,322,6-4,LSU,7/26/1999,2,,Washington Football Team / 4th / 108th pick / 2020,CharSa00
54,Camaron Cheeseman,24,LS,,,237,6-4,Michigan,4/26/1998,1,,Washington Football Team / 6th / 225th pick / 2021,CheeCa00
76,Samuel Cosmi,23,OL,,,309,6-6,Texas,2/16/1999,1,,Washington Football Team / 2nd / 51st pick / 2021,CosmSa00
31,Kamren Curl,23,S,,,198,6-2,Arkansas,3/3/1999,2,,Washington Football Team / 7th / 216th pick / 2020,CurlKa00
52,Jamin Davis,24,LB,,,232,6-4,Kentucky,12/12/1998,1,,Washington Football Team / 1st / 19th pick / 2021,DaviJa11
1,Jahan Dotson,22,WR,,,184,5-11,Penn St.,3/22/2000,Rook,,Washington Commanders / 1st / 16th pick / 2022,DotsJa00
46,Milo Eifler,24,LB,,,228,6-1,WashingtonIllinois,2/13/1998,1,,,EiflMi00
22,Darrick Forrest,23,S,,,200,6-0,Cincinnati,5/22/1999,1,,Washington Football Team / 5th / 163rd pick / 2021,ForrDa00
29,Kendall Fuller,27,CB,,,198,5-11,Virginia Tech,2/13/1995,6,,Washington Redskins / 3rd / 84th pick / 2016,FullKe00
24,Antonio Gibson,24,RB,,,220,6-2,Memphis,6/23/1998,2,,Washington Football Team / 3rd / 66th pick / 2020,GibsAn00
4,Taylor Heinicke,29,QB,,,210,6-1,Old Dominion,3/15/1993,5,,,HeinTa00
55,Cole Holcomb,26,LB,,,240,6-1,North Carolina,7/30/1996,3,,Washington Redskins / 5th / 173rd pick / 2019,HolcCo00
34,Christian Holmes,25,CB,,,205,6-1,MissouriOklahoma St.,9/14/1997,Rook,,Washington Commanders / 7th / 240th pick / 2022,HolmCh00
14,Sam Howell,22,QB,,,220,6-1,North Carolina,9/16/2000,Rook,,Washington Commanders / 5th / 144th pick / 2022,HoweSa00
3,William Jackson III,30,CB,,,189,6-0,HoustonTrinity Valley CC (TX),10/27/1992,5,,Cincinnati Bengals / 1st / 24th pick / 2016,JackWi02
72,Charles Leno Jr.,31,LT,,,302,6-3,Boise St.,10/9/1991,8,,Chicago Bears / 7th / 246th pick / 2014,LenoCh00
78,Cornelius Lucas,31,OT,,,327,6-8,Kansas St.,7/18/1991,8,,,LucaCo01
98,Phidarian Mathis,24,DT,,,312,6-4,Alabama,4/26/1998,Rook,,Washington Commanders / 2nd / 47th pick / 2022,MathPh00
51,David Mayo,29,ILB,,,240,6-2,Texas St.,8/18/1993,7,,Carolina Panthers / 5th / 169th pick / 2015,MayoDa00
20,Bobby McCain,29,CB,,,196,5-9,Memphis,8/18/1993,7,,Miami Dolphins / 5th / 145th pick / 2015,McCaBo01
23,J.D. McKissic,29,RB,,,195,5-10,Arkansas St.,8/15/1993,6,,,McKiJ.00
17,Terry McLaurin,27,WR,,,210,6-0,Ohio St.,9/15/1995,3,,Washington Redskins / 3rd / 76th pick / 2019,McLaTe00
15,Dax Milne,23,WR,,,190,6-0,BYU,6/23/1999,1,,Washington Football Team / 7th / 258th pick / 2021,MilnDa00
68,Andrew Norwell,31,G,,,325,6-6,Ohio St.,10/25/1991,8,,,NorwAn01
97,Efe Obada,30,LB,,,265,6-6,None,4/13/1992,4,,,ObadEf00
75,Chris Paul,24,OL,,,331,6-4,Tulsa,11/19/1998,Rook,,Washington Commanders / 7th / 230th pick / 2022,PaulCh00
94,Daron Payne,25,DT,,,320,6-3,Alabama,5/27/1997,4,,Washington Redskins / 1st / 13th pick / 2018,PaynDa00
39,Jeremy Reaves,26,FS,,,205,5-11,South Alabama,8/29/1996,4,,,ReavJe00
88,Armani Rogers,25,TE,,,225,6-5,Ohio,12/4/1997,Rook,,,RogeAr00
73,Chase Roullier,29,C,,,312,6-4,Wyoming,8/23/1993,5,,Washington Redskins / 6th / 199th pick / 2017,RoulCh00
10,Curtis Samuel,26,WR,,,195,5-11,Ohio St.,8/11/1996,5,,Carolina Panthers / 2nd / 40th pick / 2017,SamuCu00
71,Wes Schweitzer,29,OT,,,300,6-4,San Jose St.,9/11/1993,5,,Atlanta Falcons / 6th / 195th pick / 2016,SchwWe00
89,Cam Sims,26,WR,,,220,6-5,Alabama,1/6/1996,4,,,SimsCa00
6,Joey Slye,26,K,,,213,5-11,Virginia Tech,4/10/1996,3,,,SlyeJo00
96,James Smith-Williams,25,DL,,,265,6-4,North Carolina St.,7/30/1997,2,,Washington Football Team / 7th / 229th pick / 2020,SmitJa08
25,Benjamin St-Juste,25,DB,,,200,6-3,MichiganMinnesota,9/8/1997,1,,Washington Football Team / 3rd / 74th pick / 2021,StJuBe00
90,Montez Sweat,26,EDGE,,,262,6-6,Mississippi St.,9/4/1996,3,,Washington Redskins / 1st / 26th pick / 2019,SweaMo00
82,Logan Thomas,31,QB/TE,,,250,6-6,Virginia Tech,7/1/1991,8,,Arizona Cardinals / 4th / 120th pick / 2014,ThomLo00
58,Shaka Toney,24,DE,,,238,6-2,Penn St.,1/7/1998,1,,Washington Football Team / 7th / 246th pick / 2021,ToneSh00
95,Casey Toohill,26,LB,,,254,6-5,Stanford,8/22/1996,2,,Philadelphia Eagles / 7th / 233rd pick / 2020,ToohCa00
85,Cole Turner,22,TE,,,240,6-6,Nevada,3/16/2000,Rook,,Washington Commanders / 5th / 149th pick / 2022,TurnCo00
53,Trai Turner,29,OG,,,315,6-3,LSU,6/14/1993,8,,Carolina Panthers / 3rd / 92nd pick / 2014,TurnTr01
5,Tress Way,32,P,,,220,6-1,Oklahoma,4/18/1990,8,,,WayxTr00
11,Carson Wentz,30,QB,,,237,6-5,North Dakota St.,12/30/1992,6,,Philadelphia Eagles / 1st / 2nd pick / 2016,WentCa00
37,Rachad Wildgoose,22,CB,,,197,5-11,Wisconsin,1/1/2000,1,,Buffalo Bills / 6th / 213th pick / 2021,WildRa00
41,Jonathan Williams,28,RB,,,217,6-0,Arkansas,2/2/1994,6,,Buffalo Bills / 5th / 156th pick / 2016,WillJo07
92,Daniel Wise,26,DL,,,279,6-3,Kansas,1/16/1996,1,,,WiseDa01
69,Tyler Larsen (PUP),31,C,,,335,6-4,Utah St.,7/8/1991,6,,,LarsTy00
99,Chase Young (PUP),23,DL,,,264,6-5,Ohio St.,4/14/1999,2,,Washington Football Team / 1st / 2nd pick / 2020,YounCh04
8,Brian Robinson Jr. (NON),23,RB,,,225,6-1,Alabama,3/22/1999,Rook,,Washington Commanders / 3rd / 98th pick / 2022,RobiBr01
64,Willie Beavers (IR),29,OT,,,324,6-5,Western Michigan,10/2/1993,6,,Minnesota Vikings / 4th / 121st pick / 2016,BeavWi00
38,Josh Drayden (IR),24,DB,,,185,5-10,California,4/10/1998,Rook,,,DrayJo00
80,Curtis Hodges (IR),,TE,,,240,,Arizona St.,,Rook,,,HodgCu00
46,Eli Wolf (IR),25,TE,,,236,6-4,Georgia,3/11/1997,Rook,,,WolfEl00
