No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
2,Darren Bennett,33,P,16,0,235,6-5,None,1/9/1965,3,3,,BennDa20
50,David Binn,26,C,15,0,228,6-3,California,2/6/1972,4,1,,BinnDa20
52,James Burgess,24,LB,16,0,230,6-0,Miami (FL),3/31/1974,1,1,,BurgJa20
83,John Burke,27,TE,10,6,248,6-3,Virginia Tech,9/7/1971,4,0,New England Patriots / 4th / 121st pick / 1994,BurkJo00
58,Lewis Bush,29,LB,10,10,245,6-2,Washington St.,12/2/1969,5,4,San Diego Chargers / 4th / 99th pick / 1993,BushLe20
43,Kenny Bynum,24,RB,10,0,191,5-11,South Carolina St.,5/29/1974,1,0,San Diego Chargers / 5th / 138th pick / 1997,BynuKe00
3,John Carney,34,K,16,0,185,5-11,Notre Dame,4/20/1964,10,4,,carnejoh01
31,Willie Clark,26,DB,5,0,186,5-10,Notre Dame,1/6/1972,4,0,San Diego Chargers / 3rd / 82nd pick / 1994,ClarWi20
90,Marco Coleman,29,DE,16,16,286,6-3,Georgia Tech,12/18/1969,6,9,Miami Dolphins / 1st / 12th pick / 1992,ColeMa00
81,Wendell Davis,23,TE,11,7,246,6-2,Temple,10/24/1975,Rook,0,,DaviWe21
27,Charles Dimry,32,DB,16,15,176,6-0,UNLV,1/31/1966,10,7,Atlanta Falcons / 5th / 110th pick / 1988,DimrCh20
51,Gerald Dixon,29,LLB,16,6,250,6-3,South Carolina,6/20/1969,5,4,Cleveland Browns / 3rd / 78th pick / 1992,DixoGe20
33,Dedrick Dodge,31,DB,8,0,184,6-2,Florida St.,6/14/1967,7,1,,DodgDe20
38,Mike Dumas,29,DB,3,3,198,6-0,Indiana,3/18/1969,7,1,Houston Oilers / 2nd / 28th pick / 1991,DumaMi20
41,Terrell Fletcher,25,RB,12,5,196,5-8,Wisconsin,9/14/1973,3,4,San Diego Chargers / 2nd / 51st pick / 1995,FletTe00
67,Roman Fortin,31,C,16,16,297,6-5,Oregon St.San Diego St.,2/26/1967,7,5,Detroit Lions / 8th / 203rd pick / 1990,FortRo20
95,William Fuller,36,DE,13,13,271,6-3,North Carolina,3/8/1962,12,6,Los Angeles Rams / 1st / 21st pick / 1984 Supp,FullWi00
85,Tony Gaiter,24,WR,5,0,169,5-8,Miami (FL),7/15/1974,1,0,New England Patriots / 6th / 192nd pick / 1997,GaitTo00
54,Kurt Gouveia,34,LB,14,12,233,6-1,BYU,9/14/1964,11,6,Washington Redskins / 8th / 213th pick / 1986,GouvKu20
53,Michael Hamilton,25,LB,13,0,245,6-2,North Carolina A&T,12/3/1973,1,1,San Diego Chargers / 3rd / 74th pick / 1997,HamiMi20
96,Norman Hand,26,DT,16,16,310,6-3,Mississippi,9/4/1972,2,9,Miami Dolphins / 5th / 158th pick / 1995,HandNo20
28,Dwayne Harper,32,DB,1,1,175,5-11,South Carolina St.,3/29/1966,10,1,Seattle Seahawks / 11th / 299th pick / 1988,HarpDw20
37,Rodney Harrison,26,DB,16,16,220,6-1,Western Illinois,12/15/1972,4,14,San Diego Chargers / 5th / 145th pick / 1994,HarrRo01
89,Frank Hartley,31,TE,16,3,268,6-2,Illinois,12/15/1967,4,0,,HartFr00
