No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
36,Jahleel Addae,30,S,11,0,195,5-10,Central Michigan,1/24/1990,7,1,,$864706,AddaJa00
24,Nasir Adderley,23,S,15,14,206,6-0,Delaware,5/31/1997,1,5,Los Angeles Chargers / 2nd / 60th pick / 2019,$710096,AddeNa00
13,Keenan Allen,28,WR,14,13,211,6-2,California,4/27/1992,7,8,San Diego Chargers / 3rd / 76th pick / 2013,$5500000,AlleKe00
82,Stephen Anderson,27,TE,16,3,230,6-3,California,1/30/1993,4,1,,$750000,AndeSt01
4,Michael Badgley,25,K,16,0,183,5-10,Miami (FL),7/28/1995,2,1,,$750000,BadgMi00
31,Kalen Ballage,25,RB,8,2,231,6-2,Arizona St.,12/22/1995,2,2,Miami Dolphins / 4th / 131st pick / 2018,,BallKa00
58,B.J. Bello,26,LB,6,0,229,6-3,Illinois St.,10/31/1994,3,0,,,BellB.00
57,Asmar Bilal,23,LB,2,0,227,6-2,Notre Dame,4/12/1997,Rook,0,,$574118,BilaAs00
97,Joey Bosa,25,DE,12,10,280,6-5,Ohio St.,7/11/1995,4,9,San Diego Chargers / 1st / 3rd pick / 2016,$1000000,BosaJo00
34,Darius Bradwell,23,RB,2,0,230,6-1,Tulane,5/15/1997,Rook,0,,,BradDa00
38,John Brannon,22,DB,1,0,195,6-2,Western Carolina,3/10/1998,Rook,0,,,BranJo00
91,Cortez Broughton,24,DL,9,0,293,6-2,Cincinnati,9/2/1996,1,1,Los Angeles Chargers / 7th / 242nd pick / 2019,$675000,BrouCo00
75,Bryan Bulaga,31,T,10,10,314,6-5,Iowa,3/21/1989,10,5,Green Bay Packers / 1st / 23rd pick / 2010,$1500000,BulaBr20
37,Tevaughn Campbell,27,DB,14,4,200,6-0,Regina,6/14/1993,Rook,2,,$610000,CampTe00
50,Cole Christiansen,23,LB,4,0,225,6-2,Army,7/30/1997,Rook,0,,,ChriCo00
