No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
33,Jamal Adams,25,SS,12,12,213,6-1,LSU,10/17/1995,3,9,New York Jets / 1st / 6th pick / 2017,$825000,AdamJa00
28,Ugo Amadi,23,S,14,5,201,5-9,Oregon,5/16/1997,1,2,Seattle Seahawks / 4th / 132nd pick / 2019,$675000,AmadUg00
52,Ray-Ray Armstrong,29,LB,2,0,220,6-3,Miami (FL),3/5/1991,7,0,,,ArmsRa01
57,Cody Barton,24,LB,16,2,237,6-2,Utah,11/13/1996,1,2,Seattle Seahawks / 3rd / 88th pick / 2019,$675000,BartCo00
44,Nick Bellore,31,LB,16,0,250,6-1,Central Michigan,5/12/1989,9,4,,$1050000,BellNi01
27,Marquise Blair,23,S,2,0,196,6-1,Utah,7/18/1997,1,0,Seattle Seahawks / 2nd / 47th pick / 2019,$778484,BlaiMa01
78,Alex Boone,33,T,1,0,330,6-7,Ohio St.,5/4/1987,10,0,,,BoonAl21
56,Jordyn Brooks,23,LB,14,6,240,6-0,Texas Tech,10/21/1997,Rook,3,Seattle Seahawks / 1st / 27th pick / 2020,$610000,BrooJo01
76,Duane Brown,35,LT,16,16,315,6-4,Virginia Tech,8/30/1985,12,9,Houston Texans / 1st / 26th pick / 2008,$8750000,BrowDu20
93,Jonathan Bullard,27,DE,6,0,290,6-3,Florida,10/22/1993,4,0,Chicago Bears / 3rd / 72nd pick / 2016,$695882,BullJo00
55,Ben Burr-Kirven,23,LB,16,0,230,6-0,Washington,9/8/1997,1,1,Seattle Seahawks / 5th / 142nd pick / 2019,$675000,BurrBe00
32,Chris Carson,26,RB,12,12,222,5-11,Butler (KS)Oklahoma St.,9/16/1994,3,8,Seattle Seahawks / 7th / 249th pick / 2017,$2133000,CarsCh00
91,L.J. Collier,25,DL,16,16,291,6-2,TCU,9/12/1995,1,6,Seattle Seahawks / 1st / 29th pick / 2019,$987549,CollLJ00
41,Alex Collins,26,RB,3,1,210,5-10,Arkansas,8/26/1994,4,1,Seattle Seahawks / 5th / 171st pick / 2016,,CollAl00
31,DeeJay Dallas,22,RB,12,2,214,5-10,Miami (FL),9/16/1998,Rook,2,Seattle Seahawks / 4th / 144th pick / 2020,$610000,DallDe00
4,Michael Dickson,24,P,16,0,208,6-2,Texas,1/4/1996,2,4,Seattle Seahawks / 5th / 149th pick / 2018,$750000,DickMi00
37,Quandre Diggs,27,CB,16,16,197,5-9,Texas,1/22/1993,5,9,Detroit Lions / 6th / 200th pick / 2015,$5000000,DiggQu00
89,Will Dissly,24,TE,16,12,265,6-4,Washington,7/8/1996,2,2,Seattle Seahawks / 4th / 120th pick / 2018,$750000,DissWi00
22,Quinton Dunbar,28,CB,6,6,202,6-2,Florida,7/22/1992,5,2,,$3250000,DunbQu00
43,Carlos Dunlap,31,DE,8,6,285,6-6,Florida,2/28/1989,10,3,Cincinnati Bengals / 2nd / 54th pick / 2010,$2000000,DunlCa99
67,B.J. Finney,29,C,6,0,318,6-4,Kansas St.,10/26/1991,4,0,,$2500000,FinnB.01
21,Tre Flowers,25,SS,12,7,203,6-3,Oklahoma St.,6/2/1995,2,3,Seattle Seahawks / 5th / 146th pick / 2018,$750000,FlowTr01
97,Poona Ford,25,DT,16,16,310,5-11,Texas,11/19/1995,2,6,,$750000,FordPo00
61,Kyle Fuller,26,C,9,1,320,6-5,Baylor,3/4/1994,3,1,Houston Texans / 7th / 243rd pick / 2017,$661770,FullKy01
