No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
2,David Akers,37,K,16,0,200,5-10,Louisville,12/9/1974,13,4,,akersdav01
75,Alex Boone,24,T,16,0,330,6-7,Ohio St.,5/4/1987,1,1,,BoonAl21
53,NaVorro Bowman,23,MLB,16,16,230,6-1,Penn St.,5/28/1988,1,19,San Francisco 49ers / 3rd / 91st pick / 2010,BowmNa99
26,Tramaine Brock,23,DB,11,0,188,6-0,MinnesotaBelhaven,8/20/1988,1,1,,BrocTr00
55,Ahmad Brooks,27,MLB,16,16,259,6-3,Virginia,3/14/1984,5,8,Cincinnati Bengals / 3rd / 1st pick / 2006 Supp,BrooAh21
25,Tarell Brown,26,DB,16,16,190,5-11,Texas,1/6/1985,4,6,San Francisco 49ers / 5th / 147th pick / 2007,BrowTa99
51,Blake Costanzo,27,LB,16,0,235,6-1,Lafayette,4/14/1984,4,1,,CostBl20
15,Michael Crabtree,24,WR,15,14,215,6-1,Texas Tech,9/14/1987,2,9,San Francisco 49ers / 1st / 10th pick / 2009,CrabMi00
29,Chris Culliver,23,DB,16,0,199,6-0,South Carolina,8/17/1988,Rook,1,San Francisco 49ers / 3rd / 80th pick / 2011,CullCh00
76,Anthony Davis,22,T,16,16,323,6-5,Rutgers,10/11/1989,1,8,San Francisco 49ers / 1st / 11th pick / 2010,DaviAn27
85,Vernon Davis,27,TE,16,16,248,6-3,Maryland,1/31/1984,5,8,San Francisco 49ers / 1st / 6th pick / 2006,DaviVe00
24,Anthony Dixon,24,RB,16,0,239,6-1,Mississippi St.,9/24/1987,1,1,San Francisco 49ers / 6th / 173rd pick / 2010,DixoAn00
96,Demarcus Dobbs,24,DE,12,0,275,6-6,Georgia,11/30/1987,Rook,1,,DobbDe00
17,Braylon Edwards,28,WR,9,5,214,6-3,Michigan,2/21/1983,6,2,Cleveland Browns / 1st / 3rd pick / 2005,EdwaBr00
19,Ted Ginn Jr.,26,WR,14,3,180,5-11,Ohio St.,4/12/1985,4,5,Miami Dolphins / 1st / 9th pick / 2007,GinnTe00
38,Dashon Goldson,27,DB,14,14,205,6-2,Washington,9/18/1984,4,8,San Francisco 49ers / 4th / 126th pick / 2007,GoldDa99
56,Tavares Gooden,27,LB,16,0,233,6-1,Miami (FL),10/7/1984,3,1,Baltimore Ravens / 3rd / 71st pick / 2008,GoodTa99
59,Jonathan Goodwin,33,G,16,16,318,6-3,OhioMichigan,12/2/1978,9,8,New York Jets / 5th / 154th pick / 2002,GoodJo23
21,Frank Gore,28,RB,16,15,212,5-9,Miami (FL),5/14/1983,6,10,San Francisco 49ers / 3rd / 65th pick / 2005,GoreFr00
54,Larry Grant,26,LB,16,3,235,6-1,Ohio St.,2/16/1985,3,3,San Francisco 49ers / 7th / 214th pick / 2008,GranLa99
98,Parys Haralson,27,DE,16,16,255,6-0,Tennessee,1/24/1984,5,8,San Francisco 49ers / 5th / 140th pick / 2006,HaraPa20
13,Joe Hastings,24,WR,1,0,185,6-0,Washburn,5/5/1987,Rook,0,,HastJo00
32,Kendall Hunter,23,RB,16,1,199,5-7,Oklahoma St.,9/16/1988,Rook,6,San Francisco 49ers / 4th / 115th pick / 2011,HuntKe00
77,Mike Iupati,24,G,16,16,331,6-5,Idaho,5/12/1987,1,8,San Francisco 49ers / 1st / 17th pick / 2010,IupaMi20
95,Ricky Jean-Francois,25,DT,16,2,309,6-2,LSU,11/23/1986,2,2,San Francisco 49ers / 7th / 244th pick / 2009,JeanRi99
86,Brian Jennings,35,TE,16,0,242,6-5,Arizona St.,10/14/1976,11,0,San Francisco 49ers / 7th / 230th pick / 2000,JennBr00
43,Colin Jones,24,DB,13,0,205,6-0,TCU,10/27/1987,Rook,1,San Francisco 49ers / 6th / 190th pick / 2011,JoneCo01
7,Colin Kaepernick,24,QB,3,0,225,6-4,Nevada,11/3/1987,Rook,0,San Francisco 49ers / 2nd / 36th pick / 2011,KaepCo00
67,Daniel Kilgore,24,G,1,0,291,6-3,Appalachian St.,12/18/1987,Rook,0,San Francisco 49ers / 5th / 163rd pick / 2011,KilgDa00
4,Andy Lee,29,P,16,0,185,6-1,Pittsburgh,8/11/1982,7,4,San Francisco 49ers / 6th / 188th pick / 2004,LeexAn20
91,Ray McDonald,27,DE,15,15,276,6-4,Florida,9/20/1984,4,9,San Francisco 49ers / 3rd / 97th pick / 2007,McDoRa99
49,Bruce Miller,24,FB,15,8,254,6-1,Central Florida,8/6/1987,Rook,1,San Francisco 49ers / 7th / 211th pick / 2011,MillBr02
84,Josh Morgan,26,WR,5,5,218,6-0,Virginia Tech,6/20/1985,3,2,San Francisco 49ers / 6th / 174th pick / 2008,MorgJo00
44,Moran Norris,33,FB,5,2,250,6-1,Kansas,6/16/1978,10,0,New Orleans Saints / 4th / 115th pick / 2001,NorrMo00
81,Justin Peelle,32,TE,14,2,251,6-4,Oregon,3/15/1979,9,0,San Diego Chargers / 4th / 103rd pick / 2002,PeelJu00
62,Chilo Rachal,25,G,16,3,315,6-5,USC,3/15/1986,3,3,San Francisco 49ers / 2nd / 39th pick / 2008,RachCh20
22,Carlos Rogers,30,DB,16,16,195,6-0,Auburn,7/2/1981,6,13,Washington Redskins / 1st / 9th pick / 2005,RogeCa20
99,Aldon Smith,22,DE,16,0,255,6-5,Missouri,9/25/1989,Rook,3,San Francisco 49ers / 1st / 7th pick / 2011,SmitAl04
11,Alex Smith,27,QB,16,16,213,6-4,Utah,5/7/1984,6,13,San Francisco 49ers / 1st / 1st pick / 2005,SmitAl03
94,Justin Smith,32,DE,16,16,285,6-4,Missouri,9/30/1979,10,19,Cincinnati Bengals / 1st / 4th pick / 2001,SmitJu20
30,Reggie Smith,25,DB,16,0,198,6-1,Oklahoma,9/13/1986,3,1,San Francisco 49ers / 3rd / 75th pick / 2008,SmitRe99
68,Adam Snyder,29,T,16,13,325,6-6,Oregon,1/30/1982,6,7,San Francisco 49ers / 3rd / 94th pick / 2005,SnydAd20
90,Isaac Sopoaga,30,DT,15,15,330,6-2,College of the Canyons (CA)Hawaii,9/4/1981,6,8,San Francisco 49ers / 4th / 104th pick / 2004,SopoIs20
36,Shawntae Spencer,29,DB,9,0,190,6-0,Pittsburgh,2/22/1982,7,1,San Francisco 49ers / 2nd / 58th pick / 2004,SpenSh20
27,C.J. Spillman,25,DB,16,0,192,6-0,Marshall,5/6/1986,2,1,,SpilCJ99
74,Joe Staley,27,T,16,16,295,6-5,Central Michigan,8/30/1984,4,13,San Francisco 49ers / 1st / 28th pick / 2007,StalJo20
18,Brett Swain,26,WR,5,1,200,6-1,San Diego St.,6/21/1985,2,0,Green Bay Packers / 7th / 217th pick / 2008,SwaiBr00
92,Will Tukuafu,27,DT,4,0,272,6-4,Oregon,1/3/1984,Rook,1,,TukuWi00
46,Delanie Walker,27,TE,15,7,248,6-2,Central Missouri St.,8/12/1984,5,2,San Francisco 49ers / 6th / 175th pick / 2006,WalkHu00
31,Donte Whitner,26,DB,15,15,208,5-10,Ohio St.,7/24/1985,5,6,Buffalo Bills / 1st / 8th pick / 2006,WhitDo20
93,Ian Williams,22,DT,1,0,305,6-1,Notre Dame,8/31/1989,Rook,0,,WillIa00
10,Kyle Williams,23,WR,13,1,185,5-10,Arizona St.,7/19/1988,1,3,San Francisco 49ers / 6th / 206th pick / 2010,WillKy01
20,Madieu Williams,30,DB,15,3,209,6-1,TowsonMaryland,10/18/1981,7,2,Cincinnati Bengals / 2nd / 56th pick / 2004,WillMa20
52,Patrick Willis,26,LB,13,13,242,6-1,Mississippi,1/25/1985,4,16,San Francisco 49ers / 1st / 11th pick / 2007,WillPa98
,Team Total,26.6,,16,,242.0,6-1.7,,,3.7,,,-9999
