No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
11,Brandon Aiyuk,22,WR,12,11,200,6-0,Arizona St.,3/17/1998,Rook,6,San Francisco 49ers / 1st / 25th pick / 2020,$610000,AiyuBr00
51,Azeez Al-Shaair,23,LB,16,5,228,6-2,Florida Atlantic,8/4/1997,1,4,,$675000,AlShAz00
56,Kwon Alexander,26,OLB,5,5,227,6-1,LSU,8/3/1994,5,3,Tampa Bay Buccaneers / 4th / 124th pick / 2015,$976325,AlexKw00
48,Brian Allen,27,CB,1,1,215,6-3,Utah,10/21/1993,3,0,Pittsburgh Steelers / 5th / 173rd pick / 2017,,AlleBr01
94,Ezekiel Ansah,31,DE,2,0,275,6-5,BYU,5/29/1989,7,0,Detroit Lions / 1st / 5th pick / 2013,$1250000,AnsaEz00
91,Arik Armstead,27,DE,16,16,290,6-7,Oregon,11/15/1993,5,8,San Francisco 49ers / 1st / 17th pick / 2015,$2500000,ArmsAr01
64,Alex Barrett,26,DE,7,0,250,6-2,San Diego St.,3/6/1994,3,1,,$466466,BarrAl00
3,C.J. Beathard,27,QB,6,2,215,6-2,Iowa,11/16/1993,3,2,San Francisco 49ers / 3rd / 104th pick / 2017,$946179,BeatC.00
62,Tony Bergstrom,34,OT,4,0,310,6-5,Utah,8/8/1986,8,0,Oakland Raiders / 3rd / 95th pick / 2012,,BergTo00
47,Briean Boddy-Calhoun,27,CB,1,0,193,5-9,Minnesota,1/21/1993,4,0,,,BoddBr01
97,Nick Bosa,23,EDGE,2,2,266,6-4,Ohio St.,10/23/1997,1,1,San Francisco 49ers / 1st / 2nd pick / 2019,$454412,BosaNi00
84,Kendrick Bourne,25,WR,15,5,203,6-1,East. Washington,8/4/1995,3,5,,$3259000,BourKe00
60,Daniel Brunskill,26,OT,16,16,300,6-5,San Diego St.,1/27/1994,2,7,,$675000,BrunDa00
77,Josiah Coatney,24,DT,1,0,325,6-4,Mississippi,1/4/1996,Rook,0,,,CoatJo01
17,Matt Cole,24,WR,1,0,200,5-10,McKendree University,11/7/1996,Rook,0,,,ColeMa03
26,Tevin Coleman,27,RB,8,1,210,6-1,Indiana,4/16/1993,5,1,Atlanta Falcons / 3rd / 73rd pick / 2015,$4550000,ColeTe01
66,Tom Compton,31,T,7,3,315,6-6,South Dakota,5/10/1989,8,2,Washington Redskins / 6th / 193rd pick / 2012,$1050000,CompTo00
86,River Cracraft,26,WR,9,1,198,6-0,Washington St.,11/1/1994,2,0,,$317647,CracRi00
32,Johnathan Cyprien,30,SS,4,0,211,6-1,Florida International,7/29/1990,7,0,Jacksonville Jaguars / 2nd / 33rd pick / 2013,$428235,CyprJo00
65,Darrion Daniels,23,DT,4,0,325,6-4,Nebraska,12/4/1997,Rook,0,,,DaniDa04
82,Ross Dwelley,25,TE,16,9,235,6-5,San Diego,1/26/1995,2,2,,$750000,DwelRo00
45,Demetrius Flannigan-Fowles,24,DB,11,1,223,6-2,Arizona,9/4/1996,Rook,2,,$610000,FlanDe00
55,Dee Ford,29,DE,1,0,252,6-2,Auburn,3/19/1991,6,0,Kansas City Chiefs / 1st / 23rd pick / 2014,$910000,FordDe00
63,Ben Garland,32,OL,5,5,308,6-5,Air Force,4/6/1988,9,2,,$1750000,GarlBe00
10,Jimmy Garoppolo,29,QB,6,6,225,6-2,Eastern Illinois,11/2/1991,6,3,New England Patriots / 2nd / 62nd pick / 2014,$23800000,GaroJi00
90,Kevin Givens,23,DL,13,1,285,6-1,Penn St.,3/1/1997,1,2,,$610000,GiveKe01
9,Robbie Gould,38,K,15,0,190,6-0,Penn St.,12/6/1982,15,3,,$4350000,gouldrob01
50,Hroniss Grasu,29,C,9,3,301,6-3,Oregon,8/12/1991,5,1,Chicago Bears / 3rd / 71st pick / 2015,$802941,GrasHr00
57,Dre Greenlaw,23,LB,13,11,230,6-0,Arkansas,5/27/1997,1,6,San Francisco 49ers / 5th / 148th pick / 2019,$675000,GreeDr00
36,Marcell Harris,26,S,16,4,215,6-0,Florida,6/9/1994,2,3,San Francisco 49ers / 6th / 184th pick / 2018,$750000,HarrMa03
35,Tim Harris,25,CB,2,0,197,6-2,Virginia,7/31/1995,Rook,0,San Francisco 49ers / 6th / 198th pick / 2019,$510000,HarrTi01
38,Jamycal Hasty,24,RB,8,0,205,5-8,Baylor,9/12/1996,Rook,1,,$502353,HastJa02
88,Daniel Helm,25,TE,5,0,248,6-4,Duke,4/20/1995,Rook,0,,$555882,HelmDa01
61,Willie Henry,26,DT,1,0,291,6-3,Michigan,3/20/1994,3,0,Baltimore Ravens / 4th / 132nd pick / 2016,,HenrWi00
40,Colin Holba,26,LS,1,0,248,6-4,Louisville,7/8/1994,3,0,Pittsburgh Steelers / 6th / 213th pick / 2017,,HolbCo00
92,Kerry Hyder,29,DT,16,14,275,6-2,Texas Tech,5/2/1991,6,8,,$1250000,HydeKe01
13,Richie James,25,WR,11,7,185,5-9,Middle Tenn. St.,9/5/1995,2,3,San Francisco 49ers / 7th / 240th pick / 2018,$679416,JameRi00
27,Dontae Johnson,29,FS,14,3,200,6-2,North Carolina St.,12/1/1991,6,2,San Francisco 49ers / 4th / 129th pick / 2014,$856471,JohnDo02
93,D.J. Jones,25,DT,14,14,305,6-0,East Mississippi CCMississippi,1/19/1995,3,7,San Francisco 49ers / 6th / 198th pick / 2017,$825000,JoneD.01
96,Dion Jordan,30,DE,13,1,284,6-6,Oregon,3/5/1990,7,2,Miami Dolphins / 1st / 3rd pick / 2013,$802935,JordDi00
44,Kyle Juszczyk,29,FB,16,15,235,6-1,Harvard,4/23/1991,7,2,Baltimore Ravens / 4th / 130th pick / 2013,$5050000,JuszKy00
99,Javon Kinlaw,23,DL,14,12,319,6-5,South Carolina,10/3/1997,Rook,7,San Francisco 49ers / 1st / 14th pick / 2020,$610000,KinlJa00
85,George Kittle,27,TE,8,8,250,6-4,Iowa,10/9/1993,3,5,San Francisco 49ers / 5th / 146th pick / 2017,$2133000,KittGe00
18,Jordan Matthews,28,WR,2,0,215,6-3,Vanderbilt,7/16/1992,6,0,Philadelphia Eagles / 2nd / 42nd pick / 2014,,MattJo00
43,Jared Mayden,22,DB,2,0,205,6-0,Alabama,6/24/1998,Rook,0,,,MaydJa01
69,Mike McGlinchey,25,OT,16,16,310,6-8,Notre Dame,1/12/1995,2,7,San Francisco 49ers / 1st / 9th pick / 2018,$750000,McGlMi00
28,Jerick McKinnon,28,RB,16,4,201,5-9,Georgia Southern,5/3/1992,6,4,Minnesota Vikings / 3rd / 96th pick / 2014,$910000,McKiJe00
68,Colton McKivitz,24,OL,14,3,306,6-6,West Virginia,8/9/1996,Rook,2,San Francisco 49ers / 5th / 153rd pick / 2020,$610000,McKiCo00
33,Tarvarius Moore,24,S,16,8,200,6-2,Southern Miss,8/16/1996,2,4,San Francisco 49ers / 3rd / 95th pick / 2018,$750000,MoorTa00
41,Emmanuel Moseley,24,CB,12,8,190,5-11,Tennessee,3/25/1996,2,3,,$675000,MoseEm00
31,Raheem Mostert,28,RB,8,8,205,5-10,Purdue,4/9/1992,5,4,,$2875000,MostRa00
4,Nick Mullens,25,QB,10,8,210,6-1,Southern Miss,3/21/1995,2,6,,$750000,MullNi00
43,Kai Nacua,25,FS,5,0,205,6-0,BYU,3/3/1995,3,0,,,NacuKa00
86,Kyle Nelson,34,TE,3,0,240,6-2,New Mexico St.,10/3/1986,8,0,,$1050000,NelsKy00
53,Mark Nzeocha,30,OLB,5,0,240,6-3,Wyoming,1/19/1990,5,0,Dallas Cowboys / 7th / 236th pick / 2015,$1350000,NzeoMa00
46,Taybor Pepper,26,LS,12,0,245,6-4,Michigan St.,5/28/1994,3,1,,$617647,PeppTa00
18,Dante Pettis,25,WR,5,1,195,6-1,Washington,10/23/1995,2,0,San Francisco 49ers / 2nd / 44th pick / 2018,$1061869,PettDa00
81,Jordan Reed,30,TE,10,1,242,6-2,Florida,7/3/1990,7,2,Washington Redskins / 3rd / 85th pick / 2013,$1050000,ReedJo02
19,Deebo Samuel,24,WR,7,5,215,6-0,South Carolina,1/15/1996,1,3,San Francisco 49ers / 2nd / 36th pick / 2019,$844880,SamuDe00
14,Mohamed Sanu,31,WR,3,0,210,6-2,Rutgers,8/23/1989,8,0,Cincinnati Bengals / 3rd / 83rd pick / 2012,$988235,SanuMo00
61,Dakoda Shepley,26,T,1,0,290,6-5,British Columbia,12/27/1994,Rook,0,,,ShepDa01
25,Richard Sherman,32,DB,5,5,195,6-3,Stanford,3/30/1988,9,2,Seattle Seahawks / 5th / 154th pick / 2011,$8000000,SherRi00
67,Justin Skule,24,OT,16,4,318,6-6,Vanderbilt,11/23/1996,1,3,San Francisco 49ers / 6th / 183rd pick / 2019,$675000,SkulJu00
95,Kentavius Street,24,DT,15,2,287,6-2,North Carolina St.,5/8/1996,2,2,San Francisco 49ers / 4th / 128th pick / 2018,$675000,StreKe00
29,Jaquiski Tartt,28,SS,7,7,215,6-1,Samford,2/18/1992,5,3,San Francisco 49ers / 2nd / 46th pick / 2015,$4300000,TartJa00
47,Jamar Taylor,30,CB,8,3,192,5-11,Boise St.,9/29/1990,7,2,Miami Dolphins / 2nd / 54th pick / 2013,$695882,TaylJa01
15,Trent Taylor,26,WR,12,1,180,5-8,Louisiana Tech,4/30/1994,3,1,San Francisco 49ers / 5th / 177th pick / 2017,$750000,TaylTr02
94,Solomon Thomas,25,DE,2,2,280,6-3,Stanford,8/26/1995,3,1,San Francisco 49ers / 1st / 3rd pick / 2017,$516176,ThomSo00
75,Laken Tomlinson,28,OG,16,16,315,6-3,Duke,2/9/1992,5,6,Detroit Lions / 1st / 28th pick / 2015,$1825000,TomlLa01
22,Jason Verrett,29,CB,13,13,188,5-10,TCU,6/18/1991,6,5,San Diego Chargers / 1st / 25th pick / 2014,$910000,VerrJa00
7,Tristan Vizcaino,24,K,1,0,205,6-2,Washington,7/31/1996,Rook,1,,,VizcTr00
59,Joe Walker,28,ILB,12,0,236,6-2,Oregon,12/11/1992,3,1,Philadelphia Eagles / 7th / 251st pick / 2016,$533824,WalkJo01
48,Austin Walter,24,RB,4,0,202,5-8,Rice,8/17/1996,1,0,,$287059,WaltAu00
20,Jimmie Ward,29,SS,14,14,195,5-11,Northern Illinois,7/18/1991,6,5,San Francisco 49ers / 1st / 30th pick / 2014,$1500000,WardJi01
54,Fred Warner,24,OLB,16,16,230,6-3,BYU,11/19/1996,2,19,San Francisco 49ers / 3rd / 70th pick / 2018,$844000,WarnFr00
35,Ken Webster,24,CB,9,0,202,5-11,Mississippi,6/19/1996,1,1,New England Patriots / 7th / 252nd pick / 2019,$635294,WebsKe00
14,Kevin White,28,WR,3,0,216,6-3,LackawannaWest Virginia,6/25/1992,4,0,Chicago Bears / 1st / 7th pick / 2015,,WhitKe00
24,K'Waun Williams,29,DB,8,4,185,5-9,Pittsburgh,7/12/1991,6,2,,$2150000,WillKW00
71,Trent Williams,32,T,14,14,320,6-5,Oklahoma,7/19/1988,10,8,Washington Redskins / 1st / 4th pick / 2010,$12500000,WillTr21
78,Jordan Willis,25,DE,7,0,270,6-4,Kansas St.,5/2/1995,3,1,Cincinnati Bengals / 3rd / 73rd pick / 2017,$559867,WillJo09
30,Jeff Wilson,25,RB,12,3,194,6-0,North Texas,11/16/1995,2,4,,$573532,WilsJe01
6,Mitch Wishnowsky,28,P,16,0,220,6-2,Utah,3/3/1992,1,3,San Francisco 49ers / 4th / 110th pick / 2019,$675000,WishMi00
23,Ahkello Witherspoon,25,CB,11,4,195,6-2,Colorado,3/21/1995,3,2,San Francisco 49ers / 3rd / 66th pick / 2017,$2133000,WithAh00
89,Charlie Woerner,23,TE,14,0,241,6-5,Georgia,10/16/1997,Rook,0,San Francisco 49ers / 6th / 190th pick / 2020,$610000,WoerCh00
,Team Total,26.7,,16,,238.9,6-1.9,,,3.6,,,,-9999
