No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
96,Sam Acho,31,ROLB,8,0,259,6-3,Texas,9/6/1988,8,1,Arizona Cardinals / 4th / 103rd pick / 2011,,AchoSa00
39,Andrew Adams,27,S,14,11,205,5-11,Connecticut,10/28/1992,3,4,,,AdamAn00
91,Beau Allen,28,DT,13,0,327,6-3,Wisconsin,11/14/1991,5,1,Philadelphia Eagles / 7th / 224th pick / 2014,$2000000,AlleBe00
82,Antony Auclair,26,TE,8,5,256,6-6,Laval,5/28/1993,2,0,,$645000,AuclAn00
25,Peyton Barber,25,RB,16,7,225,5-11,Auburn,6/27/1994,3,4,,$2025000,BarbPe01
58,Shaquil Barrett,27,OLB,16,16,250,6-2,Colorado St.,11/17/1992,5,13,,$1000000,BarrSh00
77,Caleb Benenoch,25,OT,1,0,305,6-5,UCLA,8/2/1994,3,0,Tampa Bay Buccaneers / 5th / 148th pick / 2016,$2025000,BeneCa00
59,Devante Bond,26,OLB,4,0,236,6-1,Oklahoma,7/3/1993,2,0,Tampa Bay Buccaneers / 6th / 183rd pick / 2016,$645000,BondDe00
84,Cameron Brate,28,TE,16,6,245,6-5,Harvard,7/3/1991,5,2,,$7000000,BratCa00
23,Deone Bucannon,27,SS,5,0,211,6-1,Washington St.,8/30/1992,5,1,Arizona Cardinals / 1st / 27th pick / 2014,$1050000,BucaDe00
65,Alex Cappa,24,OT,13,13,305,6-6,Humboldt St.,1/27/1995,1,7,Tampa Bay Buccaneers / 3rd / 94th pick / 2018,$615000,CappAl00
48,Jack Cichy,24,ILB,4,0,238,6-2,Wisconsin,5/5/1995,1,0,Tampa Bay Buccaneers / 6th / 202nd pick / 2018,$570000,CichJa00
41,Kahzin Daniels,24,LB,2,0,240,6-4,,10/26/1995,Rook,0,,$495000,DaniKa00
54,Lavonte David,29,OLB,16,16,233,6-1,Fort Scott (KS)Nebraska,1/23/1990,7,8,Tampa Bay Buccaneers / 2nd / 58th pick / 2012,$9750000,DaviLa00
33,Carlton Davis,23,CB,14,14,206,6-1,Auburn,12/31/1996,1,5,Tampa Bay Buccaneers / 2nd / 63rd pick / 2018,$679687,DaviCa02
52,Noah Dawkins,22,LB,10,0,235,6-1,The Citadel,8/13/1997,Rook,1,,,DawkNo00
35,Jamel Dean,23,CB,13,5,206,6-1,Auburn,10/15/1996,Rook,2,Tampa Bay Buccaneers / 3rd / 94th pick / 2019,$495000,DeanJa00
69,Demar Dotson,34,T,15,15,315,6-9,Southern Miss,10/11/1985,10,8,,$3975000,DotsDe00
34,Mike Edwards,23,CB,15,7,205,5-10,KentuckyHawaii,5/18/1996,Rook,3,Tampa Bay Buccaneers / 3rd / 99th pick / 2019,$495000,EdwaMi01
13,Mike Evans,26,WR,13,13,231,6-5,Texas A&M,8/21/1993,5,9,Tampa Bay Buccaneers / 1st / 7th pick / 2014,$17000000,EvanMi00
14,John Franklin,25,DB,1,0,185,6-0,East Mississippi CCAuburnFlorida Atlantic,1/21/1994,Rook,0,,,FranJo04
9,Matt Gay,25,K,16,0,232,6-0,Utah,3/15/1994,Rook,3,Tampa Bay Buccaneers / 5th / 145th pick / 2019,$495000,GayxMa00
92,William Gholston,28,DE,16,8,281,6-6,Michigan St.,7/31/1991,6,4,Tampa Bay Buccaneers / 4th / 126th pick / 2013,$3750000,GholWi00
12,Chris Godwin,23,WR,14,14,208,6-1,Penn St.,2/27/1996,2,10,Tampa Bay Buccaneers / 3rd / 84th pick / 2017,$677000,GodwCh00
15,Cyril Grayson,26,WR,2,0,183,5-9,LSU,12/5/1993,1,0,,,GrayCy01
4,Ryan Griffin,30,QB,2,0,210,6-5,Tulane,11/17/1989,6,0,,$805000,GrifRy01
28,Vernon Hargreaves III,24,CB,9,9,204,5-10,Florida,6/3/1995,3,4,Tampa Bay Buccaneers / 1st / 11th pick / 2016,$2383317,HargVe00
53,Demone Harris,24,DE,1,0,272,6-4,Buffalo,12/30/1995,1,0,,$570000,HarrDe06
70,Jerald Hawkins,26,OT,1,0,305,6-6,LSU,10/16/1993,2,0,Pittsburgh Steelers / 4th / 123rd pick / 2016,,HawkJe00
80,O.J. Howard,25,TE,14,14,251,6-6,Alabama,11/18/1994,2,4,Tampa Bay Buccaneers / 1st / 19th pick / 2017,$1473602,HowaO.00
88,Tanner Hudson,25,TE,9,1,239,6-5,Southern Arkansas,11/12/1994,Rook,0,,$570000,HudsTa00
18,Ishmael Hyman,24,WR,2,1,196,6-0,James Madison,8/23/1995,Rook,0,,,HymaIs00
66,Ryan Jensen,28,T,16,16,319,6-4,Colorado State-Pueblo,5/27/1991,6,8,Baltimore Ravens / 6th / 203rd pick / 2013,$10000000,JensRy00
27,Ronald Jones II,22,RB,16,9,208,5-11,USC,8/3/1997,1,7,Tampa Bay Buccaneers / 2nd / 38th pick / 2018,$801450,JoneRo01
22,T.J. Logan,25,RB,12,0,195,5-11,North Carolina,9/3/1994,1,0,Arizona Cardinals / 5th / 179th pick / 2017,,LogaT.00
