No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
95,Jonathan Allen,22,DT,5,5,300,6-3,Alabama,1/16/1995,Rook,2,Washington Redskins / 1st / 17th pick / 2017,AlleJo01
52,Ryan Anderson,23,OLB,14,0,255,6-2,Alabama,8/12/1994,Rook,1,Washington Redskins / 2nd / 49th pick / 2017,AndeRy00
63,Brandon Banks,23,DL,1,0,267,6-3,Charlotte,7/13/1994,Rook,0,,BankBr01
66,Tony Bergstrom,31,OT,9,3,310,6-5,Utah,8/8/1986,5,2,Oakland Raiders / 3rd / 95th pick / 2012,BergTo00
39,Kapri Bibbs,24,RB,3,0,203,5-10,Snow College (UT)Colorado St.,1/10/1993,3,1,,BibbKa00
26,Bashaud Breeland,25,CB,15,14,195,5-11,Clemson,1/30/1992,3,5,Washington Redskins / 4th / 102nd pick / 2014,BreeBa00
34,Mack Brown,26,RB,3,0,213,5-11,Florida,9/24/1991,1,0,,BrowMa02
53,Zach Brown,28,OLB,13,13,250,6-1,North Carolina,10/23/1989,5,7,Tennessee Titans / 2nd / 52nd pick / 2012,BrowZa00
55,Chris Carter,28,ROLB,13,0,245,6-1,Fresno St.,4/6/1989,6,1,Pittsburgh Steelers / 5th / 162nd pick / 2011,CartCh00
68,Tyler Catalina,24,OG,7,2,315,6-6,Georgia,1/24/1993,Rook,2,,CataTy00
69,T.J. Clemmings,26,OT,6,2,337,6-4,Pittsburgh,11/18/1991,2,2,Minnesota Vikings / 4th / 110th pick / 2015,ClemT.00
51,William Compton,28,MLB,9,3,235,6-1,Nebraska,9/19/1989,4,2,,CompWi00
8,Kirk Cousins,29,QB,16,16,205,6-3,Michigan St.,8/19/1988,5,12,Washington Redskins / 4th / 102nd pick / 2012,CousKi00
80,Jamison Crowder,24,WR,15,6,177,5-9,Duke,6/17/1993,2,6,Washington Redskins / 4th / 105th pick / 2015,CrowJa00
46,LeShun Daniels,22,RB,4,0,222,5-11,Iowa,6/4/1995,Rook,0,,DaniLe00
