No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Player-additional
93,Jonathan Allen,24,DT,15,15,300,6-3,Alabama,1/16/1995,2,7,Washington Redskins / 1st / 17th pick / 2017,$1519216,AlleJo01
52,Ryan Anderson,25,OLB,16,4,255,6-2,Alabama,8/12/1994,2,3,Washington Redskins / 2nd / 49th pick / 2017,$949066,AndeRy00
30,Troy Apke,24,S,15,2,206,6-1,Penn St.,4/11/1995,1,1,Washington Redskins / 4th / 109th pick / 2018,$570000,ApkeTr00
92,Ryan Bee,24,DE,1,0,280,6-7,Marshall,11/12/1995,Rook,0,,,BeexRy00
66,Tony Bergstrom,33,OT,16,6,310,6-5,Utah,8/8/1986,7,3,Oakland Raiders / 3rd / 95th pick / 2012,$805000,BergTo00
48,Breon Borders,24,CB,1,0,189,6-0,Duke,7/22/1995,2,0,,,BordBr00
53,Jonathan Bostic,28,LILB,16,16,245,6-1,Florida,5/5/1991,6,6,Chicago Bears / 2nd / 50th pick / 2013,$805000,BostJo00
99,Caleb Brantley,25,DT,1,0,305,6-2,Florida,9/2/1994,2,0,Cleveland Browns / 6th / 185th pick / 2017,$645000,BranCa00
45,Michael Burton,27,FB,10,2,243,6-0,Rutgers,2/1/1992,4,0,Detroit Lions / 5th / 168th pick / 2015,,BurtMi00
74,Geron Christian,23,OT,16,2,315,6-6,Louisville,9/10/1996,1,2,Washington Redskins / 3rd / 74th pick / 2018,$647000,ChriGe01
20,Landon Collins,25,SS,15,15,218,6-0,Alabama,1/10/1994,4,5,New York Giants / 2nd / 33rd pick / 2015,$1000000,CollLa00
47,Aaron Colvin,28,CB,6,2,191,6-0,Oklahoma,10/2/1991,5,1,Jacksonville Jaguars / 4th / 114th pick / 2014,,ColvAa00
83,Jerome Cunningham,28,TE,2,1,254,6-4,Southern Connecticut St.,5/25/1991,5,0,,,CunnJe00
,Robert Davis,24,WR,3,1,210,6-3,Georgia St.,4/2/1995,2,0,Washington Redskins / 6th / 209th pick / 2017,$570000,DaviRo00
85,Vernon Davis,35,TE,4,1,248,6-3,Maryland,1/31/1984,13,1,San Francisco 49ers / 1st / 6th pick / 2006,$4750000,DaviVe00
41,Dee Delaney,24,CB,1,0,200,5-11,The CitadelMiami (FL),2/20/1995,1,0,,,DelaDe00
23,Quinton Dunbar,27,CB,11,11,202,6-2,Florida,7/22/1992,4,4,,$3000000,DunbQu00
22,Deshazor Everett,27,CB,7,0,203,6-0,Texas A&M,2/22/1992,4,0,,$1225000,EverDe01
36,Josh Ferguson,26,RB,2,0,205,5-10,Illinois,5/23/1993,3,0,,,FergJo02
77,Ereck Flowers,25,OT,16,16,330,6-6,Miami (FL),4/25/1994,4,6,New York Giants / 1st / 9th pick / 2015,$2000000,FlowEr00
29,Derrius Guice,22,RB,5,1,225,5-11,LSU,6/21/1997,1,2,Washington Redskins / 2nd / 59th pick / 2018,$686452,GuicDe00
51,Shaun Dion Hamilton,24,MLB,16,0,235,6-0,Alabama,9/11/1995,1,2,Washington Redskins / 6th / 197th pick / 2018,$570000,DionSh00
13,Kelvin Harmon,23,WR,16,8,215,6-2,North Carolina St.,12/15/1996,Rook,3,Washington Redskins / 6th / 206th pick / 2019,$495000,HarmKe00
40,Josh Harvey-Clemons,25,SS,9,0,245,6-4,Louisville,2/20/1994,2,1,Washington Redskins / 7th / 230th pick / 2017,$645000,HarvJo01
7,Dwayne Haskins,22,QB,9,7,230,6-4,Ohio St.,5/3/1997,Rook,3,Washington Redskins / 1st / 15th pick / 2019,$495000,HaskDw00
88,Hale Hentges,23,TE,11,4,245,6-4,Alabama,8/19/1996,Rook,1,,,HentHa00
96,Treyvon Hester,27,DT,15,0,304,6-2,Toledo,9/21/1992,2,1,Oakland Raiders / 7th / 244th pick / 2017,,HestTr00
55,Cole Holcomb,23,LB,16,15,240,6-1,North Carolina,7/30/1996,Rook,6,Washington Redskins / 5th / 173rd pick / 2019,$495000,HolcCo00
82,J.P. Holtz,26,TE,1,0,246,6-3,Pittsburgh,8/28/1993,1,0,,$495000,HoltJ.01
3,Dustin Hopkins,29,K,16,0,205,6-2,Florida St.,10/1/1990,6,3,Buffalo Bills / 6th / 177th pick / 2013,$2275000,HopkDu00
98,Matthew Ioannidis,25,DT,16,15,310,6-3,Temple,1/11/1994,3,7,Washington Redskins / 5th / 152nd pick / 2016,$2025000,IoanMa01
41,Danny Johnson,24,CB,2,2,190,5-9,Southern,11/17/1995,1,1,,$570000,JohnDa09
8,Case Keenum,31,QB,10,8,215,6-1,Houston,2/17/1988,7,4,,$3500000,KeenCa00
91,Ryan Kerrigan,31,LOLB,12,12,267,6-4,Purdue,8/16/1988,8,4,Washington Redskins / 1st / 16th pick / 2011,$10500000,KerrRy00
84,Darvin Kidsy,24,WR,3,0,180,6-0,Texas Southern,3/19/1995,1,0,,$495000,KidsDa00
32,Kenny Ladler,27,FS,1,0,200,6-1,Vanderbilt,6/23/1992,5,0,,,LadlKe00
67,Wes Martin,23,G,9,5,315,6-3,Indiana,5/9/1996,Rook,2,Washington Redskins / 4th / 131st pick / 2019,$495000,MartWe00
12,Colt McCoy,33,QB,1,1,212,6-1,Texas,9/5/1986,9,0,Cleveland Browns / 3rd / 85th pick / 2010,$3000000,McCoCo00
58,Cassanova McKinzy,27,LB,3,0,252,6-3,Auburn,11/17/1992,1,0,,$570000,McKiCa01
17,Terry McLaurin,24,WR,14,14,210,6-0,Ohio St.,9/15/1995,Rook,7,Washington Redskins / 3rd / 76th pick / 2019,$495000,McLaTe00
31,Fabian Moreau,25,CB,12,7,204,6-0,UCLA,4/9/1994,2,3,Washington Redskins / 3rd / 81st pick / 2017,$684000,MoreFa00
32,Jimmy Moreland,24,CB,14,5,182,5-11,James Madison,8/26/1995,Rook,2,Washington Redskins / 7th / 227th pick / 2019,$495000,MoreJi00
76,Morgan Moses,28,OT,16,16,318,6-6,Virginia,3/3/1991,5,6,Washington Redskins / 3rd / 66th pick / 2014,$4750000,MoseMo00
35,Montae Nicholson,24,SS,13,13,212,6-2,Michigan St.,12/4/1995,2,5,Washington Redskins / 4th / 123rd pick / 2017,$645000,NichMo00
24,Josh Norman,32,CB,12,8,200,6-0,Coastal Carolina,12/15/1987,7,3,Carolina Panthers / 5th / 143rd pick / 2012,$11000000,NormJo01
50,Chris Odom,25,DE,4,0,262,6-4,Arkansas St.,9/16/1994,2,0,,,OdomCh00
54,Nate Orchard,26,OLB,5,0,251,6-3,Utah,1/5/1993,4,1,Cleveland Browns / 2nd / 51st pick / 2015,,OrchNa00
61,Timon Parris,24,T,3,0,315,6-6,Stony Brook,9/11/1995,1,0,,$495000,ParrTi00
94,Daron Payne,22,DT,15,9,320,6-3,Alabama,5/27/1997,1,4,Washington Redskins / 1st / 13th pick / 2018,$1135380,PaynDa00
72,Donald Penn,36,T,16,15,315,6-4,Utah St.,4/27/1983,12,6,,$1030000,PennDo20
26,Adrian Peterson,34,RB,15,15,220,6-1,Oklahoma,3/21/1985,12,6,Minnesota Vikings / 1st / 7th pick / 2007,$1030000,PeteAd01
58,Carroll Phillips,27,OLB,1,0,242,6-3,Illinois,9/2/1992,2,0,,,PhilCa00
64,Ross Pierschbacher,24,OL,5,0,315,6-4,Alabama,6/5/1995,Rook,0,Washington Redskins / 5th / 153rd pick / 2019,$495000,PierRo00
18,Trey Quinn,24,WR,12,6,200,6-0,SMU,12/7/1995,1,1,Washington Redskins / 7th / 256th pick / 2018,$570000,QuinTr00
39,Jeremy Reaves,23,FS,9,3,205,5-11,South Alabama,8/29/1996,1,1,,$495000,ReavJe00
48,Craig Reynolds,23,RB,3,0,215,5-11,Kutztown (PA),6/15/1996,Rook,0,,,ReynCr00
10,Paul Richardson,27,WR,10,6,180,6-0,Colorado,4/13/1992,5,2,Seattle Seahawks / 2nd / 45th pick / 2014,$5000000,RichPa01
45,Dominique Rodgers-Cromartie,33,DB,2,1,205,6-2,Tennessee St.,4/7/1986,11,0,Arizona Cardinals / 1st / 16th pick / 2008,$1030000,RodgDo99
73,Chase Roullier,26,C,14,14,312,6-4,Wyoming,8/23/1993,2,5,Washington Redskins / 6th / 199th pick / 2017,$645000,RoulCh00
